Genes	ES1	ES2	DE3	DE2	DE3	ES1	D4CF2	D4CF3	FS1	FS2	AS1	AS2	ASI3
NCSTN	34.29	35.1007	59.5993	65.0072	59.5993	34.29	62.3981	54.3732	38.0673	59.1957	59.1383	40.4799	43.5477
OR5A2	1	1	1	1	1	1	1	1	1	1	1	1	1
PCED1B-AS1	1	1.05248	1.02728	1.03396	1.02728	1	1.02262	1	1.19487	1.4316	1	1	1.32197
PKDCC	9.06301	8.5338	8.01358	3.27564	8.01358	9.06301	2.0409	1.6531	57.7863	61.3003	3.8615	6.24162	56.5864
PKNOX2	2.30154	2.43645	1.99558	1.39827	1.99558	2.30154	12.1738	7.41028	4.15272	2.03886	9.68812	1.68186	1.7781
PPP1R12B	5.29217	5.7336	3.96423	4.36518	3.96423	5.29217	3.29031	3.56808	50.8721	6.96353	4.00701	4.86113	20.5816
PRDM4	10.6961	10.8549	12.0319	13.9364	12.0319	10.6961	18.0243	19.6264	15.4586	17.8931	18.7077	16.6738	12.8859
PRH1	2.16839	2.43886	3.2443	2.42386	3.2443	2.16839	2.18969	2.62667	1.84305	3.03971	2.22463	5.79952	3.0156
PRH1-PRR4	1.25386	1	1	1	1	1.25386	1.93329	1	1.14361	1.1625	1.61118	1	1
PTGR1	30.0659	31.947	146.139	168.025	146.139	30.0659	58.6819	61.6818	30.2812	51.7671	52.9336	497.742	60.4155
PTP4A2	83.3297	87.4381	93.227	112.836	93.227	83.3297	92.0836	116	46.2641	55.3825	91.5126	93.4445	78.053
RAD54B	23.8208	22.9301	11.308	18.579	11.308	23.8208	38.2762	43.9903	3.64176	4.18668	28.8718	1.41911	3.43652
RARB	1.13589	1.20181	2.18194	2.34943	2.18194	1.13589	1.761	1.80061	6.91716	5.39871	2.28108	1.50461	2.32052
REXO1L2P	1	1	1	1	1	1	1	1	1	1	1	1	1
RGS2	21.261	20.8357	5.86822	5.56117	5.86822	21.261	17.2371	20.3739	73.8865	78.6629	18.3088	582.502	89.4091
RNASE6	1.06375	1	1	1	1	1.06375	1.42455	2.22533	10.9181	10.8938	1.75326	9.49332	10.0756
RPL13AP20	1.23961	1.39668	1.68733	1.51326	1.68733	1.23961	1.68389	1.10966	1.80151	1.95295	1.38609	9.06693	1.47262
RRN3P3	1.88349	1.92237	1.84932	1.81836	1.84932	1.88349	1.59065	1.41526	1.95709	2.6717	1.3078	4.68363	4.04901
SCGB1A1	1	1	1	1	1	1	1	1	1	1	1	1	1
SEPP1	2.45253	2.46557	46.5569	55.3688	46.5569	2.45253	35.9357	29.4621	1298.69	2000.83	29.2148	829.22	182.459
SHC1	70.9428	67.4819	67.1677	53.0607	67.1677	70.9428	59.0356	52.109	24.385	23.1178	52.9251	77.2936	45.8563
SLC25A44	14.4421	14.7934	21.6587	23.8514	21.6587	14.4421	8.02842	8.84821	14.0534	21.4735	9.32871	16.7688	17.2525
SMG1P1	1.21599	1.12546	1.15652	1.16233	1.15652	1.21599	1.08652	1.10405	1.36615	1.02065	1.07327	1.24994	1
SP5	1.2821	1.10378	6.2148	6.37121	6.2148	1.2821	14.1806	14.5414	2.61131	3.37651	15.3433	1	2.63977
SPINK5	7.3547	6.12181	6.96708	6.8362	6.96708	7.3547	1.2421	1.43986	1.23104	1.15054	1.99146	1	1.18433
SRGAP2D	2.32874	2.78293	3.06271	3.60428	3.06271	2.32874	3.25577	3.71848	1.6291	2.32599	3.59908	1	2.15981
SRP9	265.442	268.214	131.652	178.222	131.652	265.442	293.896	355.438	42.79	67.3097	264.799	150.623	204.036
ST3GAL6	4.07497	4.13657	3.81201	3.53221	3.81201	4.07497	12.0296	12.8489	3.63704	3.35442	11.0638	2.13295	2.3638
ST3GAL6-AS1	1.19339	1	1	1	1	1.19339	1	1.0885	1.70116	1.30707	1.41547	1	1.18985
STX5	10.2618	10.3589	24.1513	19.6187	24.1513	10.2618	12.9733	10.5103	24.1459	22.4896	12.4852	43.1804	14.8387
THUMPD3	30.3279	34.2958	18.6179	23.7419	18.6179	30.3279	25.0964	19.8615	12.0568	11.9219	24.1531	8.40569	12.1382
TJP2	52.486	50.3962	12.8492	13.3045	12.8492	52.486	35.2326	38.6814	38.8715	64.3096	29.8994	79.1476	27.0747
TPST2	17.9719	18.8392	11.0143	10.4636	11.0143	17.9719	10.0729	10.5277	7.09325	17.5203	8.53544	14.5579	26.8741
TRIM2	21.9097	22.8993	23.2791	37.0623	23.2791	21.9097	28.6583	30.738	44.6207	47.8989	27.67	13.4576	18.656
TYW5	9.67839	8.80009	9.39307	10.3102	9.39307	9.67839	5.33035	5.82757	4.91651	5.86524	5.19808	2.2269	3.19177
WDR74	30.2661	30.8112	16.1458	11.8673	16.1458	30.2661	25.1784	15.834	9.64108	12.2556	22.7486	28.0347	12.9609
ZC3H13	30.5217	32.2704	27.7124	34.233	27.7124	30.5217	28.2154	31.6223	16.216	14.7395	26.2351	6.60943	7.09512
ZCCHC11	22.4915	23.6941	69.7418	81.7117	69.7418	22.4915	27.8212	30.7567	13.1676	15.725	28.3684	2.0637	3.48392
ZNF608	17.2766	17.5343	42.683	44.977	42.683	17.2766	16.3037	17.8923	19.8171	15.4957	19.2067	2.9864	7.52871
ZNF740	15.4134	15.0772	19.7964	21.8328	19.7964	15.4134	24.0255	23.0164	12.3099	13.5463	20.9001	6.33815	13.5213
