Genes	ES1	ES2	DE3	DE2	DE3	ES1	D4CF2	D4CF3	FS1	FS2	AS1	AS2	AS3
ARFIP1	28.5487	27.2285	27.9186	33.6056	27.9186	28.5487	31.0368	38.0781	19.5341	20.4501	30.8882	13.5867	21.1147
ARG2	70.8201	68.0131	28.6366	31.9808	28.6366	70.8201	58.9102	74.7289	6.42702	6.27192	54.1304	43.5935	20.7918
ARHGAP17	27.1562	25.6209	31.0886	28.9548	31.0886	27.1562	23.9095	25.2992	26.2061	37.4594	23.4711	33.8327	18.5995
ARHGAP29	1.9501	2.24477	12.1615	14.4274	12.1615	1.9501	8.85521	8.60778	4.01143	2.7248	10.5671	1.53854	4.73424
ARHGDIA	20.0029	20.3076	48.5842	28.778	48.5842	20.0029	27.3855	18.217	83.7605	87.7615	30.6174	388.597	215.917
ARHGEF10L	4.33637	4.05914	2.8696	1.48075	2.8696	4.33637	2.71677	1.83815	42.4253	42.3502	3.14089	4.85054	30.8995
ARHGEF16	3.06393	2.98756	10.5189	3.77394	10.5189	3.06393	1.71228	1.40746	18.432	24.9822	2.02158	103.94	19.1514
ARID5B	1.25631	1.27717	2.43349	1.89206	2.43349	1.25631	4.49638	4.56996	14.6906	13.1654	4.68212	3.1121	13.4181
ARL1	34.6779	36.0226	30.7788	35.6483	30.7788	34.6779	45.8187	50.5234	33.9149	37.3353	43.2284	15.0038	27.3772
ARL14EP	22.1416	20.9833	12.7685	15.6966	12.7685	22.1416	24.4992	30.1859	12.2274	14.4774	24.4595	11.7863	8.71147
ARL6	5.01998	4.83146	6.23501	5.89056	6.23501	5.01998	7.17609	9.14839	3.99569	2.68564	7.3668	1	2.83918
ARL6IP4	22.3142	20.1931	36.5577	19.4207	36.5577	22.3142	43.7372	26.9451	59.9234	68.2121	39.9193	382.245	112.658
ARMS2	1	1	1	1	1	1	1	1	1.13457	1	1	1	1
ART1	1	1	1	1	1	1	1	1	1	1	1	1	1
ART5	3.35262	3.30799	3.45942	1.97054	3.45942	3.35262	8.75837	6.35886	1.12552	1.13321	6.22219	1	1.30517
ARV1	12.226	14.167	12.5167	14.2647	12.5167	12.226	13.3974	18.8908	10.7052	12.9031	12.7278	12.6868	18.8727
ATAD1	29.1855	32.235	30.9252	45.4394	30.9252	29.1855	53.0506	59.134	18.2071	18.5171	50.2509	6.95116	14.3963
ATP5B	623.966	607.828	410.96	533.98	410.96	623.966	577.853	666.848	239.817	257.747	560.972	968.731	492.177
ATP5G2	182.227	160.533	126.824	73.3916	126.824	182.227	286.995	190.994	185.424	204.959	261.863	493.154	273.737
ATP8B1	1.88103	1.71128	2.57501	2.5309	2.57501	1.88103	2.03227	2.01905	39.2496	41.9968	2.14097	27.6001	44.1513
AVPI1	4.72499	3.7915	2.95232	2.05073	2.95232	4.72499	3.18758	3.10461	28.0566	42.9626	2.87716	80.3824	20.303
AZI2	19.1754	20.3397	21.9166	29.4575	21.9166	19.1754	27.5543	33.8215	14.7429	14.848	29.7589	21.3885	14.0433
B3GALTL	4.87027	5.00073	14.0875	18.9231	14.0875	4.87027	7.11955	8.39673	5.20524	4.09535	7.30927	2.7985	2.94707
B3GNT5	8.20733	8.43132	41.3882	54.1528	41.3882	8.20733	17.247	21.3137	22.9765	33.127	19.7186	42.3981	23.9339
B3GNT6	1	1	1	1	1	1	1	1	8.20788	2.0118	1	3.56803	8.98063
B4GALT4	28.7788	28.7376	142.249	169.146	142.249	28.7788	29.7537	29.5716	37.1142	32.1796	25.9874	21.4968	23.4673
BASP1	91.6571	94.901	82.3373	100.266	82.3373	91.6571	62.587	72.6781	42.2383	3.66086	73.8813	14.5957	10.0566
BAZ2A	28.5454	28.4815	37.026	29.9717	37.026	28.5454	26.7951	22.9657	22.0346	22.3377	23.4573	14.8369	16.6667
BAZ2B	1.18831	1.15587	1.24307	1.33614	1.24307	1.18831	1.06718	1.10773	1.24557	1.14863	1.10114	1.51872	1.50091
BCAP29	6.19409	5.99445	10.7386	15.4366	10.7386	6.19409	11.747	14.813	9.7011	5.79056	11.2252	7.03762	8.5365
BCL2L1	38.2342	35.8466	21.283	19.5187	21.283	38.2342	13.6025	12.6999	21.6585	23.6104	16.9487	163.56	71.7706
BCOR	18.12	17.3318	15.2111	16.1123	15.2111	18.12	8.85622	8.31941	13.8473	16.5907	10.0543	3.35531	8.09796
BDKRB1	1	1.05496	1.51428	1.21335	1.51428	1	1	1.04558	1.77881	1.31513	1	4.30883	2.35594
BMP5	1	1.03067	2.11597	2.15081	2.11597	1	2.05752	2.34807	10.6487	16.0955	3.68655	2.83862	2.23752
BMP7	2.04213	2.37074	4.50529	6.13726	4.50529	2.04213	12.5852	11.6624	5.39451	2.2498	12.1638	1.31404	1.96483
BMPER	1.28296	1.33727	5.71409	11.0855	5.71409	1.28296	1.55994	1.66302	1.88586	1.46409	2.77506	1.74654	1.65529
BSPRY	3.47175	3.36237	4.71318	3.18331	4.71318	3.47175	1.87275	1.32653	8.84184	3.27309	1.52007	18.4141	16.2385
BTBD2	6.34113	6.29531	10.8417	3.94099	10.8417	6.34113	8.9882	5.12227	35.742	44.6902	8.8524	43.3851	45.2127
BTF3	444.014	442.268	331.355	421.365	331.355	444.014	691.484	708.802	184.624	290.729	645.63	499.539	248.532
BTF3L4	29.2276	29.3766	17.3483	21.1994	17.3483	29.2276	28.4914	32.7619	5.97847	6.23259	26.9428	5.94647	8.29342
BTG1	9.21458	9.15004	4.64126	5.26985	4.64126	9.21458	10.9286	12.5072	26.0926	18.4699	13.1936	55.2178	41.8528
BTG3	25.4503	21.658	26.3631	33.2485	26.3631	25.4503	53.3523	64.2499	23.5117	18.2892	59.3892	16.37	14.3254
BTNL2	1.61016	1.1554	1	1	1	1.61016	1.13396	1	1.31459	1.18558	1.10084	1	1.09123
BUB1	115.261	117.273	60.9942	72.057	60.9942	115.261	68.52	83.2657	8.10237	10.1537	62.3713	1.73744	5.85122
C10orf10	1.50041	1.64975	1.23642	1.08407	1.23642	1.50041	1.28005	1.1886	5.53984	3.44068	1.25296	9.44217	43.5887
C11orf53	1	1	1	1	1	1	1	1	1.28808	1.35754	1	1	1.50324
C11orf54	15.4374	15.6979	14.7552	14.1172	14.7552	15.4374	19.929	19.292	27.3026	41.1816	17.6465	46.7199	17.3156
C12orf60	3.25168	3.61588	2.49574	3.03079	2.49574	3.25168	7.82123	8.64724	1.6176	1.79735	7.11046	1	1.92363
C12orf66	4.99034	5.27814	3.43312	3.21417	3.43312	4.99034	4.42754	5.02801	2.54624	2.88961	4.15966	1	3.07295
C12orf79	1.21019	1.08701	1.29259	1.36539	1.29259	1.21019	1	1	1.27449	1.08947	1.15217	1	1.16458
C14orf178	1	1.14012	1	1.36365	1	1	1	1.11607	1.09481	1.20314	1	1	1
C15orf53	1	1	1	1	1	1	1	1	1	1.04692	1	1	1
C17orf51	1.00709	1	1	1	1	1.00709	4.29073	4.47732	3.21926	1.63693	4.74595	1.46714	3.20042
C17orf75	11.4925	12.4425	11.1494	12.5983	11.1494	11.4925	14.6026	16.4391	4.85004	5.13227	14.2142	3.46928	3.91405
C1QTNF6	1.91989	1.79454	2.23903	1.42835	2.23903	1.91989	2.84546	2.55582	7.99321	8.43662	4.05032	3.49344	3.04337
C1orf100	1	1	1	1	1	1	1.26372	1	1	1	1	1	1
C1orf185	1	1	1	1	1	1	1	1	1	1	1	1	1
C1orf195	1	1	1	1.31331	1	1	1	1	1.35442	1.70368	1	1	1
C21orf58	5.30846	5.06987	4.39263	2.7673	4.39263	5.30846	4.11194	3.56511	5.63464	4.68316	3.6054	1	5.4917
C7orf49	21.7539	19.4935	20.8929	18.4304	20.8929	21.7539	21.7733	20.4584	15.4729	14.9807	19.076	29.9131	27.1229
C8orf34	1.42521	1.41122	2.10778	2.97406	2.10778	1.42521	1.73832	2.25319	1.04132	1.02227	2.15065	1.97025	1
C9orf84	1.03558	1.02671	1.20833	1.05181	1.20833	1.03558	1.01151	1.03324	1.0983	1.06687	1.013	1	1.04673
CA4	1.80512	1.76164	1	1	1	1.80512	2.47723	1.31582	5.92387	6.18863	1.98839	1	3.01622
CAB39L	4.90417	4.86546	5.51218	5.32897	5.51218	4.90417	7.95339	9.02727	4.85021	2.93896	8.5583	2.14091	5.39306
CACNA1D	1.27364	1.43261	1.16122	1.16897	1.16122	1.27364	1.08443	1.04738	18.547	26.2273	1.07149	1.32497	3.35317
CALB1	16.1668	17.7649	67.7533	133.23	67.7533	16.1668	1.17869	2.33234	3.69426	1.44474	2.48796	1	1.18168
CALHM3	1.03773	1	1	1	1	1.03773	1	1.03453	1.11242	1.05963	1	1.83368	1
CAPN12	1.73114	1.8614	7.51574	4.07293	7.51574	1.73114	1.20943	1.16898	2.51883	10.6708	1.21417	1.46515	5.1637
CAPN2	21.8578	22.799	39.3844	46.149	39.3844	21.8578	53.537	52.6551	63.5281	33.3774	56.6576	52.8351	40.5733
CARD17	1	1	1	1	1	1	1	1	1	1	1	1	1
CARD6	1.42101	1.41819	1.20933	1.12024	1.20933	1.42101	1.05341	1.03854	1.62761	1.81906	1.01507	3.77835	10.674
CARKD	11.6142	11.5049	16.8679	13.3822	16.8679	11.6142	12.48	10.3241	23.3757	19.3047	12.2806	44.9685	33.6869
CASC20	1.0402	1	1	1.05741	1	1.0402	1.03825	1	1	1	1	1	1
CAST	32.612	32.7385	23.3643	22.9655	23.3643	32.612	34.2746	35.3994	71.2686	91.4171	28.5215	81.2293	28.4709
CCDC117	30.9217	34.0405	23.4833	27.146	23.4833	30.9217	37.4418	44.9562	17.3453	19.6606	34.1566	11.6081	11.0327
CCDC140	1	1	1	1	1	1	1.52151	1.40138	1	1	1.54957	1	1
CCDC148	1.81982	1.87247	2.23999	2.00378	2.23999	1.81982	2.67168	3.00353	1.13078	1.20837	2.08129	1	1
CCDC81	1.35522	1.26192	11.1618	8.84531	11.1618	1.35522	1.15771	1.28212	1.20539	1.18403	1.50839	1	1.09163
CCDC85B	1.85032	1.35192	1.48782	1.30357	1.48782	1.85032	1.65729	1.3405	7.68767	5.79327	1.62796	22.1989	49.9189
CCER1	1	1	1	1	1	1	1	1	1	1	1	1	1
CCL21	1	1	1.09072	1	1.09072	1	1.07522	1	17.3552	17.548	1	16.8466	168.038
CCNYL1	24.3926	24.1714	39.7195	51.7845	39.7195	24.3926	7.96019	9.83788	8.48027	8.33936	8.19374	18.0499	10.192
CCT2	335.855	338.764	247.479	367.01	247.479	335.855	412.36	503.171	59.9414	63.8483	390.71	58.873	53.6236
CD163L1	1.0624	1	1.07159	1.23166	1.07159	1.0624	1.02374	1.01142	6.20897	7.18998	1	4.0187	1.6263
CD177	1.48731	1.50795	7.70965	7.41764	7.70965	1.48731	1.02576	1.04956	1.22189	1.06412	1.05816	1	1
CD1A	1	1	1.03315	1	1.03315	1	1	1	1.02153	1	1	1	1
CD33	1.12087	1.06844	1.27764	1.61719	1.27764	1.12087	1.23599	1.05532	3.44626	3.92912	1	6.49142	3.77386
CDCA2	23.0492	23.757	20.6294	27.8711	20.6294	23.0492	27.9199	32.5452	3.48997	3.85579	23.5332	1.3419	4.45143
CDH17	1.0469	1.12078	1.12557	1.06698	1.12557	1.0469	2.90387	2.5884	140.232	186.822	2.81375	239.766	120.382
CDH18	1.19694	1.48146	1.09098	1.32473	1.09098	1.19694	1.1262	1.10887	1.19763	1.34389	1.06387	1	1
CDH26	1.32901	1.40861	1.28379	1.32021	1.28379	1.32901	1.11732	1.03346	1.27274	1.68107	1.19859	2.36868	1.24726
CDKN1B	13.5152	15.4629	29.2869	37.6525	29.2869	13.5152	26.0916	31.1804	41.5356	44.8288	33.1534	43.5901	72.7688
CDKN2A	1.11537	1.06366	1.06618	1.16476	1.06618	1.11537	1	1.1584	2.17109	1.59357	1.12393	2.27954	1
CDKN2B-AS1	1.08379	1	1.02552	1.10821	1.02552	1.08379	1	1.07669	1.9311	1.40374	1.13946	3.91943	1.42721
CDRT8	1.10608	1	1	1	1	1.10608	1	1	1	1	1	1	1
CDX1	1	1	1	1.04976	1	1	7.19879	5.94316	115.986	118.728	5.52872	134.116	167.394
CDX4	2.51058	3.13027	1.09629	1.23968	1.09629	2.51058	1.47904	1.38406	1	1	1.99161	1	1
CDYL2	1.78009	1.5047	3.46915	3.22796	3.46915	1.78009	1.53743	1.22159	2.22263	1.76455	1.72238	1	4.07238
CECR2	26.1944	27.4887	24.8704	21.6621	24.8704	26.1944	17.192	17.6064	3.26122	1.46009	16.2736	1.12787	1.42653
CECR3	1.03195	1.14104	1.03666	1.09125	1.03666	1.03195	1	1	1.11901	1.02523	1.03432	1	1
CELF1	59.7252	64.644	78.9468	80.0374	78.9468	59.7252	58.5287	57.359	23.6345	25.7458	52.2093	18.0429	24.5772
CELF2	13.2456	14.149	42.2108	51.2843	42.2108	13.2456	5.34651	5.86457	7.47894	3.54598	7.2977	4.39126	8.86856
CENPK	47.5899	47.9639	28.0086	37.2791	28.0086	47.5899	52.0457	65.0736	7.71653	6.34248	50.7336	1.80836	7.1749
CEP76	12.6419	12.6661	9.97702	11.9914	9.97702	12.6419	11.7196	14.7888	4.47374	3.9488	11.0159	4.34577	3.22337
CERS6-AS1	3.42558	2.03209	3.32183	5.89766	3.32183	3.42558	2.56197	5.69323	5.2804	5.33038	3.77379	1.84639	23.9866
CES1	1	1.03341	1.06946	1.04322	1.06946	1	1	1.11082	11.8182	11.0587	1.09754	2.33772	2.8792
CFC1	1	1	1.10085	1.00001	1.10085	1	1.04181	1	1.0982	1.10424	1	1	1.08537
CFC1B	1	1	1	1	1	1	1	1	1	1	1	1	1
CFL1P1	1.11406	1.06294	1.06543	1.04072	1.06543	1.11406	1.27128	1.18269	1.27619	1.22515	1.33692	1	1
CFLAR	7.10637	8.19375	75.2715	84.1666	75.2715	7.10637	1.24597	1.77685	20.8405	25.9823	2.30228	38.1436	22.141
CHD2	21.2266	21.3385	37.9832	39.6725	37.9832	21.2266	22.1446	21.7175	21.7114	22.9923	21.1047	15.0171	14.7505
CHEK2	40.3517	41.4792	18.8506	18.2684	18.8506	40.3517	35.3224	40.7072	7.29988	10.3318	31.4041	4.84976	7.82769
CHGA	31.0944	29.1646	3.79511	2.39998	3.79511	31.0944	1.11305	1.05438	901.928	621.704	1.76589	27.8728	159.992
CHL1-AS1	1	1	1.20771	1.3707	1.20771	1	1.08388	1	1.30807	1	1	1	1
CHSY3	1.94711	2.00861	1.45756	1.97284	1.45756	1.94711	2.81794	2.74899	2.75853	2.10104	2.90981	1	1.2889
CISD1	14.1992	14.8074	11.7658	18.0457	11.7658	14.1992	18.9627	23.0088	13.1861	19.7149	19.0929	63.0279	26.561
CISH	1.54481	1.47427	2.08422	1.7773	2.08422	1.54481	2.63535	2.10133	16.0059	24.7965	2.44638	6.05549	5.6048
CKM	1	1	1.77602	1.42925	1.77602	1	1.10724	1.03439	1.7837	5.27543	1.16145	42.5108	1.14579
CLC	2.91021	3.52987	1	1	1	2.91021	1.12116	1.23312	2.325	1.50677	1	15.3118	1
CLCA2	1.04291	1.04735	1	1	1	1.04291	1.02721	1.02618	1.29848	1.48504	1.03073	2.88773	1.30379
CLDN17	1	1	1	1	1	1	1	1	1	1	1	1	1
CLDN18	1.34724	1.34491	1.47813	1.34619	1.47813	1.34724	1.08249	1.11115	1.2194	1.13674	1.07451	1.38217	3.01326
CLEC2D	3.00034	3.09321	2.69072	2.82886	2.69072	3.00034	2.10504	2.27124	3.0962	4.16313	2.35222	7.91314	12.421
CLEC9A	1.03719	1	1	1	1	1.03719	1.07077	1.03404	1.19393	1.79343	1	1	1.14429
CLECL1	1.03994	1	1	1	1	1.03994	1	1	1.13189	1.18349	1	6.22555	1.75599
CLGN	15.2513	15.8481	22.5961	22.5209	22.5961	15.2513	13.4712	19.6288	2.44601	1.34028	13.8536	1	1.50031
CLHC1	3.34299	3.78892	3.10917	4.0504	3.10917	3.34299	3.76246	4.21477	3.96856	3.01105	3.55253	1.76823	1.62931
CLOCK	8.1242	8.69238	9.58944	9.79828	9.58944	8.1242	7.13023	8.07111	7.56476	7.3828	6.34944	4.97294	5.72883
CLSPN	13.4707	13.5619	10.4407	12.7874	10.4407	13.4707	12.5756	14.347	2.14613	2.14942	12.9641	1.14838	2.10681
CNGA1	1.55078	1.77153	1	1.27225	1	1.55078	1.32246	1.1745	5.42166	3.59116	1.06826	1.93323	1.61443
CNIH1	77.0113	76.6796	44.0415	61.6724	44.0415	77.0113	123.843	147.12	48.5982	68.5385	118.805	89.2544	80.8456
CNNM2	6.23078	6.2079	2.71766	2.71663	2.71766	6.23078	4.69672	4.33874	7.33225	9.52872	4.20859	3.78564	4.53603
COBLL1	1.87764	1.94976	4.12531	4.25761	4.12531	1.87764	1.43663	1.45314	10.1575	18.1482	1.61344	3.48738	5.18258
COG6	11.2843	11.7922	13.3431	16.4537	13.3431	11.2843	23.4689	29.4013	13.0866	13.9345	21.8884	8.76781	7.59078
COL10A1	1.33637	1.27354	1.26407	1.25281	1.26407	1.33637	1.03369	1.08102	1.09236	1.05587	1.17115	1	1.13684
COL15A1	1.11517	1.08089	1.04805	1.01495	1.04805	1.11517	1.09961	1.14375	14.5022	7.45576	1.17995	1.92065	3.2223
COPS8	35.657	34.2893	27.4286	35.0693	27.4286	35.657	47.3087	59.7453	12.5148	11.8986	46.5433	18.008	15.4166
COPZ1	70.6511	72.8325	79.2516	101.804	79.2516	70.6511	131.026	138.588	68.412	85.0295	124.03	162.001	106.962
COQ3	20.464	21.8565	11.162	15.0444	11.162	20.464	14.9617	17.8727	5.21771	4.01425	12.5602	8.98511	7.51123
COQ5	33.0263	30.7554	33.2793	36.9893	33.2793	33.0263	51.6625	56.1403	26.9119	25.9843	46.5098	30.6242	22.2158
CP	1.41643	1.57696	1.06648	1.05665	1.06648	1.41643	1.03264	1.03098	1.16055	1.14586	1.04297	2.45576	6.55928
CPT1C	10.6119	10.3383	7.12142	3.38814	7.12142	10.6119	6.93108	4.86285	5.18946	1.60953	7.24043	1	2.02325
CRB2	1.58238	1.4876	1.11521	1.04302	1.11521	1.58238	7.63067	4.38855	1.54653	1.30084	6.76057	1	1.09264
CREB5	1.39704	1.44617	1.33132	1.5876	1.33132	1.39704	1.35714	1.53521	7.26921	2.12103	1.89175	1	1.86301
CRTC3	3.15092	3.31487	4.5958	4.19983	4.5958	3.15092	4.59411	3.75422	14.7897	11.3373	4.98802	5.524	9.193
CRYM	18.8027	17.6577	1.48782	1.60713	1.48782	18.8027	36.8954	33.2992	6.01121	2.3026	36.5062	2.17772	2.8616
CRYM-AS1	1.20813	1.05743	1	1.1486	1	1.20813	1.14851	1.42862	1.21324	1.34915	1.02795	1	1.35248
CSMD2-AS1	1	1.05198	1	1	1	1	1	1	1	1	1	1	1
CST9L	1	1	1	1	1	1	1	1	1	1	1	1	1
CTD-2201E9.1	1.03704	1	1.97747	1.58182	1.97747	1.03704	1	1	1	1.05853	1	1	1
CTSO	2.68165	2.63501	3.66454	5.11669	3.66454	2.68165	2.84748	2.50256	17.7246	19.972	2.54834	16.8715	10.4433
CXCL12	15.7866	16.7034	4.76077	4.65019	4.76077	15.7866	14.1931	10.4534	57.0315	29.7787	14.7238	12.4026	35.2204
CXorf58	1.08154	1.09	1.09356	1	1.09356	1.08154	1.07758	1.11203	1.06074	1.06445	1.13153	1.90331	1.07915
CYLC2	1	1	1	1	1	1	1	1	1	1	1	1	1
DAB1-AS1	1.08365	1	1	1	1	1.08365	1	1	1	1	1	1	1
DAPL1	1	1	1	1	1	1	1	1.29501	1.47866	4.08666	1.17311	1	1
DCLK3	1.59523	1.37539	4.29283	3.12498	4.29283	1.59523	1.06067	1.04864	1.48331	1.13409	1.03425	1.46732	1.36918
DCTN4	35.0224	35.373	35.7123	44.2592	35.7123	35.0224	33.9987	40.7091	23.9018	23.9675	36.9836	17.3179	20.5375
DCTN6	38.5083	35.5951	41.6569	63.2776	41.6569	38.5083	39.0523	46.0699	19.2193	19.8081	48.8652	19.4049	19.9345
DDC	1	1.08191	1	1.05299	1	1	1.07061	1	68.3987	121.205	1.2392	248.864	73.178
DEFB107A	1	1	1	1	1	1	1	1	1	1	1	1	1
DEFB107B	1	1	1	1	1	1	1	1	1	1	1	1	1
DEFB122	1	1	1	1	1	1	1	1	1	1	1	1	1
DEFB123	1	1	1	1	1	1	1	1	1	1	1	1	1
DEFB127	1	1	1.2022	1	1.2022	1	1	1	1	1	1	1	1
DEK	268.001	274.946	111.188	135.738	111.188	268.001	293.277	364.803	61.5926	62.6362	277.664	64.3349	69.524
DENND1B	2.4408	2.40558	4.84304	4.86133	4.84304	2.4408	3.28694	3.25229	5.92142	6.05227	3.02617	6.60763	4.24621
