Genes	tracking_id	AS1	D4CF1	ES1	FS1	AS2	D4CF2	DE2	ES2	FS2	AS3	D4CF3	DE3	ES3
ADH5	114.787	105.933	119.299	112.683	38.7992	75.7519	116.083	117.52	110.219	45.2497	77.2095	139.861	93.8362	112.511
ADIPOQ	0	0.0402379	0	0	0	0	0.0237527	0	0	0	36.4994	0.0457168	1.29478e-06	0
ADK	5.67103	35.1425	25.0511	24.6876	13.3714	5.79133	36.3065	28.2423	26.8524	11.1675	9.33138	46.3036	19.86	27.9168
ADM5	0.49626	0.399854	0.467175	0.658578	0.298681	0.631604	0.435866	0.899565	0.347622	0.565241	2.38436	0.262085	1.93839	0.547515
ADO	9.1233	16.9891	16.7449	19.0907	8.99999	9.22087	17.5128	15.5369	20.0076	10.2716	9.9228	22.0623	13.3029	20.181
ADRA1A	0	0.0326503	0	0.115933	0.482463	0.639352	0.0250251	0.0434074	0.0335465	0.516571	1.16216	0	0	0.0457242
AFF2	0	3.70455	0.37341	2.87723	0.681253	0	4.24712	0.381161	2.87593	0.260268	0.148227	4.26838	0.5087	2.37495
AGAP9	0	0	0	0	0	0	0	0	0	0	0.0484302	0	0	0
AGBL1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGBL2	1.11494	0.242434	0.361652	0.660954	1.83831	0	0.138033	0.34531	0.729468	2.35256	0.186845	0.162309	0.351439	0.658535
AGBL4-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGFG1	15.3774	16.293	24.2752	22.6005	14.4646	18.8621	16.7589	24.159	24.0129	22.298	9.3945	19.1133	19.5432	22.1733
AGO3	1.92158	6.19099	5.31042	5.04896	3.67425	1.13336	6.96353	6.07631	5.23939	3.53181	1.52575	7.25165	5.10084	4.31929
AHSA1	66.7165	109.423	91.3911	101.227	37.5921	43.4668	108.647	100.065	96.5447	42.4032	48.553	121.293	74.216	107.237
AHSP	0	0.194318	0	8.68313	5.90732	0	0	0	6.18916	1.30138	0	0	0	7.70415
AJAP1	0	0.981748	6.91071	1.89412	0.419286	0.645898	0.642651	6.53566	1.87679	0.305859	0.194225	0.459782	7.24999	1.86864
AK5	0	1.12822	0.107101	1.33025	0.43574	0	0.333079	0.124986	1.4683	0.899636	0.236768	0.592827	0.261106	1.77996
AKAP10	8.59207	11.8723	14.3712	12.5583	8.68461	4.82442	12.5457	14.1546	12.8112	9.17864	5.0536	14.1708	11.7588	11.8299
AKAP11	3.68726	11.1079	12.2248	11.2967	14.819	2.34644	10.2607	12.149	12.4057	12.8126	7.04566	12.903	9.55514	9.90161
AKAP13	23.1419	8.53836	36.0381	9.48843	23.0406	23.6915	7.76728	38.6459	10.0797	15.6407	18.3245	8.07769	34.4764	8.7388
AKAP5	0.300277	3.39995	1.18817	2.33908	5.26346	0.191085	4.04534	1.2293	2.14009	3.50298	0.570259	4.15456	1.15734	1.97254
AKIRIN1	32.9955	68.9548	123.615	156.557	18.6794	23.8604	66.136	112.603	158.719	19.291	23.7689	81.691	85.655	165.486
AKR1C3	567.793	0.294283	5.13409	2.35775	0.877429	297.558	0.208504	5.02609	2.1281	4.78865	117.874	0.250676	3.87175	2.76233
AKR1C4	0	0.0593987	0	0	0.0411718	1.2259	0	0	0	0	0.430625	0	0	0
ALCAM	9.62689	29.3804	14.7611	31.0226	21.6612	9.46542	21.4116	15.8783	33.3174	13.6321	11.818	22.356	11.6879	31.8627
ALDH1A1	746.517	0.298175	3.8084	0.807514	87.2857	297.049	0.672221	2.77474	1.05832	80.1993	88.4889	0.577434	3.15599	0.921177
ALG13	19.9473	15.8903	35.9078	43.4866	10.3586	22.2474	17.897	36.8937	47.7278	13.3108	7.13878	20.4488	30.1256	41.6552
ALKBH1	5.95874	9.11967	7.90853	8.74226	4.58244	7.07826	8.3827	9.20738	8.78746	4.90779	4.61598	10.312	6.18694	9.3932
ALKBH8	0.73333	6.38061	5.48022	10.4091	3.74218	1.55555	7.49452	4.88743	10.0365	3.97097	3.24977	9.11317	4.44625	10.1042
ALMS1	0.666997	10.041	12.7384	13.768	5.41252	1.13187	9.97615	12.962	15.3895	4.86147	1.91238	11.6188	11.4548	11.7685
ALPPL2	0	0	0	0.477148	0	0	0	0	0.342295	0	0	0	0	0.207356
ALS2CR12	0.59957	0.111357	0.916176	0.0691104	0.308914	0	0.0328743	1.19302	0.152551	0.191091	0.276525	0.0316194	0.39649	0.150171
ALYREF	20.2705	51.9169	37.556	46.3738	24.4576	35.3035	53.0244	31.888	45.1714	23.7326	32.7936	41.5498	43.3811	53.9713
AMBP	2.31822	0	0	0.844613	5.19789	0.983486	0.042292	0.126959	0.883103	1.26523	0.949936	0	0.0510051	0.850003
AMIGO2	0.993525	4.81126	3.78625	3.08447	13.658	0.421496	4.77118	5.46688	2.71128	8.93818	7.80889	4.57288	3.31638	3.02992
AMPD1	0	0.026725	0	0	0.0185387	2.7494	0	0.0355279	0	0.0196392	0.144763	0	0	0
AMY1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMY1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMY1C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAPC11	110.58	18.9443	10.0778	16.6191	25.7054	122.09	17.2325	7.18131	13.6319	24.2612	116.327	10.4308	21.9455	20.4101
ANAPC15	51.6038	49.332	36.0813	57.1325	16.5497	57.1988	48.0734	43.1522	49.5024	21.7386	49.58	39.5458	43.6989	60.8326
ANAPC16	67.4533	37.5434	23.6242	26.3376	24.444	71.9747	46.8248	23.0474	24.7843	29.1561	42.5098	43.7505	20.3639	25.4195
ANAPC5	52.5505	47.2708	45.3356	47.9569	41.6575	40.131	57.5099	43.773	47.9904	45.7157	20.0611	55.2549	47.6706	49.2741
ANGPTL5	0	0	0	0	0.0188121	0	0	0	0	0.0398592	0.146573	0	0	0.0219429
ANGPTL7	0	0	0.106828	0.0261905	0.0780604	0	0	0.0748005	0	0	0.659022	0	0.0901518	0.0227634
ANK2	0.121142	4.35001	22.7807	8.35033	21.298	0.61675	2.40713	23.0743	8.81742	7.26462	3.63923	2.55817	20.2398	8.20683
ANKRD12	16.9932	8.30441	6.92239	6.22894	9.79299	9.99876	8.20597	6.71613	6.90675	7.75553	5.59945	9.45595	6.09904	5.46734
ANKRD13C	4.66335	9.46418	9.89192	7.08046	7.08206	6.37481	9.45734	8.76854	7.09699	6.65488	5.09384	10.6639	7.42407	7.89238
ANKRD20A12P	0	0.0381079	0	0	0.0264277	0	0	0	0	0	0	0.0649424	0	0
ANKRD30BL	0	0.0480639	0	0	0.166621	0	0	0	0.0493827	0	0	0	0	0
ANKRD30BP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD34B	0	0.0943765	0.0298637	3.03113	0.0109141	0	0.0835871	0.125463	2.44031	0	0	0.0804169	0.117609	2.79995
ANKRD34C	0	0	0	0	0	0.230074	0	0	0	0	0.0403899	0.00957968	0	0.0181934
ANKRD36BP2	0	0.076915	0	0	0.10668	0.79078	0.102183	0.2045	0.0395127	0.113142	0.555442	0.196615	0	0.0622338
ANKRD40	5.47719	24.8067	29.3378	29.3078	14.1422	5.15246	26.1132	28.3538	30.08	11.6931	11.839	30.3819	28.837	28.7183
ANKRD45	0	2.02203	0.632306	0.376477	0.429076	0	1.26414	0.790606	0.537708	0	0.128491	0.932415	0.762289	0.481197
ANKRD62	0	0	0	0.0120631	0.0089917	0	0	0	0	0	0	0	0	0
ANKRD62P1-PARP4P3	0	0	0	0	0.0305044	0	0	0	0	0	0	0	0	0
ANKRD7	0	0	0.289907	0	0.176436	0	0	0	0	0	0.0921041	0	0	0
ANKS1B	0	1.44351	25.0671	1.32836	5.05889	0	0.511022	27.9435	1.71678	0.200653	0.213088	0.482441	18.8624	2.0022
ANO3	0.493789	0.0716688	0.0194385	0.0667193	0.0568403	0	0.0453396	0	0.0420773	0.037573	0.0183876	0.165756	0.0109361	0.0579889
ANO4	0	0.723768	2.41884	1.22105	0.430655	0.669109	0.245924	2.79253	0.872648	0.865327	0.0293655	0.448961	2.39714	0.991187
ANO6	19.358	28.8856	41.0929	27.6355	26.5224	32.1541	28.822	43.1756	30.4806	31.8382	27.8731	33.4644	33.9651	25.9508
ANP32AP1	3.59625	65.1692	59.8827	51.5632	9.28211	4.57705	65.7975	61.3605	52.3916	13.4082	12.2658	63.6766	48.598	53.4413
ANXA1	11.1288	53.5786	14.7318	2.7888	12.7001	71.8314	43.6258	33.8833	2.42194	10.7362	17.5898	52.056	11.8027	3.29807
ANXA11	232.153	11.2438	33.179	23.0375	43.1336	240.336	13.6611	32.7594	20.0094	51.9951	71.7904	9.89834	42.1881	22.9225
ANXA2P3	0	10.8564	26.251	6.96024	8.80461	0	7.93712	29.1371	5.57714	5.31576	0	11.825	18.9806	7.04391
AP1S2	0.894405	65.6754	88.4104	52.1289	14.7559	6.26138	61.164	82.7731	53.0587	3.38351	10.7938	83.8944	57.2642	58.5253
AP3B2	0	0.965333	3.19227	5.12866	3.33593	0	0.339044	2.03561	5.09161	1.38181	0.83071	0.42279	3.84377	4.50806
AP3M1	7.09294	32.7731	29.8091	23.3179	15.46	8.05144	31.0183	30.679	24.6935	14.8342	12.2928	40.8111	23.6743	23.112
APAF1	5.42865	12.8487	19.8252	8.06666	8.68906	6.91769	12.885	19.0567	8.67963	7.17738	8.00617	15.7652	15.921	8.26
APOA2	0	28.5784	33.5492	0	25.1571	4.63226	10.0472	28.1313	0	38.5426	0.407472	10.9673	31.458	0
APOBEC1	269.574	0	0	0	2.54077	231.677	0	0	0	14.2282	21.749	0	0	0.0690173
APOLD1	0	3.32974	1.32973	0.209128	4.22256	2.16419	1.72047	1.40539	0.176498	3.86801	33.4581	2.09436	1.25625	0.213846
ARAP2	8.30082	0.221366	0.856133	0.511379	1.63868	12.2416	0.174274	0.926441	0.581235	4.82536	2.09009	0.265469	0.884502	0.457732
ARAP3	0.559723	4.44384	3.96519	11.8276	5.42674	1.18729	4.84011	3.79443	11.7661	5.63814	3.79345	3.69755	7.57236	11.7632
ARFGAP3	50.3643	18.5055	25.015	11.388	23.5242	54.943	16.7458	22.227	11.5135	33.2894	20.8595	17.8819	21.3131	11.7583
ARFIP1	33.3946	29.8882	36.8843	27.5487	18.5341	12.5867	30.0368	32.6056	26.2285	19.4501	20.1147	37.0781	26.9186	27.3763
ARG2	64.8289	53.1304	31.1399	69.8201	5.42702	42.5935	57.9102	30.9808	67.0131	5.27192	19.7918	73.7289	27.6366	70.7013
ARHGAP15	0.609663	0.0754806	0	0.17567	3.35015	11.639	0.133703	0	0.0387759	5.74562	1.36253	0.16079	0.0806243	0.122146
ARHGAP17	33.228	22.4711	29.5136	26.1562	25.2061	32.8327	22.9095	27.9548	24.6209	36.4594	17.5995	24.2992	30.0886	23.9119
ARHGAP24	0.248111	8.11347	16.4944	0.157897	2.58998	2.525	9.75328	17.6908	0.0633667	1.22185	2.85363	14.3121	13.8752	0.106952
ARHGAP25	0.708959	0.732251	0.122642	0.781328	0.844893	5.86511	0.782203	0.146252	0.791283	0.996718	1.94635	0.495423	0.253009	0.801531
ARHGAP29	0.211571	9.5671	14.3887	0.950097	3.01143	0.538544	7.85521	13.4274	1.24477	1.7248	3.73424	7.60778	11.1615	0.974947
ARHGAP44	8.38846	2.94012	2.58481	6.33706	3.56769	6.82094	2.66813	1.90614	5.96718	0.882587	9.08509	2.60399	2.75372	5.55472
ARHGAP5	20.0662	18.6332	29.279	16.2607	16.1793	15.5762	18.2787	25.9947	17.3514	18.1699	9.64945	20.4408	23.5373	14.7037
ARHGAP5-AS1	2.64853	1.79818	1.75873	1.67399	4.23069	7.86535	1.49608	1.37633	2.23941	4.73481	6.8082	1.85721	2.38634	2.24856
ARHGDIA	310.632	29.6174	27.4952	19.0029	82.7605	387.597	26.3855	27.778	19.3076	86.7615	214.917	17.217	47.5842	19.4178
ARHGEF10L	5.11995	2.14089	0.384488	3.33637	41.4253	3.85054	1.71677	0.480753	3.05914	41.3502	29.8995	0.838153	1.8696	2.87412
ARHGEF16	113.444	1.02158	3.50771	2.06393	17.432	102.94	0.71228	2.77394	1.98756	23.9822	18.1514	0.407455	9.51893	2.19836
ARHGEF3	1.68738	4.90942	5.80469	2.27687	7.37507	3.89194	3.46587	5.18127	2.72851	2.32602	7.19511	3.51326	5.1313	2.53032
ARHGEF33	0.230278	0.0286275	0.190232	0.266505	0.214663	0	0.101419	0.247371	0.294131	0.160681	0.0583255	0.0609828	0.214049	0.312704
ARHGEF34P	0.708149	0.101012	0.278554	0.198941	0.529047	1.20171	0.129943	0.175539	0.281731	1.17258	0.290082	0.0500059	0.541682	0.257837
ARHGEF38	0.539007	0.804537	0.339442	0.405695	5.37866	0.686009	0.811526	0.386224	0.298499	9.47368	2.62386	0.837876	0.381939	0.379733
ARID5B	0.829671	3.68212	1.11108	0.256307	13.6906	2.1121	3.49638	0.892057	0.277175	12.1654	12.4181	3.56996	1.43349	0.19517
ARL1	16.9761	42.2284	37.7706	33.6779	32.9149	14.0038	44.8187	34.6483	35.0226	36.3353	26.3772	49.5234	29.7788	33.9153
ARL14EP	6.65887	23.4595	16.1511	21.1416	11.2274	10.7863	23.4992	14.6966	19.9833	13.4774	7.71147	29.1859	11.7685	22.4383
ARL4D	0.687052	4.92946	30.7396	3.24397	6.54174	6.99544	4.93047	33.2743	2.88165	1.12554	11.056	5.25041	31.0476	2.54442
ARL5A	40.506	42.0357	46.1812	45.7121	13.7608	23.1073	44.6415	43.8351	45.5279	22.2523	17.4404	55.1586	31.5159	45.6594
ARL6	0	6.3668	6.65645	4.01998	2.99569	0	6.17609	4.89056	3.83146	1.68564	1.83918	8.14839	5.23501	4.81481
ARL6IP4	318.336	38.9193	19.2522	21.3142	58.9234	381.245	42.7372	18.4207	19.1931	67.2121	111.658	25.9451	35.5577	22.0531
ARMS2	0	0	0	0	0.134572	0	0	0	0	0	0	0	0	0
ARNTL2	2.39717	5.0934	12.6974	6.42497	1.28456	0.859008	4.99548	11.3279	7.55846	1.72836	1.9302	6.83185	9.20971	6.79793
ART1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ART5	0	5.22219	0.746356	2.35262	0.125517	0	7.75837	0.970536	2.30799	0.133208	0.305165	5.35886	2.45942	2.63549
ARV1	22.9561	11.7278	14.6346	11.226	9.70519	11.6868	12.3974	13.2647	13.167	11.9031	17.8727	17.8908	11.5167	13.6599
ASAH2B	0	0.130993	0.248703	0.121947	0.997061	0	0.116018	0.174141	0.269175	0.29104	0	0	0.13992	0.10599
ASB17	0	0	0	0	0	0	0.061793	0	0.0716852	0	0	0	0	0
ASB8	28.2681	6.55319	6.10528	4.28631	12.5398	32.4797	5.76085	6.50951	4.35517	11.2585	16.055	6.28965	5.51654	4.15908
ASCL5	0	0	0	0.134786	0.133844	0	0	0	0	0	0.174579	0	0	0.0390496
ASPHD1	0.745223	0.783095	0.962033	1.97263	4.59928	0	0.652771	0.4899	2.22443	1.38989	8.99439	0.314007	0.738053	2.9072
ASUN	6.47915	22.1027	22.429	31.8695	6.56557	5.20812	26.8136	23.3038	34.9773	7.12256	6.36259	35.5561	17.4353	32.4957
ATAD1	4.00792	49.2509	44.8836	28.1855	17.2071	5.95116	52.0506	44.4394	31.235	17.5171	13.3963	58.134	29.9252	29.682
ATAD5	0	11.7606	11.6995	14.1334	2.29332	0.198852	14.2124	11.1896	16.0978	2.58946	0.820343	15.5368	10.9944	12.4806
ATF7IP2	3.02312	4.34522	7.86847	11.7453	7.26709	0.744655	6.17621	8.87856	11.0132	10.085	3.30143	7.1519	7.40856	12.0498
ATG13	17.2914	8.09603	23.264	13.1758	12.0284	14.7852	7.87618	24.3927	12.9956	13.1039	15.0086	7.90952	26.6607	12.8845
ATL1	5.45784	4.74131	2.2045	7.85934	6.76349	3.47316	2.78521	1.31846	7.38552	3.67876	4.87839	4.06054	1.8348	7.71158
ATP11A	4.51413	8.79332	11.6236	12.7773	17.8958	4.06372	8.43733	12.4497	14.3618	28.5436	9.80262	7.74213	13.7256	11.1006
ATP11AUN	0	0	0	0	0	0	0	0	0	0.0423495	0	0	0	0
ATP4B	0	0	0.258517	0.042253	0	0	0	0	0	0.0333999	0.164095	0	0.096961	0.0367241
ATP5B	1150.08	559.972	490.824	622.966	238.817	967.731	576.853	532.98	606.828	256.747	491.177	665.848	409.96	616.109
ATP5EP2	171.039	90.6717	81.33	75.7695	111.544	310.979	85.9968	78.7768	83.9904	223.461	281.499	99.4648	60.627	79.7191
ATP5G2	313.548	260.863	71.4307	181.227	184.424	492.154	285.995	72.3916	159.533	203.959	272.737	189.994	125.824	177.2
ATP8B1	26.4954	1.14097	1.6417	0.881031	38.2496	26.6001	1.03227	1.5309	0.711278	40.9968	43.1513	1.01905	1.57501	0.578757
ATPAF1	32.5466	41.4099	48.7925	40.6579	20.9914	24.3664	38.684	43.3666	42.5394	18.6413	28.1973	52.8679	36.4335	37.2132
AUH	45.2464	7.67499	12.6395	13.8557	12.7023	20.068	7.58623	12.4579	13.68	16.4096	9.57625	7.58756	9.60209	14.3757
AUTS2	2.98941	12.2512	16.3477	22.2976	9.85619	4.7442	8.9066	17.9221	22.1083	9.14429	5.40184	10.2018	15.6525	23.4596
AVP	0	0	0	0	0.0978251	0	0	0	0	0.209618	0	0	0	0
AVPI1	55.1751	1.87716	1.31304	3.72499	27.0566	79.3824	2.18758	1.05073	2.7915	41.9626	19.303	2.10461	1.95232	3.47738
AVPR2	0	0	0.0797289	0	0.200465	0	0.0743838	0.0558458	0.0431326	0.182286	4.7791	0.0357655	0.123154	0.0339902
AXIN2	0.234405	48.5023	27.6341	7.21575	5.05484	1.79	56.2743	26.2252	7.24519	4.56762	7.59432	50.9867	25.8493	7.28537
AZI2	28.3797	28.7589	29.7534	18.1754	13.7429	20.3885	26.5543	28.4575	19.3397	13.848	13.0433	32.8215	20.9166	19.3062
B3GALTL	2.5907	6.30927	17.6207	3.87027	4.20524	1.7985	6.11955	17.9231	4.00073	3.09535	1.94707	7.39673	13.0875	4.61936
B3GAT3	13.9596	6.84118	2.46246	3.07933	8.89465	26.0434	7.01167	1.80039	2.4899	16.8353	33.2012	2.97797	4.89903	2.34633
B3GNT5	48.1883	18.7186	57.374	7.20733	21.9765	41.3981	16.247	53.1528	7.43132	32.127	22.9339	20.3137	40.3882	7.03969
B3GNT6	1.61419	0	0	0	7.20788	2.56803	0	0	0	1.0118	7.98063	0	0	0
B4GALT4	37.2708	24.9874	175.448	27.7788	36.1142	20.4968	28.7537	168.146	27.7376	31.1796	22.4673	28.5716	141.249	31.2061
B4GALT7	12.4512	4.20013	1.90213	1.79361	7.82967	19.0164	4.09536	1.43432	2.0983	9.01259	25.9489	2.13419	4.85678	2.40072
BAGE	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAGE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAGE4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAGE5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BASP1	0	72.8813	103.373	90.6571	41.2383	13.5957	61.587	99.2658	93.901	2.66086	9.05662	71.6781	81.3373	99.5629
BAZ2A	16.8507	22.4573	27.9951	27.5454	21.0346	13.8369	25.7951	28.9717	27.4815	21.3377	15.6667	21.9657	36.026	24.6352
BAZ2B	0.815128	0.10114	0.240029	0.18831	0.245566	0.518718	0.0671828	0.336135	0.155872	0.148632	0.500909	0.107725	0.243072	0.286421
BBIP1	2.31561	17.0947	14.4485	10.4407	4.53164	4.24217	16.88	12.4289	11.8466	3.33449	6.61799	21.7247	11.6522	12.5408
BBOX1	0.563348	0.0697815	0.132486	0.129925	0.580763	0	0.0618038	0.0927667	0	0.436142	0	0.0594598	0.0372684	0.169385
BBS12	1.86506	4.05399	2.08915	2.44413	3.18772	1.18686	3.53923	1.84777	1.94346	4.16848	2.04898	4.16167	2.28885	2.01497
BCAP29	3.73159	10.2252	15.0995	5.19409	8.7011	6.03762	10.747	14.4366	4.99445	4.79056	7.5365	13.813	9.73859	5.2621
BCDIN3D-AS1	0	0.49704	0.596575	0.480632	0.381973	0	0.308588	0.28591	0.557381	0.928419	0.609138	0.454488	0.363929	0.359222
BCL2L1	61.4531	15.9487	17.9315	37.2342	20.6585	162.56	12.6025	18.5187	34.8466	22.6104	70.7706	11.6999	20.283	38.2296
BCOR	3.85548	9.05434	14.2301	17.12	12.8473	2.35531	7.85622	15.1123	16.3318	15.5907	7.09796	7.31941	14.2111	17.727
BDKRB1	0	0	0.406274	0	0.77881	3.30883	0	0.213354	0.0549647	0.315129	1.35594	0.0455839	0.514281	0
BDNF-AS	0	1.84326	0.774018	1.70344	2.03416	1.12573	1.55258	0.987864	1.25553	1.18642	1.20101	1.34642	1.11383	1.59008
BFAR	21.3076	34.5628	30.6909	35.1971	17.841	15.2543	33.4126	32.3445	35.7447	18.8432	23.6943	34.3119	28.6822	36.8637
BGLAP	0	0	0	0	4.05806	0	0	0	0	1.08891	3.8234	0	0	0
BLOC1S1	591.812	67.7791	41.347	79.0031	66.7869	536.594	77.3588	34.5912	64.8312	89.609	162.552	53.7437	64.9108	77.1817
BLOC1S1-RDH5	31.8607	1.079	1.20432	0.804905	7.69139	23.285	0.889294	0.173703	1.31307	6.89121	6.15978	0.161037	0.705455	0.654517
