Genes	tracking_id	AS1	D4CF1	ES1	FS1	AS2	D4CF2	DE2	ES2	FS2	AS3	D4CF3	DE3	ES3
ARFIP1	33.3946	29.8882	36.8843	27.5487	18.5341	12.5867	30.0368	32.6056	26.2285	19.4501	20.1147	37.0781	26.9186	27.3763
ARG2	64.8289	53.1304	31.1399	69.8201	5.42702	42.5935	57.9102	30.9808	67.0131	5.27192	19.7918	73.7289	27.6366	70.7013
ARHGAP17	33.228	22.4711	29.5136	26.1562	25.2061	32.8327	22.9095	27.9548	24.6209	36.4594	17.5995	24.2992	30.0886	23.9119
ARHGAP29	0.211571	9.5671	14.3887	0.950097	3.01143	0.538544	7.85521	13.4274	1.24477	1.7248	3.73424	7.60778	11.1615	0.974947
ARHGDIA	310.632	29.6174	27.4952	19.0029	82.7605	387.597	26.3855	27.778	19.3076	86.7615	214.917	17.217	47.5842	19.4178
ARHGEF10L	5.11995	2.14089	0.384488	3.33637	41.4253	3.85054	1.71677	0.480753	3.05914	41.3502	29.8995	0.838153	1.8696	2.87412
ARHGEF16	113.444	1.02158	3.50771	2.06393	17.432	102.94	0.71228	2.77394	1.98756	23.9822	18.1514	0.407455	9.51893	2.19836
ARID5B	0.829671	3.68212	1.11108	0.256307	13.6906	2.1121	3.49638	0.892057	0.277175	12.1654	12.4181	3.56996	1.43349	0.19517
ARL1	16.9761	42.2284	37.7706	33.6779	32.9149	14.0038	44.8187	34.6483	35.0226	36.3353	26.3772	49.5234	29.7788	33.9153
ARL14EP	6.65887	23.4595	16.1511	21.1416	11.2274	10.7863	23.4992	14.6966	19.9833	13.4774	7.71147	29.1859	11.7685	22.4383
ARL6	0	6.3668	6.65645	4.01998	2.99569	0	6.17609	4.89056	3.83146	1.68564	1.83918	8.14839	5.23501	4.81481
ARL6IP4	318.336	38.9193	19.2522	21.3142	58.9234	381.245	42.7372	18.4207	19.1931	67.2121	111.658	25.9451	35.5577	22.0531
ARMS2	0	0	0	0	0.134572	0	0	0	0	0	0	0	0	0
ART1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ART5	0	5.22219	0.746356	2.35262	0.125517	0	7.75837	0.970536	2.30799	0.133208	0.305165	5.35886	2.45942	2.63549
ARV1	22.9561	11.7278	14.6346	11.226	9.70519	11.6868	12.3974	13.2647	13.167	11.9031	17.8727	17.8908	11.5167	13.6599
ATAD1	4.00792	49.2509	44.8836	28.1855	17.2071	5.95116	52.0506	44.4394	31.235	17.5171	13.3963	58.134	29.9252	29.682
ATP5B	1150.08	559.972	490.824	622.966	238.817	967.731	576.853	532.98	606.828	256.747	491.177	665.848	409.96	616.109
ATP5G2	313.548	260.863	71.4307	181.227	184.424	492.154	285.995	72.3916	159.533	203.959	272.737	189.994	125.824	177.2
ATP8B1	26.4954	1.14097	1.6417	0.881031	38.2496	26.6001	1.03227	1.5309	0.711278	40.9968	43.1513	1.01905	1.57501	0.578757
AVPI1	55.1751	1.87716	1.31304	3.72499	27.0566	79.3824	2.18758	1.05073	2.7915	41.9626	19.303	2.10461	1.95232	3.47738
AZI2	28.3797	28.7589	29.7534	18.1754	13.7429	20.3885	26.5543	28.4575	19.3397	13.848	13.0433	32.8215	20.9166	19.3062
B3GALTL	2.5907	6.30927	17.6207	3.87027	4.20524	1.7985	6.11955	17.9231	4.00073	3.09535	1.94707	7.39673	13.0875	4.61936
B3GNT5	48.1883	18.7186	57.374	7.20733	21.9765	41.3981	16.247	53.1528	7.43132	32.127	22.9339	20.3137	40.3882	7.03969
B3GNT6	1.61419	0	0	0	7.20788	2.56803	0	0	0	1.0118	7.98063	0	0	0
B4GALT4	37.2708	24.9874	175.448	27.7788	36.1142	20.4968	28.7537	168.146	27.7376	31.1796	22.4673	28.5716	141.249	31.2061
BASP1	0	72.8813	103.373	90.6571	41.2383	13.5957	61.587	99.2658	93.901	2.66086	9.05662	71.6781	81.3373	99.5629
BAZ2A	16.8507	22.4573	27.9951	27.5454	21.0346	13.8369	25.7951	28.9717	27.4815	21.3377	15.6667	21.9657	36.026	24.6352
BAZ2B	0.815128	0.10114	0.240029	0.18831	0.245566	0.518718	0.0671828	0.336135	0.155872	0.148632	0.500909	0.107725	0.243072	0.286421
BCAP29	3.73159	10.2252	15.0995	5.19409	8.7011	6.03762	10.747	14.4366	4.99445	4.79056	7.5365	13.813	9.73859	5.2621
BCL2L1	61.4531	15.9487	17.9315	37.2342	20.6585	162.56	12.6025	18.5187	34.8466	22.6104	70.7706	11.6999	20.283	38.2296
BCOR	3.85548	9.05434	14.2301	17.12	12.8473	2.35531	7.85622	15.1123	16.3318	15.5907	7.09796	7.31941	14.2111	17.727
BDKRB1	0	0	0.406274	0	0.77881	3.30883	0	0.213354	0.0549647	0.315129	1.35594	0.0455839	0.514281	0
BMP5	0	2.68655	1.5302	0	9.64871	1.83862	1.05752	1.15081	0.0306697	15.0955	1.23752	1.34807	1.11597	0.0241528
BMP7	0	11.1638	4.86214	1.04213	4.39451	0.314044	11.5852	5.13726	1.37074	1.2498	0.964831	10.6624	3.50529	1.01744
BMPER	0	1.77506	7.27115	0.282958	0.885859	0.746538	0.559937	10.0855	0.337272	0.464088	0.655285	0.663016	4.71409	0.295119
BSPRY	13.2412	0.520075	2.49451	2.47175	7.84184	17.4141	0.87275	2.18331	2.36237	2.27309	15.2385	0.32653	3.71318	2.23691
BTBD2	44.2729	7.8524	3.13863	5.34113	34.742	42.3851	7.9882	2.94099	5.29531	43.6902	44.2127	4.12227	9.84169	5.05531
BTF3	481.604	644.63	436.418	443.014	183.624	498.539	690.484	420.365	441.268	289.729	247.532	707.802	330.355	465.94
BTF3L4	2.67376	25.9428	22.1423	28.2276	4.97847	4.94647	27.4914	20.1994	28.3766	5.23259	7.29342	31.7619	16.3483	27.3454
BTG1	61.5797	12.1936	5.12799	8.21458	25.0926	54.2178	9.92863	4.26985	8.15004	17.4699	40.8528	11.5072	3.64126	8.09445
BTG3	9.05735	58.3892	30.7337	24.4503	22.5117	15.37	52.3523	32.2485	20.658	17.2892	13.3254	63.2499	25.3631	19.9298
BTNL2	0	0.100835	0.0957223	0.610164	0.314587	0	0.133961	0	0.155403	0.185576	0.0912255	0	0	0.326352
BUB1	0	61.3713	71.6449	114.261	7.10237	0.737441	67.52	71.057	116.273	9.1537	4.85122	82.2657	59.9942	107.635
C10orf10	1.02048	0.252958	0.120066	0.500413	4.53984	8.44217	0.280049	0.0840699	0.649747	2.44068	42.5887	0.188599	0.236422	0.53727
C11orf53	3.37654	0	0	0	0.288085	0	0	0	0	0.357543	0.503239	0	0	0
C11orf54	87.0726	16.6465	17.6123	14.4374	26.3026	45.7199	18.929	13.1172	14.6979	40.1816	16.3156	18.292	13.7552	13.6769
C12orf60	1.03293	6.11046	2.77947	2.25168	0.617603	0	6.82123	2.03079	2.61588	0.797352	0.923633	7.64724	1.49574	2.72956
C12orf66	0.789503	3.15966	2.09264	3.99034	1.54624	0	3.42754	2.21417	4.27814	1.88961	2.07295	4.02801	2.43312	2.97274
C12orf79	0	0.152165	0.496417	0.21019	0.274493	0	0	0.365386	0.0870068	0.0894677	0.164585	0	0.292589	0.246259
C14orf178	0	0	0	0	0.0948079	0	0	0.363654	0.140117	0.203137	0	0.116072	0	0
C15orf53	0	0	0	0	0	0	0	0	0	0.04692	0	0	0	0
C17orf51	0.122345	3.74595	0	0.00708791	2.21926	0.467135	3.29073	0	0	0.63693	2.20042	3.47732	0	0
C17orf75	3.88029	13.2142	10.9666	10.4925	3.85004	2.46928	13.6026	11.5983	11.4425	4.13227	2.91405	15.4391	10.1494	11.9823
C1QTNF6	2.07612	3.05032	0.407838	0.91989	6.99321	2.49344	1.84546	0.428351	0.794539	7.43662	2.04337	1.55582	1.23903	0.79952
C1orf100	0	0	0	0	0	0	0.263718	0	0	0	0	0	0	0.173288
C1orf185	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf195	0	0	0	0	0.354425	0	0	0.313307	0	0.703684	0	0	0	0
C21orf58	1.0625	2.6054	2.11085	4.30846	4.63464	0	3.11194	1.7673	4.06987	3.68316	4.4917	2.56511	3.39263	4.51137
C7orf49	13.9716	18.076	23.2215	20.7539	14.4729	28.9131	20.7733	17.4304	18.4935	13.9807	26.1229	19.4584	19.8929	20.8892
C8orf34	0	1.15065	2.16713	0.425213	0.0413221	0.970254	0.738321	1.97406	0.411221	0.0222684	0	1.25319	1.10778	0.356664
C9orf84	0.209175	0.0129967	0.222188	0.0355764	0.0982994	0	0.0115099	0.0518083	0.0267149	0.0668687	0.0467275	0.0332352	0.208328	0.0210367
CA4	0	0.988393	0	0.805117	4.92387	0	1.47723	0	0.761636	5.18863	2.01622	0.315824	0	0.799733
CAB39L	1.49405	7.5583	6.10167	3.90417	3.85021	1.14091	6.95339	4.32897	3.86546	1.93896	4.39306	8.02727	4.51218	4.0973
CACNA1D	0.382997	0.0714921	0.135742	0.27364	17.547	0.324966	0.0844268	0.168974	0.432607	25.2273	2.35317	0.0473773	0.161224	0.302113
CALB1	0	1.48796	107.734	15.1668	2.69426	0	0.178692	132.23	16.7649	0.444743	0.181677	1.33234	66.7533	17.4674
CALHM3	0	0	0	0.0377301	0.112421	0.833681	0	0	0	0.0596277	0	0.0345343	0	0.0327931
CAPN12	1.41128	0.214173	2.32013	0.731142	1.51883	0.465149	0.209428	3.07293	0.861405	9.67078	4.1637	0.168977	6.51574	0.785529
CAPN2	116.941	55.6576	42.7561	20.8578	62.5281	51.8351	52.537	45.149	21.799	32.3774	39.5733	51.6551	38.3844	20.9661
CARD17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARD6	9.45963	0.0150749	0.28621	0.421014	0.627608	2.77835	0.0534058	0.120242	0.41819	0.819059	9.67397	0.0385353	0.209328	0.42691
CARKD	69.522	11.2806	11.2548	10.6142	22.3757	43.9685	11.48	12.3822	10.5049	18.3047	32.6869	9.32408	15.8679	10.6877
CASC20	0	0	0	0.040201	0	0	0.0382464	0.0574074	0	0	0	0	0	0
CAST	123.454	27.5215	22.8269	31.612	70.2686	80.2293	33.2746	21.9655	31.7385	90.4171	27.4709	34.3994	22.3643	26.6074
CCDC117	6.7217	33.1566	30.5434	29.9217	16.3453	10.6081	36.4418	26.146	33.0405	18.6606	10.0327	43.9562	22.4833	30.7913
CCDC140	0	0.549569	0	0	0	0	0.521508	0	0	0	0	0.401383	0	0
CCDC148	0	1.08129	1.07511	0.81982	0.130784	0	1.67168	1.00378	0.872465	0.208371	0	2.00353	1.23999	0.648671
CCDC81	0	0.508388	10.5283	0.355221	0.205387	0	0.157709	7.84531	0.261919	0.184033	0.0916273	0.282116	10.1618	0.349905
CCDC85B	9.25349	0.627962	0.108386	0.850319	6.68767	21.1989	0.657294	0.303566	0.351923	4.79327	48.9189	0.340504	0.487822	0.461908
CCER1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL21	1.38343	0	0	0	16.3552	15.8466	0.0752192	0	0	16.548	167.038	0	0.090716	0
CCNYL1	15.4996	7.19374	54.0196	23.3926	7.48027	17.0499	6.96019	50.7845	23.1714	7.33936	9.19196	8.83788	38.7195	23.8627
CCT2	48.1783	389.71	325.859	334.855	58.9414	57.873	411.36	366.01	337.764	62.8483	52.6236	502.171	246.479	344.764
CD163L1	0.215621	0	0.178153	0.0623956	5.20897	3.0187	0.0237447	0.231664	0	6.18998	0.626303	0.0114221	0.0715917	0.0650771
CD177	0	0.0581628	3.69932	0.487314	0.221894	0	0.0257567	6.41764	0.507949	0.0641237	0	0.0495597	6.70965	0.447079
CD1A	0	0	0	0	0.021526	0	0	0	0	0	0	0	0.0331494	0
CD33	0	0	0	0.120868	2.44626	5.49142	0.235988	0.61719	0.0684392	2.92912	2.77386	0.0553154	0.277637	0
CDCA2	0	22.5332	23.5456	22.0492	2.48997	0.341903	26.9199	26.8711	22.757	2.85579	3.45143	31.5452	19.6294	20.6226
CDH17	182.196	1.81375	0.0956545	0.0469024	139.232	238.766	1.90387	0.066977	0.120783	185.822	119.382	1.5884	0.125569	0.217414
CDH18	0	0.0638666	0.202181	0.196942	0.197629	0	0.126202	0.324732	0.481462	0.343892	0	0.108869	0.0909762	0.32956
CDH26	0	0.198592	0.186386	0.329007	0.272736	1.36868	0.117323	0.320206	0.408614	0.681066	0.247263	0.0334599	0.283787	0.428857
CDKN1B	40.8094	32.1534	40.6654	12.5152	40.5356	42.5901	25.0916	36.6525	14.4629	43.8288	71.7688	30.1804	28.2869	14.7288
CDKN2A	0	0.123932	0	0.115372	1.17109	1.27954	0	0.164756	0.063662	0.593567	0	0.158403	0.0661843	0.100275
CDKN2B-AS1	5.35217	0.139465	0	0.0837924	0.931104	2.91943	0	0.108206	0	0.403739	0.427215	0.0766949	0.0255234	0
CDRT8	0	0	0	0.106082	0	0	0	0	0	0	0	0	0	0.184402
CDX1	175.327	4.52872	0	0	114.986	133.116	6.19879	0.0497556	0	117.728	166.394	4.94316	0	0
CDX4	0	0.991614	0	1.51058	0	0	0.479045	0.23968	2.13027	0	0	0.384064	0.0962898	1.96938
CDYL2	2.33027	0.722382	1.26179	0.780092	1.22263	0	0.537429	2.22796	0.504698	0.764548	3.07238	0.221591	2.46915	0.537736
CECR2	0.200952	15.2736	21.9253	25.1944	2.26122	0.127875	16.192	20.6621	26.4887	0.460094	0.426525	16.6064	23.8704	24.4382
CECR3	0	0.0343194	0.0651586	0.0319493	0.119013	0	0	0.0912477	0.141044	0.0252343	0	0	0.0366581	0.0555373
CELF1	17.9299	51.2093	74.2236	58.7252	22.6345	17.0429	57.5287	79.0374	63.644	24.7458	23.5772	56.359	77.9468	61.9377
CELF2	1.45355	6.2977	50.8129	12.2456	6.47894	3.39126	4.34651	50.2843	13.149	2.54598	7.86856	4.86457	41.2108	12.2971
CENPK	1.27029	49.7336	35.9763	46.5899	6.71653	0.80836	51.0457	36.2791	46.9639	5.34248	6.1749	64.0736	27.0086	49.2531
CEP76	2.25327	10.0159	11.0828	11.6419	3.47374	3.34577	10.7196	10.9914	11.6661	2.9488	2.22337	13.7888	8.97702	11.5294
CERS6-AS1	0	2.77379	7.32343	2.42558	4.2804	0.846385	1.56197	4.89766	1.03209	4.33038	22.9866	4.69323	2.32183	6.8672
CES1	0.525404	0.0975402	0.0617296	0	10.8182	1.33772	0	0.0432229	0.0334055	10.0587	1.8792	0.110817	0.0694581	0
CFC1	0	0	5.79678e-06	0	0.0981992	0	0.0418096	6.87483e-06	0	0.104238	0.0853708	0	0.100855	0
CFC1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFL1P1	0	0.336925	0	0.114057	0.276189	0	0.271279	0.0407186	0.06294	0.22515	0	0.182693	0.0654337	0.148699
CFLAR	23.7281	1.30228	81.1107	6.10637	19.8405	37.1436	0.245972	83.1666	7.19375	24.9823	21.141	0.776855	74.2715	6.14094
CHD2	16.2629	20.1047	36.237	20.2266	20.7114	14.0171	21.1446	38.6725	20.3385	21.9923	13.7505	20.7175	36.9832	18.6009
CHEK2	4.0106	30.4041	20.7654	39.3517	6.29988	3.84976	34.3224	17.2684	40.4792	9.33176	6.82769	39.7072	17.8506	42.0807
CHGA	17.5095	0.765889	1.81764	30.0944	900.928	26.8728	0.113055	1.39998	28.1646	620.704	158.992	0.0543836	2.79511	28.6869
CHL1-AS1	0	0	0.176113	0	0.308067	0	0.0838844	0.370702	0	0	0	0	0.207707	0
CHSY3	0	1.90981	1.08439	0.947114	1.75853	0	1.81794	0.972841	1.00861	1.10104	0.288905	1.74899	0.45756	1.19867
CISD1	83.5478	18.0929	15.9173	13.1992	12.1861	62.0279	17.9627	17.0457	13.8074	18.7149	25.561	22.0088	10.7658	14.2902
CISH	5.46174	1.44638	0.701126	0.544812	15.0059	5.05549	1.63535	0.7773	0.474274	23.7965	4.6048	1.10133	1.08422	0.597598
CKM	0.652313	0.161447	0.689676	0	0.783701	41.5108	0.107243	0.429253	0	4.27543	0.145788	0.0343918	0.776022	0
CLC	0	0	0	1.91021	1.325	14.3118	0.121156	0	2.52987	0.50677	0	0.233122	0	1.77094
CLCA2	1.48321	0.0307259	0.029168	0.0429059	0.298479	1.88773	0.0272132	0	0.0473535	0.485045	0.30379	0.0261811	0	0.0124305
CLDN17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN18	0.300253	0.0745112	0.31867	0.347239	0.219399	0.382165	0.0824911	0.346193	0.344909	0.136741	2.01326	0.111146	0.478133	0.195658
CLEC2D	4.2678	1.35222	2.12875	2.00034	2.0962	6.91314	1.10504	1.82886	2.09321	3.16313	11.421	1.27124	1.69072	2.09089
CLEC9A	0	0	0	0.0371908	0.193927	0	0.0707651	0	0	0.793433	0.144289	0.0340406	0	0
CLECL1	0	0	0	0.0399365	0.13189	5.22555	0	0	0	0.183488	0.755994	0	0	0.101244
CLGN	0	12.8536	27.7015	14.2513	1.44601	0	12.4712	21.5209	14.8481	0.340284	0.500309	18.6288	21.5961	13.0048
CLHC1	0.402411	2.55253	2.95614	2.34299	2.96856	0.768232	2.76246	3.0504	2.78892	2.01105	0.629307	3.21477	2.10917	2.99637
CLOCK	5.32507	5.34944	9.23425	7.1242	6.56476	3.97294	6.13023	8.79828	7.69238	6.3828	4.72883	7.07111	8.58944	6.72837
CLSPN	0.116586	11.9641	11.6013	12.4707	1.14613	0.148383	11.5756	11.7874	12.5619	1.14942	1.10681	13.347	9.44073	11.6647
CNGA1	3.29965	0.0682584	0.125616	0.550775	4.42166	0.93323	0.322456	0.27225	0.771527	2.59116	0.61443	0.174498	0	0.644412
CNIH1	60.7723	117.805	57.2186	76.0113	47.5982	88.2544	122.843	60.6724	75.6796	67.5385	79.8456	146.12	43.0415	79.3482
CNNM2	1.77276	3.20859	1.26721	5.23078	6.33225	2.78564	3.69672	1.71663	5.2079	8.52872	3.53603	3.33874	1.71766	4.60619
COBLL1	5.14309	0.613438	2.85331	0.877642	9.15753	2.48738	0.436625	3.25761	0.949758	17.1482	4.18258	0.453136	3.12531	0.93792
COG6	9.32929	20.8884	15.1837	10.2843	12.0866	7.76781	22.4689	15.4537	10.7922	12.9345	6.59078	28.4013	12.3431	10.92
COL10A1	0	0.171153	0.144422	0.336369	0.0923597	0	0.0336858	0.25281	0.273543	0.0558674	0.136836	0.0810205	0.264068	0.246193
COL15A1	0.361684	0.179951	0	0.115172	13.5022	0.92065	0.0996115	0.0149515	0.0808888	6.45576	2.2223	0.14375	0.0480535	0.054601
COPS8	9.21616	45.5433	36.6703	34.657	11.5148	17.008	46.3087	34.0693	33.2893	10.8986	14.4166	58.7453	26.4286	35.9473
COPZ1	105.976	123.03	105.27	69.6511	67.412	161.001	130.026	100.804	71.8325	84.0295	105.962	137.588	78.2516	73.6385
COQ3	13.4443	11.5602	12.6018	19.464	4.21771	7.98511	13.9617	14.0444	20.8565	3.01425	6.51123	16.8727	10.162	21.9743
COQ5	45.0976	45.5098	37.4818	32.0263	25.9119	29.6242	50.6625	35.9893	29.7554	24.9843	21.2158	55.1403	32.2793	29.5822
CP	0	0.0429652	0.109295	0.416435	0.160551	1.45576	0.0326421	0.0566511	0.576964	0.145861	5.55928	0.0309791	0.066475	0.292573
CPT1C	0	6.24043	3.45152	9.61188	4.18946	0	5.93108	2.38814	9.33834	0.609529	1.02325	3.86285	6.12142	10.0242
CRB2	0.257014	5.76057	0.0501589	0.582383	0.546526	0	6.63067	0.0430157	0.487604	0.300839	0.0926389	3.38855	0.11521	0.575994
CREB5	0	0.891745	0.250285	0.397045	6.26921	0	0.357137	0.587602	0.446169	1.12103	0.863015	0.53521	0.331319	0.432912
CRTC3	4.86417	3.98802	2.76098	2.15092	13.7897	4.524	3.59411	3.19983	2.31487	10.3373	8.193	2.75422	3.5958	1.99973
CRYM	9.25349	35.5062	1.19224	17.8027	5.01121	1.17772	35.8954	0.607129	16.6577	1.3026	1.8616	32.2992	0.48782	16.2582
CRYM-AS1	0.450668	0.0279459	0	0.208127	0.213236	0	0.148506	0.148604	0.0574277	0.34915	0.352483	0.428623	0	0.0904466
CSMD2-AS1	0	0	0	0	0	0	0	0	0.0519796	0	0	0	0	0
CST9L	0	0	0	0	0	0	0	0	0	0	0	0	0	0
