Genes	ES1	ES2	DE3	DE2	DE3	ES1	D4CF2	D4CF3	FSI1	FSI2	AS1	ASI2	ASI3
CCDC129	1.20834	1.22969	1.68346	1.82786	1.68346	1.20834	1	1.05244	1.03585	1.0506	1.12058	1	1.19362
CCNB1	170.383	166.931	113.885	150.397	113.885	170.383	186.243	231.592	14.6864	14.3607	161.722	2.84144	30.6384
CCRL2	1	1	1.04512	1	1.04512	1	1	1	5.6565	6.51934	1	15.2434	14.1604
CD276	39.1969	36.091	30.9483	24.469	30.9483	39.1969	45.2494	39.6198	24.0367	28.1841	44.8917	4.31276	25.9919
CDK5RAP3	27.8212	24.2345	25.1997	19.3673	25.1997	27.8212	27.3318	19.7138	30.8316	49.4551	24.3955	229.29	47.0484
CDX2	1.07634	1.11234	1	1.07268	1	1.07634	117.761	98.8222	72.1037	91.8767	87.3484	104.216	91.6134
CENPH	90.211	95.1335	43.901	57.6196	43.901	90.211	128.727	137.597	5.87563	5.66625	93.2633	4.06097	7.54036
CEP41	3.90409	4.02569	3.38783	4.04766	3.38783	3.90409	8.28029	8.38962	3.86732	2.93107	8.6201	1.58606	3.2732
CKS1B	40.2509	42.6508	26.5802	36.035	26.5802	40.2509	60.9407	59.9702	5.37864	7.01283	49.6717	12.9513	17.0898
CNTN4-AS2	1	1	1.28235	2.0542	1.28235	1	1.23411	1	1.91163	1.39551	1	1	1
COL19A1	1.01923	1	1.23541	1.25636	1.23541	1.01923	1.2074	1.09977	1.25333	2.56161	1.19973	1	1.03708
COPA	50.1367	49.3277	69.7545	79.4948	69.7545	50.1367	59.5733	62.6732	45.658	55.1867	57.6073	50.0517	26.3865
COX7A2L	107.924	101.781	101.709	104.136	101.709	107.924	148.934	151.84	82.8372	173.134	157.646	190.168	150.403
CPB2-AS1	1.12688	1.16004	1.05692	1.05177	1.05692	1.12688	1.23597	1.23247	1.13509	1.0143	1.4283	1	1
CTNND1	74.3062	72.7711	102.275	110.813	102.275	74.3062	67.9379	69.2106	92.1465	83.8864	62.6058	92.3208	52.5687
CTSL3P	1.1206	1.93172	1	1	1	1.1206	1	1	1.17929	1	1	1	1
CYB5B	43.8288	44.679	44.2749	51.0556	44.2749	43.8288	45.4519	49.3644	14.2681	16.0414	45.7265	38.3858	32.3439
CYP4B1	1	1	1	1	1	1	1.05324	1	1.14594	1.64021	1.09017	1.61724	16.1275
DENND4C	10.0035	11.4786	11.2466	12.259	11.2466	10.0035	14.1885	14.3784	17.3212	16.7102	13.3587	12.4038	10.5243
DNAJB2	8.68672	7.68184	32.4457	20.7447	32.4457	8.68672	15.6912	11.6223	24.7688	17.9744	15.6055	53.762	34.2069
DNAJC25	9.49578	10.6394	7.95342	11.7706	7.95342	9.49578	9.10779	12.9196	8.25682	8.21101	9.89808	5.18416	6.48061
DNAJC25-GNG10	1	1	1	1	1	1	1	1	1	1	1	1	1
DNASE1	2.43501	2.44087	2.73357	2.05162	2.73357	2.43501	2.95776	1.96774	44.1965	53.8917	2.88637	51.2935	9.35557
DPRX	1	1	1	1	1	1	1	1	1	1	1.26435	1	1
DSG4	1	1	1	1	1	1	1.23093	1.16292	1	1.02552	1.19122	1	1.25008
DUS4L	9.94391	10.8032	7.15099	8.24433	7.15099	9.94391	10.69	13.156	4.57567	4.82936	10.5029	4.12835	4.21947
DUSP6	62.8916	60.0217	24.9655	38.9438	24.9655	62.8916	151.646	189.324	29.5831	29.989	148.434	20.6646	26.3474
ECH1	32.6758	27.4757	39.8305	16.9864	39.8305	32.6758	33.0008	18.2351	77.9072	138.286	26.5469	253.582	55.0962
EDDM3B	1	1.08713	1	1	1	1	1	1.21679	1	1	1	1	1
EFCAB14-AS1	1.79536	1.68643	3.63746	2.41253	3.63746	1.79536	1.19794	1	1.73011	1.59532	1	1	1
ENTPD4	20.5709	20.5105	38.1903	45.8539	38.1903	20.5709	14.3299	14.1188	13.6244	13.2958	13.9027	11.8027	9.83114
EPM2AIP1	7.79617	8.25062	8.07002	10.4893	8.07002	7.79617	11.2518	13.3373	14.8087	12.3575	11.9181	3.32268	5.71811
FABP4	1	1	1	1	1	1	1	1	4.84655	3.59753	1	41.3542	173.525
FABP9	1	1	1	1	1	1	1	1.25632	1	1	1	1	1
FAM134B	2.53463	2.52985	1.72101	2.05571	1.72101	2.53463	2.95178	3.21882	15.2849	11.8548	3.06563	8.73111	8.6887
FAM159B	3.57769	3.68684	47.7466	59.0775	47.7466	3.57769	4.47418	4.4735	1.05329	1	3.692	1	1.41958
FAM175B	12.9535	14.4521	14.5804	15.6912	14.5804	12.9535	16.8653	19.2051	9.28036	9.24128	15.6926	8.76718	11.417
FAM231A	1	1	1	1	1	1	1	1	1	1	1	1	1
FAM95B1	1	1	1	1	1	1	1	1	1	1	1	1	1
FBXO10	5.29969	6.21441	9.31794	7.28278	9.31794	5.29969	10.5963	8.31041	3.82294	2.90235	8.90811	2.92407	3.53336
FBXW4P1	2.0232	2.21842	3.47161	2.23043	3.47161	2.0232	2.22963	1.49291	3.24705	1.97795	1.57848	1.59375	1.72976
FLAD1	27.242	24.3612	17.944	11.7218	17.944	27.242	17.7453	12.5051	11.6382	11.2651	16.5526	26.7195	24.9747
FLOT1	44.9485	40.456	28.5261	20.5762	28.5261	44.9485	48.8853	37.8123	47.0573	34.6279	47.5231	170.139	80.0047
FSBP	7.48669	9.96106	10.9656	6.70445	10.9656	7.48669	5.70538	3.60744	1.54176	1.51969	12.5148	1	1.3709
GCC2	19.2215	20.3022	18.1736	21.2297	18.1736	19.2215	24.761	37.654	23.7024	32.0489	21.8516	13.3852	9.09807
GHR	1.07976	1.2054	1.64027	2.23324	1.64027	1.07976	4.26121	3.69973	6.65638	8.90118	3.85439	2.16983	2.82281
GJA8	1	1	1	1	1	1	1	1	1	1	1	1	1
GLT6D1	3.23161	3.46294	1.71125	1.17704	1.71125	3.23161	1	1	1	1	1	1	1
GLYATL1	6.20763	6.53124	2.0919	1.94776	2.0919	6.20763	5.90173	5.03171	3.37165	3.61813	5.1429	1	1.16749
GPR65	1	1	1	1	1	1	1	1	1.31122	1.47894	1	2.39125	2.07466
GPR89B	1.05715	1	1	1.16322	1	1.05715	1.13592	1.07846	1.23419	1.58662	1.18416	1	1
GPRC5A	1.06192	1.04556	1.14209	1.29474	1.14209	1.06192	1.23564	1.15113	16.1045	13.0524	1.19954	35.0939	16.9225
GS1-600G8.3	1	1	1	1	1	1	1	1	1	1	1	1	1
GSTA2	1	1.10913	2.30476	2.20025	2.30476	1	2.12891	1.85982	46.1389	83.3547	1.90286	14.1386	13.6911
GSTA7P	1	1	1.01141	1	1.01141	1	1	1	1.16311	1.07842	1	1	1.01919
H1FX	11.8595	12.7539	17.8861	6.56834	17.8861	11.8595	24.615	12.5132	69.3611	59.6626	24.0601	52.9226	102.358
H1FX-AS1	2.45579	2.18229	2.7649	1.62759	2.7649	2.45579	1.41812	1.17599	2.57589	1.95422	1.88516	1	2.3295
H3F3C	8.7498	7.50321	16.4324	5.57305	16.4324	8.7498	12.8821	4.92773	32.4192	29.2998	11.5263	20.9118	23.6093
HINT3	10.3608	11.0273	15.6892	18.5692	15.6892	10.3608	17.338	18.2619	16.6844	16.5567	17.691	15.0135	14.4317
HIST3H2A	1	1.20649	1	1	1	1	1.178	1	7.24749	15.2143	1.40195	77.5743	53.0055
HIST3H2BB	1.44057	1	1	1	1	1.44057	1.41915	1	1.16332	1	1	1	8.0968
HIST3H3	1	1.21767	1	1	1	1	1	1	1	1	1	1	1
HLA-DRB1	11.8623	10.2982	26.8298	17.8501	26.8298	11.8623	43.7834	25.4917	39.3261	62.4687	37.5505	139.81	109.524
HLA-DRB6	1	1	1.1216	1.07567	1.1216	1	1.15124	1.19401	6.56344	4.27002	1.28461	1	5.64033
HNMT	3.46276	2.90492	6.03066	6.46597	6.03066	3.46276	10.6678	9.66112	26.8847	27.4559	9.31444	17.2878	15.5311
HNRNPL	214.221	197.422	153.764	156.196	153.764	214.221	180.144	191.6	60.6521	73.9966	166.587	95.9264	69.1853
HSD17B7	12.4667	12.5549	7.67372	7.9414	7.67372	12.4667	12.265	12.5983	2.39251	5.40046	9.25622	4.67465	10.0343
HTR1F	1.22044	1.32439	1.06323	1	1.06323	1.22044	3.9886	3.05135	1.04107	1.07247	3.48638	1	1.071
IER3	16.0294	15.8412	256.702	223.753	256.702	16.0294	7.67269	6.98521	26.5627	7.71695	10.5733	18.528	70.0603
IGFBP6	2.86411	3.2156	18.6044	10.8288	18.6044	2.86411	7.07075	4.08431	5.53562	4.6357	6.5451	8.97219	93.7104
IL4R	8.80961	8.21204	10.3317	5.98806	10.3317	8.80961	6.75285	4.29683	13.1653	13.899	5.55197	20.7276	26.6671
ITSN1	46.7772	46.8223	22.4672	28.2658	22.4672	46.7772	24.2719	29.2933	13.9623	12.3834	24.2908	15.9062	5.14219
IWS1	67.0252	65.9117	76.9357	94.0847	76.9357	67.0252	56.6394	63.9187	22.0422	24.1575	55.0057	36.7125	15.2775
KCNJ13	1.15525	1.14167	1.23933	1.29515	1.23933	1.15525	1.26241	1.26825	2.14803	19.7615	1.03704	8.20956	23.6323
KCTD3	52.3499	53.515	31.6953	39.5585	31.6953	52.3499	42.7687	50.107	27.3641	32.8878	38.5392	46.1491	30.186
KIAA0087	1	1	1	1	1	1	1.03788	1.0243	1.18798	1.02094	1.09981	1	1.15376
KIAA1456	1.53497	1.62799	10.076	13.0534	10.076	1.53497	2.42346	2.79739	2.01357	1.40633	2.41214	1	2.40293
LALBA	1	1	1	1	1	1	1	1	1	1	1	1	1
LAMTOR5-AS1	1.83027	1.18327	1.76211	2.18563	1.76211	1.83027	1.47394	1.30398	1.24657	1.67049	1.35674	1	1.33063
LCN9	5.95098	6.08735	4.33005	2.46277	4.33005	5.95098	1.16242	1.93758	1	1	1.55017	1	1
LENEP	1	1	1.14086	1	1.14086	1	1	1.11237	1.54751	1.19535	1	1	1.48459
LGALS4	1.15246	1.22436	1.23325	1.14515	1.23325	1.15246	1	1.04652	727.684	542.34	1.10918	3121.53	614.593
LGALS8	4.56451	4.49514	2.86473	4.30986	2.86473	4.56451	22.8121	26.3616	13.2193	12.4325	21.2272	13.9228	9.69917
LGALS8-AS1	1	1.09795	1	1	1	1	1.46925	1.46807	1.0466	1.03721	1.25567	1.97787	1.68691
LMOD2	1.05618	1.062	1.06446	1	1.06446	1.05618	1.05345	1.10284	1.06279	1.22179	1	2.23905	1.10878
LRRC37A5P	1	1	1	1.08756	1	1	1	1	1	1.04854	1	1	1
MANEA	5.7179	5.76962	166.31	218.182	166.31	5.7179	13.9236	15.655	7.83025	10.2866	13.1443	2.63384	5.27854
MANEA-AS1	1.73957	1.29045	12.3287	11.8967	12.3287	1.73957	1.69511	1.45766	1.96876	3.32369	1.45608	1	1.74271
MC5R	1.29399	1.27039	1.05622	1	1.05622	1.29399	1	1	1.21893	3.55768	1.05263	1	1
MEG3	1.01152	1.04725	1.14759	1	1.14759	1.01152	1.04078	1	86.4745	23.5636	1	5.74231	10.0904
METTL10	12.3407	13.3386	11.7423	16.2092	11.7423	12.3407	20.434	22.3498	6.26254	6.97324	18.5688	5.56185	5.98368
MLH1	41.9804	40.6785	33.8984	42.654	33.8984	41.9804	49.0653	58.8681	13.0076	12.9228	46.9532	7.67216	9.83501
MRPS36	17.4628	19.1157	11.8097	18.1983	11.8097	17.4628	16.2003	19.5354	10.6197	15.249	18.1624	59.0629	25.1712
MST1P2	1.11232	1.19834	1.67016	1.22456	1.67016	1.11232	1.04274	1	4.18066	10.3612	1.02413	15.8483	14.2521
MUC15	1	1	1	1	1	1	1	1.01645	1.05253	1	1	1.39587	1
MYO7B	1	1.00926	1	1.01198	1	1	1.00798	1	40.0384	83.3427	1	157.91	18.7377
NAA35	27.5483	29.6858	30.0812	36.7167	30.0812	27.5483	29.9868	36.6748	11.3898	11.0543	26.5512	6.88825	5.56605
NAV1	11.4827	10.9502	5.06962	5.2954	5.06962	11.4827	10.7672	10.523	7.38508	2.81929	10.4439	1.94061	4.05549
NAV2	21.8891	22.1	7.57377	5.8133	7.57377	21.8891	9.28158	6.73355	6.94422	3.11774	9.36677	2.16269	6.3333
NBPF10	1.00597	1.08086	1.07638	1.05077	1.07638	1.00597	1.01221	1.03774	1.03441	1.13923	1.06248	1	1.01003
NBPF14	1	1	1	1	1	1	1	1	1	1	1	1	1
NBPF25P	3.25924	2.9592	4.63695	6.08538	4.63695	3.25924	1.90541	2.20727	3.08714	3.08048	2.37331	4.2162	3.91853
NBPF9	1.53671	1.52829	2.05	2.22223	2.05	1.53671	2.86275	2.7175	3.46905	2.51541	3.38694	1	3.70619
NCOA7	5.41554	5.25182	2.94008	3.18243	2.94008	5.41554	5.80097	6.58918	18.2712	16.1169	5.15022	12.0023	26.3762
NCSTN	34.29	35.1007	59.5993	65.0072	59.5993	34.29	62.3981	54.3732	38.0673	59.1957	59.1383	40.4799	43.5477
NEDD9	7.84816	7.38266	6.16228	8.19326	6.16228	7.84816	12.4947	12.0633	14.5683	9.08824	14.7416	14.0354	14.7368
NFATC2	1.63345	1.70819	2.33216	2.36274	2.33216	1.63345	1.28958	1.37649	6.79432	10.5663	1.30524	8.68191	4.06202
NNMT	1	1	1	1	1	1	1.34046	1.14558	1.08885	1.15712	1.89695	8.91026	59.1105
NPTN	91.4236	89.3694	90.9101	122.742	90.9101	91.4236	70.6583	81.3981	83.1001	140.746	71.3806	87.7206	68.6803
NUF2	32.8725	31.7269	36.5455	47.7982	36.5455	32.8725	59.4275	73.6179	5.86725	5.08147	53.5632	1	5.52281
OR10V1	1	1	1	1	1	1	1	1	1	1	1	1	1.14709
OR10V2P	1.09652	1.10653	1	1	1	1.09652	1.09183	1	1.14358	1.38316	1	1	1
OR5A1	1.07343	1	1	1	1	1.07343	1	1	1	1	1	1	1
OR5A2	1	1	1	1	1	1	1	1	1	1	1	1	1
OVOL2	4.03293	3.49933	4.66554	4.23385	4.66554	4.03293	2.50044	1.74028	4.49403	4.99517	1.9991	21.5619	7.75069
PBXIP1	9.19867	8.41617	27.0003	14.6895	27.0003	9.19867	7.79247	5.79669	32.2589	46.7544	7.68852	37.1789	32.3002
PCDH18	30.0133	31.1061	5.01409	4.77767	5.01409	30.0133	32.852	38.1272	34.1596	12.5771	27.2339	1.42133	3.14496
PCED1B-AS1	1	1.05248	1.02728	1.03396	1.02728	1	1.02262	1	1.19487	1.4316	1	1	1.32197
PDP1	25.7666	26.5476	16.6051	18.363	16.6051	25.7666	6.29213	7.28648	21.2727	26.6289	7.60345	3.99147	7.59594
PIGV	7.13427	6.67295	6.36258	4.26199	6.36258	7.13427	7.94632	8.09086	8.49345	10.253	7.08147	5.92643	11.4739
PKDCC	9.06301	8.5338	8.01358	3.27564	8.01358	9.06301	2.0409	1.6531	57.7863	61.3003	3.8615	6.24162	56.5864
PKNOX2	2.30154	2.43645	1.99558	1.39827	1.99558	2.30154	12.1738	7.41028	4.15272	2.03886	9.68812	1.68186	1.7781
PMF1	58.5489	50.7523	58.703	46.1815	58.703	58.5489	46.123	34.7924	30.9496	31.8249	44.6854	41.202	40.4276
PMF1-BGLAP	4.30928	1.56605	4.65351	4.0303	4.65351	4.30928	5.79829	4.46366	3.88146	6.77885	5.06232	12.5084	1
PMP2	1.04875	1.03587	1	1.02321	1	1.04875	1.01546	1	1.08478	1	1	1	1.06278
PPIAL4B	1	1	1	1	1	1	1	1	1	1	1	1	1
PPIAL4C	1	1	1	1	1	1	1	1	1	1	1	1	1
PPP1R12B	5.29217	5.7336	3.96423	4.36518	3.96423	5.29217	3.29031	3.56808	50.8721	6.96353	4.00701	4.86113	20.5816
PRDM4	10.6961	10.8549	12.0319	13.9364	12.0319	10.6961	18.0243	19.6264	15.4586	17.8931	18.7077	16.6738	12.8859
PRH1	2.16839	2.43886	3.2443	2.42386	3.2443	2.16839	2.18969	2.62667	1.84305	3.03971	2.22463	5.79952	3.0156
PRH1-PRR4	1.25386	1	1	1	1	1.25386	1.93329	1	1.14361	1.1625	1.61118	1	1
PRICKLE1	45.8427	46.6912	15.2535	20.5714	15.2535	45.8427	30.097	30.4269	5.62022	2.99225	22.2927	1	1.9643
PROK1	1.04677	1	1.10734	1.20039	1.10734	1.04677	1.0445	1	1.17417	1.14795	1	1	1
PTGR1	30.0659	31.947	146.139	168.025	146.139	30.0659	58.6819	61.6818	30.2812	51.7671	52.9336	497.742	60.4155
PTP4A2	83.3297	87.4381	93.227	112.836	93.227	83.3297	92.0836	116	46.2641	55.3825	91.5126	93.4445	78.053
PYGO2	17.7058	15.7297	15.9974	13.1377	15.9974	17.7058	20.8931	19.8026	17.979	18.9455	19.9903	26.0577	24.4511
RAD54B	23.8208	22.9301	11.308	18.579	11.308	23.8208	38.2762	43.9903	3.64176	4.18668	28.8718	1.41911	3.43652
RALA	69.2184	70.5517	46.2943	63.1801	46.2943	69.2184	83.6728	97.1547	26.0283	19.6117	73.2432	65.1854	40.1581
RARB	1.13589	1.20181	2.18194	2.34943	2.18194	1.13589	1.761	1.80061	6.91716	5.39871	2.28108	1.50461	2.32052
REXO1L2P	1	1	1	1	1	1	1	1	1	1	1	1	1
RGS2	21.261	20.8357	5.86822	5.56117	5.86822	21.261	17.2371	20.3739	73.8865	78.6629	18.3088	582.502	89.4091
RGS5	24.8566	24.8748	43.8287	67.3071	43.8287	24.8566	35.3381	42.7004	32.1059	6.29134	52.1442	9.222	13.6622
RNASE1	8.93953	9.28727	20.2814	12.8462	20.2814	8.93953	6.9843	6.76895	73.2815	50.3221	6.51336	38.6581	254.345
RNASE6	1.06375	1	1	1	1	1.06375	1.42455	2.22533	10.9181	10.8938	1.75326	9.49332	10.0756
RNF32	2.34458	1.97587	2.42096	2.11162	2.42096	2.34458	1.94257	2.10115	2.53338	2.77421	1.78172	2.56298	2.71536
RPL13AP20	1.23961	1.39668	1.68733	1.51326	1.68733	1.23961	1.68389	1.10966	1.80151	1.95295	1.38609	9.06693	1.47262
RRN3P3	1.88349	1.92237	1.84932	1.81836	1.84932	1.88349	1.59065	1.41526	1.95709	2.6717	1.3078	4.68363	4.04901
RTTN	9.2002	9.65635	6.97831	7.78361	6.97831	9.2002	11.9704	14.1167	5.04972	3.88831	10.2515	1.52275	2.10121
SAE1	121.588	120.753	127.779	141.83	127.779	121.588	130.974	140.631	24.6655	21.2523	125.225	36.136	49.778
SALL1	22.4436	21.5783	35.0272	31.6919	35.0272	22.4436	126.439	105.766	5.2794	3.06174	97.4614	1.24318	1.49096
SAT1	69.3925	74.2755	48.6256	45.5092	48.6256	69.3925	237.924	426.862	159.95	286.096	313.376	928.283	244.911
SCGB1A1	1	1	1	1	1	1	1	1	1	1	1	1	1
SEPP1	2.45253	2.46557	46.5569	55.3688	46.5569	2.45253	35.9357	29.4621	1298.69	2000.83	29.2148	829.22	182.459
SERPINB5	1.13495	1.07447	1.05161	1.12848	1.05161	1.13495	1	1	1	1	1	5.46001	13.181
SETMAR	19.4723	17.501	9.68162	14.2634	9.68162	19.4723	21.3003	24.9044	5.74185	6.64982	21.2367	7.09781	17.6354
SETSIP	23.8894	22.2086	12.8898	10.3657	12.8898	23.8894	9.17399	12.4658	2.36696	3.75285	11.8495	1	1
SHC1	70.9428	67.4819	67.1677	53.0607	67.1677	70.9428	59.0356	52.109	24.385	23.1178	52.9251	77.2936	45.8563
SKA1	16.2294	16.317	12.2494	14.3	12.2494	16.2294	51.7142	50.069	2.78478	2.82523	42.9205	1	6.6593
SKIL	31.1538	31.8721	44.9534	60.0549	44.9534	31.1538	17.3663	18.2149	13.5043	19.2398	17.2051	15.5816	8.59731
SLC16A1	325.867	338.092	202.372	263.436	202.372	325.867	123.571	153.299	23.5478	11.5141	117.961	5.86621	29.9904
SLC16A1-AS1	4.09847	3.51964	2.87535	2.01856	2.87535	4.09847	2.7494	1.72876	1.60837	1.7275	1.76743	1	1.9946
SLC25A44	14.4421	14.7934	21.6587	23.8514	21.6587	14.4421	8.02842	8.84821	14.0534	21.4735	9.32871	16.7688	17.2525
SLC3A2	136.61	128.44	161.557	209.004	161.557	136.61	64.4005	56.9488	44.8106	72.9912	82.5399	184.767	112.165
SLC40A1	1.05202	1.01914	60.0252	57.8477	60.0252	1.05202	6.92187	6.60205	155.213	265.252	5.76792	97.1726	66.7624
SLC7A8	63.5683	65.1413	9.72386	5.48923	9.72386	63.5683	23.624	20.3723	13.757	32.8786	26.3204	13.9562	48.7626
SLIT2	3.86849	3.74697	5.09129	6.07372	5.09129	3.86849	44.8753	49.7807	8.13315	1.95693	35.0906	1.19466	2.28178
SMG1P1	1.21599	1.12546	1.15652	1.16233	1.15652	1.21599	1.08652	1.10405	1.36615	1.02065	1.07327	1.24994	1
SNHG1	279.783	267.121	125.341	205.43	125.341	279.783	203.732	220.717	38.3355	42.1645	220.911	19.5678	41.5339
SNORD22	1043.09	1002.71	463.844	849.066	463.844	1043.09	267.512	298.429	147.335	100.073	205.621	1	192.334
SNORD25	530.05	292.945	911.536	1134.23	911.536	530.05	755.991	1	663.46	1	569.297	1	1
SNORD26	1028.12	284.397	590.251	367.684	590.251	1028.12	123.148	353.545	228.433	1	276.829	1	1
SNORD27	986.53	1632.53	377.927	1877.46	377.927	986.53	1	452.026	69.0636	1	706.76	1	1
SNORD28	5136.59	4393.66	1916.06	3851.18	1916.06	5136.59	1955.36	2821.36	285.291	1	1518.06	1	1
SNORD29	6932.6	3643.91	2652.07	2357.76	2652.07	6932.6	3769.33	3324.3	547.71	1	355.563	1	1
SNORD30	787.069	434.776	226.481	281.628	226.481	787.069	187.963	540.615	155.555	1	1	1	1
SNORD31	478.138	264.299	1	341.678	1	478.138	227.97	219.361	177.601	1	1	1	1
SNORD93	139.999	1	160.485	1	160.485	139.999	1	1	1	1	1	1	1
SOAT2	1	1	1.10062	1.08349	1.10062	1	1.05562	1.05351	11.4976	70.1553	1.0314	103.532	3.77409
SP5	1.2821	1.10378	6.2148	6.37121	6.2148	1.2821	14.1806	14.5414	2.61131	3.37651	15.3433	1	2.63977
SPERT	1.0839	1.0926	1	1	1	1.0839	1.0399	1	1	1	1.04505	1	1
SPINK5	7.3547	6.12181	6.96708	6.8362	6.96708	7.3547	1.2421	1.43986	1.23104	1.15054	1.99146	1	1.18433
SPRY1	15.2457	15.4598	5.90255	6.12115	5.90255	15.2457	55.3021	64.5954	18.2502	31.037	80.7447	8.84967	19.644
SPRY2	20.4054	19.6015	70.625	85.0339	70.625	20.4054	119.762	137.165	36.2813	31.5099	155.937	11.1163	30.5862
SRGAP2D	2.32874	2.78293	3.06271	3.60428	3.06271	2.32874	3.25577	3.71848	1.6291	2.32599	3.59908	1	2.15981
SRP9	265.442	268.214	131.652	178.222	131.652	265.442	293.896	355.438	42.79	67.3097	264.799	150.623	204.036
ST3GAL6	4.07497	4.13657	3.81201	3.53221	3.81201	4.07497	12.0296	12.8489	3.63704	3.35442	11.0638	2.13295	2.3638
ST3GAL6-AS1	1.19339	1	1	1	1	1.19339	1	1.0885	1.70116	1.30707	1.41547	1	1.18985
ST8SIA1	1.40789	1.49455	2.22603	2.36182	2.22603	1.40789	1.74878	1.88864	1.41544	1.16301	2.16016	1.12617	1.16612
STK31	1.19696	1.3162	2.08892	2.27854	2.08892	1.19696	1.11924	1.11472	1.14679	1.08475	1.09617	1.38634	1.0692
STX3	22.0317	21.7025	27.2278	38.5806	27.2278	22.0317	24.8661	27.1331	16.0023	22.5458	24.9189	33.3553	14.4201
STX5	10.2618	10.3589	24.1513	19.6187	24.1513	10.2618	12.9733	10.5103	24.1459	22.4896	12.4852	43.1804	14.8387
SULT1C4	3.0581	3.35404	1.90164	2.01529	1.90164	3.0581	32.649	66.0758	6.26826	5.70133	22.1029	1	2.37925
SUMO1P3	24.282	27.1163	23.7725	21.3216	23.7725	24.282	24.1354	19.3662	3.84182	13.468	20.7965	27.5899	31.9916
