# Argument List:
# Name = D4cF_Cdx2_NO_k27ac_BMinus_30kb
# peak file = D4cf_Cdx2_NO_k27ac.bed
# distance = 30000 bp
#Chromsome	TSS	TTS	RefseqID	Score	Strand	GeneSymbol
chr20	26188821	26188914	NR_030386	0.603	-	MIR663A
chr2	38155901	38244890	NM_001170792	0.603	+	RMDN2
chr3	164696685	164796283	NM_001041	0.602	-	SI
chr1	220141941	220220000	NM_004446	0.602	-	EPRS
chr10	45471708	45474330	NM_007021	0.601	-	C10orf10
chr1	28906275	28906405	NR_002987	0.601	-	SNORA61
chr8	95139393	95220815	NM_004063	0.599	-	CDH17
chr10	115999012	116054259	NM_001272046	0.598	+	VWA2
chr10	19337699	20023407	NM_001142308	0.598	+	MALRD1
chr12	57031958	57039852	NM_001686	0.596	-	ATP5B
chr1	101491401	101552935	NR_109849	0.596	+	LOC102606465
chr17	67240575	67323323	NM_172232	0.595	-	ABCA5
chr11	71791376	71807938	NM_145309	0.595	+	LRTOMT
chr11	71791376	71821828	NM_001145308	0.595	+	LRTOMT
chr11	71791376	71807938	NM_001145307	0.595	+	LRTOMT
chr11	71791376	71807938	NM_001205138	0.595	+	LRTOMT
chr11	71791376	71807938	NR_026886	0.595	+	LRTOMT
chr11	71791376	71821828	NM_001145310	0.595	+	LRTOMT
chr11	71791376	71821828	NM_001145309	0.595	+	LRTOMT
chr11	71791376	71807938	NM_001271471	0.595	+	LRTOMT
chr10	92805564	92821916	NR_047467	0.593	+	LINC00502
chr1	101455179	101491362	NM_015958	0.593	-	DPH5
chr1	101455179	101491362	NM_001077394	0.593	-	DPH5
chr1	101455179	101491362	NM_001077395	0.593	-	DPH5
chr1	44175075	44193014	NR_125986	0.592	-	LOC101929592
chr16	14805545	14820195	NM_001277323	0.591	+	NPIPA3
chr16	14805545	14820185	NM_001277324	0.591	+	NPIPA2
chr21	9825831	9826011	NR_037421	0.591	+	MIR3648-1
chr21	9825831	9826011	NR_128711	0.591	+	MIR3648-2
chr12	130636137	130646223	NR_033834	0.589	-	FZD10-AS1
chr5	87960262	87969146	NR_024384	0.588	-	LINC00461
chr5	180274610	180288286	NM_152283	0.588	-	ZFP62
chr5	180274610	180288286	NM_001172638	0.588	-	ZFP62
chr12	101188373	101522419	NM_178826	0.586	+	ANO4
chr12	101188373	101522419	NM_001286615	0.586	+	ANO4
chr5	72143929	72210215	NM_153188	0.586	+	TNPO1
chr12	82347497	82386912	NR_110089	0.586	+	LOC101928449
chr1	85093912	85100703	NR_027379	0.585	-	LINC01555
chr10	91675245	91717130	NR_110655	0.585	-	LINC01375
chr7	5965776	6010314	NM_173565	0.585	-	RSPH10B
chr7	5965776	6010314	NM_001099697	0.585	-	RSPH10B2
chr22	24198889	24228299	NM_030807	0.583	+	SLC2A11
chr22	24198889	24225139	NR_104248	0.583	+	SLC2A11
chr22	24198889	24228299	NM_001024938	0.583	+	SLC2A11
chr22	24198889	24228299	NR_104247	0.583	+	SLC2A11
chr18	14099941	14132489	NM_145287	0.583	-	ZNF519
chr18	14075988	14132489	NR_033354	0.583	-	ZNF519
chr13	103696347	103719196	NM_000452	0.583	-	SLC10A2
chr12	54385521	54385631	NR_029617	0.582	+	MIR196A2
chr2	55459813	55462989	NM_001177413	0.581	+	RPS27A
chr6	122931376	123047518	NM_032471	0.580	+	PKIB
chr6	122931376	123047518	NM_181795	0.580	+	PKIB
chr14	24805226	24809242	NM_006871	0.580	-	RIPK3
chr5	159518346	159546452	NM_001130864	0.579	-	PWWP2A
chr19	53611131	53636173	NM_018355	0.578	-	ZNF415
chr19	53611131	53636173	NR_028343	0.578	-	ZNF415
chr19	53611131	53636171	NM_001136038	0.578	-	ZNF415
chr19	53611131	53636171	NM_001164309	0.578	-	ZNF415
chr2	55399686	55459699	NM_001135598	0.577	-	CLHC1
chr9	123940414	123964365	NM_016322	0.576	-	RAB14
chr12	23328569	23344521	NR_120471	0.576	+	LOC101928441
chr2	16190548	16225811	NR_126559	0.576	+	GACAT3
chr13	51656983	51746358	NR_102432	0.576	-	LINC00371
chr9	94972489	95056038	NM_013417	0.575	-	IARS
chr9	94972489	95056038	NM_002161	0.575	-	IARS
chr9	94972489	95056038	NR_073446	0.575	-	IARS
chr3	24192814	24231447	NR_121667	0.575	+	LOC101927854
chr11	93466839	93466930	NR_031639	0.575	-	MIR1304
chr11	55418379	55419315	NM_001004059	0.575	+	OR4S2
chr18	72922709	73001905	NM_005786	0.574	+	TSHZ1
chr11	30344645	30359770	NM_152316	0.574	+	ARL14EP
chr19	2754711	2783354	NM_003021	0.574	-	SGTA
chr11	122022936	122023016	NR_029515	0.573	-	MIR100
chr11	5988782	5989724	NM_001146033	0.573	-	OR56A5
chr2	55459540	55462989	NM_002954	0.572	+	RPS27A
chr14	20271928	20296531	NM_001004723	0.572	+	OR4N2
chr17	41522173	41522253	NR_031751	0.572	+	MIR2117
chr6	99817347	99842082	NM_017421	0.571	-	COQ3
chr21	31538240	31538971	NM_012131	0.571	-	CLDN17
chr16	21269838	21314457	NM_001888	0.571	-	CRYM
chr3	405055	427478	NR_110739	0.570	-	CHL1-AS1
chr5	87960262	87974262	NR_024383	0.570	-	LINC00461
chr2	55399686	55459449	NM_152385	0.570	-	CLHC1
chr15	93447628	93447705	NR_036136	0.570	+	MIR3175
chr22	17956627	18037856	NM_001290047	0.568	+	CECR2
chr12	123459749	123464588	NM_001304833	0.567	+	OGFOD2
chr4	15937192	15940363	NM_005130	0.566	-	FGFBP1
chr11	92877336	92930621	NM_001286139	0.565	-	SLC36A4
chr3	108474485	108476130	NM_032579	0.565	-	RETNLB
chr9	107536632	107540045	NR_024011	0.564	+	LOC286367
chr10	81914879	81964247	NM_001278408	0.564	-	ANXA11
chr13	51656983	51746524	NR_102431	0.563	-	LINC00371
chr12	130647003	130650285	NM_007197	0.563	+	FZD10
chr21	9826202	9826263	NR_037458	0.563	+	MIR3687-1
chr21	9826202	9826263	NR_128714	0.563	+	MIR3687-2
chr18	12702986	12725739	NM_020232	0.562	+	PSMG2
chr11	93466631	93466763	NR_002959	0.562	-	SNORA18
chr22	17134598	17156430	NR_040115	0.562	-	ANKRD62P1-PARP4P3
chr5	41730166	41870791	NM_000436	0.562	-	OXCT1
chr4	68926327	68929015	NR_027094	0.561	-	SYT14P1
chrX	7137471	7272682	NM_000351	0.561	+	STS
chr11	15987994	16497935	NM_033326	0.561	-	SOX6
chr22	24199186	24228299	NM_001282864	0.561	+	SLC2A11
chr7	143929003	143929936	NM_001005287	0.560	-	OR2A1
chr7	143929003	143929936	NM_001001802	0.560	-	OR2A42
chr4	70454134	70505360	NM_001301233	0.559	-	UGT2A2
chr4	70454134	70505360	NM_001105677	0.559	-	UGT2A2
chr2	55459038	55462989	NM_001135592	0.559	+	RPS27A
chr7	156473569	156685902	NM_022458	0.558	-	LMBR1
chr2	79312148	79315150	NM_006507	0.558	-	REG1B
chr17	46689707	46692301	NM_024016	0.558	-	HOXB8
chr3	195426271	195426368	NR_030296	0.557	+	MIR570
chr2	201983268	202037411	NM_001127183	0.557	+	CFLAR
chr11	50368317	50379802	NR_024504	0.554	+	LOC646813
chr1	28906892	28907024	NR_002976	0.554	-	SNORA44
chr15	65255361	65282284	NM_016630	0.553	-	SPG21
chr15	65255361	65282284	NM_001127890	0.553	-	SPG21
chr14	89622515	89883454	NM_005197	0.552	-	FOXN3
chr20	58533470	58588168	NM_177980	0.551	+	CDH26
chr6	135356994	135376036	NM_001145207	0.551	-	HBS1L
chr1	117452544	117532980	NM_020440	0.549	+	PTGFRN
chr9	95054742	95054875	NR_003704	0.547	-	SNORA84
chr11	89443466	89451040	NM_001271942	0.547	+	TRIM77
chr11	89443466	89451040	NM_001146162	0.547	+	TRIM77
chr18	12672625	12702776	NM_024899	0.547	-	CEP76
chr18	12661954	12702776	NR_073537	0.547	-	CEP76
chr18	12672625	12702776	NM_001271989	0.547	-	CEP76
chr2	223064605	223163715	NM_181461	0.547	-	PAX3
chr2	223064605	223163715	NM_181459	0.547	-	PAX3
chr2	223064605	223163715	NM_181460	0.547	-	PAX3
chr2	223064605	223163715	NM_181458	0.547	-	PAX3
chr2	223066431	223163715	NM_181457	0.547	-	PAX3
chr2	223064605	223163715	NM_001127366	0.547	-	PAX3
chr2	223158348	223163715	NM_000438	0.547	-	PAX3
chr2	223158348	223163715	NM_013942	0.547	-	PAX3
chr7	16250110	16310229	NR_038946	0.546	+	ISPD-AS1
chr7	16250110	16310229	NR_038947	0.546	+	ISPD-AS1
chr4	141309606	141348815	NM_004362	0.546	-	CLGN
chr4	141309606	141348815	NM_001130675	0.546	-	CLGN
chr12	54058943	54070512	NM_001002031	0.546	-	ATP5G2
chr11	47487488	47510576	NM_001172640	0.545	-	CELF1
chr11	47487488	47510576	NM_001025596	0.545	-	CELF1
chr14	31345384	31359014	NR_038356	0.545	-	LOC100506071
chr3	49946301	49967445	NM_032355	0.545	-	MON1A
chr3	49946301	49967445	NM_001142501	0.545	-	MON1A
chr3	97483364	97520086	NR_103511	0.545	+	ARL6
chr3	97483364	97517379	NM_032146	0.545	+	ARL6
chr3	97483364	97517379	NM_177976	0.545	+	ARL6
chr3	97483364	97517379	NM_001278293	0.545	+	ARL6
chr9	95054739	95054829	NR_037424	0.544	-	MIR3651
chr5	143550436	143856944	NM_020768	0.544	+	KCTD16
chr14	71374121	71582099	NM_014982	0.543	+	PCNX
chr12	12878850	12944399	NM_001130415	0.542	+	APOLD1
chr3	186435097	186460678	NM_001102416	0.542	+	KNG1
chr3	186435097	186462199	NM_001166451	0.542	+	KNG1
chr3	186435097	186462199	NM_000893	0.542	+	KNG1
chr1	161192082	161193418	NM_001643	0.542	-	APOA2
chr11	76745384	76753005	NM_138706	0.542	+	B3GNT6
chr2	208133998	208134148	NR_031633	0.542	-	MIR1302-4
chr18	48321489	48351754	NM_001127174	0.542	-	MRO
chr16	71893582	71917444	NM_001201553	0.541	-	ZNF821
chr16	71893582	71917444	NM_017530	0.541	-	ZNF821
chr4	70916131	70924565	NM_002159	0.541	+	HTN1
chr12	27849427	27850566	NM_001029874	0.541	+	REP15
chr11	93466393	93466466	NR_003033	0.540	-	SNORD5
chr16	18816174	18937726	NM_015092	0.540	-	SMG1
chr1	34326075	34330392	NM_145205	0.540	+	HMGB4
chr1	52516589	52518355	NR_126385	0.539	+	TXNDC12-AS1
chr8	64378406	64388040	NR_125825	0.539	+	LOC102724612
chr4	183059812	183065668	NR_027107	0.539	-	LOC90768
chr4	183059812	183065668	NR_125905	0.539	-	LOC90768
chr3	52322595	52323749	NR_046719	0.539	-	GLYCTK-AS1
chr8	86756683	86757761	NR_003594	0.538	-	REXO1L2P
chr20	46608836	46618861	NR_110027	0.538	-	LINC01522
chr16	80637675	80838175	NM_152342	0.535	-	CDYL2
chr1	63624753	63782901	NR_038252	0.534	-	LINC00466
chr14	89883697	89886137	NR_036500	0.534	+	FOXN3-AS1
chr9	41948513	41955177	NR_126046	0.534	-	GLIDR
chr9	41952398	41955177	NR_015363	0.534	-	GLIDR
chr9	41952705	41955177	NR_126044	0.534	-	GLIDR
chr9	41952705	41955177	NR_126045	0.534	-	GLIDR
chr1	203256827	203257924	NR_117098	0.533	+	LINC01353
chr1	152538174	152539229	NM_178435	0.532	-	LCE3E
chr6	132859426	132860475	NM_175057	0.532	+	TAAR9
chr11	62186506	62190678	NM_003357	0.532	+	SCGB1A1
chr5	87688011	87732491	NR_105020	0.532	+	TMEM161B-AS1
chr8	28362632	28362699	NR_036250	0.532	-	MIR4288
chr20	26167654	26189869	NR_040095	0.531	-	MIR663AHG
chr1	28905254	28905334	NR_003077	0.530	-	SNORD99
chr11	124266305	124267247	NM_001005467	0.529	-	OR8B3
chr2	177494308	177502302	NR_040001	0.529	-	LINC01116
chr3	193853930	193856401	NM_005524	0.529	+	HES1
chr17	39032140	39041495	NM_019010	0.529	-	KRT20
chr13	40238170	40238272	NR_036190	0.529	-	MIR4305
chr11	113185250	113237114	NM_017868	0.528	+	TTC12
chr11	92877336	92931141	NM_152313	0.528	-	SLC36A4
chr12	121160995	121161069	NR_039849	0.527	+	MIR4700
chr19	38924339	39078204	NM_001042723	0.527	+	RYR1
chr19	38924339	39078204	NM_000540	0.527	+	RYR1
chr1	20465822	20476879	NM_022819	0.527	+	PLA2G2F
chr5	128301212	128369335	NM_001017372	0.527	+	SLC27A6
chr5	128301209	128369335	NM_014031	0.526	+	SLC27A6
chr11	122017229	122017301	NR_029477	0.526	-	MIRLET7A2
chr11	93468275	93468402	NR_002973	0.526	-	SNORA40
chr14	50065414	50081390	NR_037793	0.525	+	LRR1
chr14	50065414	50081390	NR_037792	0.525	+	LRR1
chr14	50065414	50081390	NM_152329	0.525	+	LRR1
chr14	50065414	50081390	NM_203467	0.525	+	LRR1
chr2	183698004	183731498	NM_001463	0.525	-	FRZB
chr12	57038810	57038885	NR_002737	0.524	-	SNORD59A
chr5	9511444	9518198	NR_109935	0.524	+	CTD-2201E9.1
chr10	60028861	60049019	NM_018464	0.524	+	CISD1
chr2	58134785	58387055	NM_001288837	0.523	+	VRK2
chr2	58134785	58387055	NM_001288838	0.523	+	VRK2
chr15	95822518	95870329	NR_034095	0.523	-	LINC01197
chr3	142443265	142526729	NM_003304	0.523	+	TRPC1
chr3	142443265	142526729	NM_001251845	0.523	+	TRPC1
chr4	88529680	88538025	NM_014208	0.523	+	DSPP
chr10	60937226	61007534	NM_001143774	0.523	+	PHYHIPL
chr15	65255361	65281844	NM_001127889	0.521	-	SPG21
chrX	23926122	23957624	NM_001169574	0.521	+	CXorf58
chrX	23926122	23957624	NM_152761	0.521	+	CXorf58
chr1	12627938	12677737	NM_004753	0.520	-	DHRS3
chr2	133174146	133404169	NM_001508	0.520	+	GPR39
chr10	112257624	112271302	NM_004419	0.519	+	DUSP5
chr15	93426525	93441977	NR_037602	0.519	+	LINC01578
chr20	19870209	19983103	NM_018993	0.519	+	RIN2
chr15	85923846	86292589	NM_006738	0.519	+	AKAP13
chr15	85923846	86292589	NM_007200	0.519	+	AKAP13
chr3	103242876	103242960	NR_039611	0.519	-	MIR548AB
chr19	7069470	7087978	NM_024341	0.518	+	ZNF557
chr19	7069470	7087978	NM_001044388	0.518	+	ZNF557
chr19	7069470	7087978	NM_001044387	0.518	+	ZNF557
chr15	85923826	85923893	NR_106993	0.518	+	MIR7706
chr5	153726665	153726807	NR_031626	0.518	+	MIR1294
chr11	121322911	121504471	NM_003105	0.517	+	SORL1
chr12	54058943	54070109	NM_005176	0.517	-	ATP5G2
chr1	220960038	220987741	NM_022746	0.517	+	MARC1
chr1	29474249	29508637	NM_005626	0.517	-	SRSF4
chr15	48623620	48635570	NM_001025249	0.516	+	DUT
chr15	48623620	48635570	NM_001025248	0.516	+	DUT
chr22	39174512	39190161	NM_005740	0.515	-	DNAL4
chr11	65657874	65659106	NM_006848	0.515	+	CCDC85B
chr1	28907431	28907565	NR_003035	0.515	-	SNORA16A
chr8	21995532	21999448	NM_025232	0.515	-	REEP4
chr2	210885434	211036051	NM_152519	0.515	-	KANSL1L
chr20	29611878	29634007	NR_003579	0.515	+	FRG1B
chr5	41870131	41872338	NR_046635	0.514	+	OXCT1-AS1
chr5	40831429	40835387	NM_000997	0.514	-	RPL37
chr2	55774427	55844860	NM_020463	0.513	-	SMEK2
chr2	55774427	55844860	NM_001122964	0.513	-	SMEK2
chr2	55774427	55844860	NM_001282850	0.513	-	SMEK2
chr5	143537722	143550278	NM_030799	0.513	-	YIPF5
chr5	143537722	143550278	NM_001024947	0.513	-	YIPF5
chr5	143537722	143550278	NM_001271732	0.513	-	YIPF5
chr14	81641795	81687296	NM_015859	0.512	-	GTF2A1
chr14	81641795	81687296	NM_001278940	0.512	-	GTF2A1
chr6	42531759	42661243	NM_015255	0.511	+	UBR2
chr6	42531759	42588089	NM_001184801	0.511	+	UBR2
chr7	20686965	20796637	NM_178559	0.511	+	ABCB5
chr7	20686965	20707187	NM_001163993	0.511	+	ABCB5
chr7	20686965	20700017	NM_001163942	0.511	+	ABCB5
chr1	235093089	235099746	NR_125945	0.511	-	LOC101927851
chr9	133710641	133763062	NM_005157	0.511	+	ABL1
chr2	42104694	42121186	NR_033996	0.511	+	LOC388942
chr9	19230762	19374266	NM_017925	0.510	+	DENND4C
chr9	19230762	19374266	NR_073201	0.510	+	DENND4C
chr2	219283837	219314248	NM_007127	0.510	+	VIL1
chr9	21967750	21994490	NM_058195	0.509	-	CDKN2A
chr3	118930588	118959752	NM_003778	0.509	-	B4GALT4
chr3	118930588	118959752	NM_212543	0.509	-	B4GALT4
chr4	13656802	13932852	NR_121681	0.509	+	LINC01182
chr4	169552767	169849608	NM_001166109	0.507	+	PALLD
chr13	22446934	22452299	NR_047040	0.506	-	LINC00424
chr10	123716602	123734743	NM_001167865	0.506	-	NSMCE4A
chr10	123716602	123734743	NM_017615	0.506	-	NSMCE4A
chr16	68298418	68335726	NM_001076785	0.506	+	SLC7A6
chr16	68298418	68335726	NM_003983	0.506	+	SLC7A6
chr17	48796925	48830072	NM_016424	0.504	+	LUC7L3
chr17	48796925	48830072	NM_006107	0.504	+	LUC7L3
