Genes	AS1	AS2	AS3	D4CF1	D4CF2	D4CF3	DE2	DE3	ES1	ES2	ES3	F1	F2
NAV2	8.36677	1.16269	5.3333	5.02088	8.28158	5.73355	4.8133	6.57377	20.8891	21.1	19.7902	5.94422	2.11774
NCSTN	58.1383	39.4799	42.5477	62.8887	61.3981	53.3732	64.0072	58.5993	33.29	34.1007	33.6519	37.0673	58.1957
PPP1R12B	3.00701	3.86113	19.5816	2.90752	2.29031	2.56808	3.36518	2.96423	4.29217	4.7336	3.78391	49.8721	5.96353
PRDM4	17.7077	15.6738	11.8859	12.8314	17.0243	18.6264	12.9364	11.0319	9.69607	9.85489	9.69865	14.4586	16.8931
PTGR1	51.9336	496.742	59.4155	192.395	57.6819	60.6818	167.025	145.139	29.0659	30.947	29.6947	29.2812	50.7671
PTP4A2	90.5126	92.4445	77.053	114.762	91.0836	115	111.836	92.227	82.3297	86.4381	87.6384	45.2641	54.3825
RGS2	17.3088	581.502	88.4091	5.73632	16.2371	19.3739	4.56117	4.86822	20.261	19.8357	20.013	72.8865	77.6629
SEPP1	28.2148	828.22	181.459	62.8946	34.9357	28.4621	54.3688	45.5569	1.45253	1.46557	1.80159	1297.69	1999.83
SHC1	51.9251	76.2936	44.8563	49.8587	58.0356	51.109	52.0607	66.1677	69.9428	66.4819	63.8522	23.385	22.1178
SLC25A44	8.32871	15.7688	16.2525	20.5735	7.02842	7.84821	22.8514	20.6587	13.4421	13.7934	13.7002	13.0534	20.4735
SRP9	263.799	149.623	203.036	189.29	292.896	354.438	177.222	130.652	264.442	267.214	280.63	41.79	66.3097
ST3GAL6	10.0638	1.13295	1.3638	3.72927	11.0296	11.8489	2.53221	2.81201	3.07497	3.13657	2.98919	2.63704	2.35442
STX5	11.4852	42.1804	13.8387	16.6106	11.9733	9.51028	18.6187	23.1513	9.26178	9.3589	9.25289	23.1459	21.4896
THUMPD3	23.1531	7.40569	11.1382	22.6525	24.0964	18.8615	22.7419	17.6179	29.3279	33.2958	31.4167	11.0568	10.9219
TJP2	28.8994	78.1476	26.0747	10.6213	34.2326	37.6814	12.3045	11.8492	51.486	49.3962	48.2615	37.8715	63.3096
TPST2	7.53544	13.5579	25.8741	11.9333	9.0729	9.52771	9.46357	10.0143	16.9719	17.8392	17.9542	6.09325	16.5203
TRIM2	26.67	12.4576	17.656	31.0138	27.6583	29.738	36.0623	22.2791	20.9097	21.8993	21.6083	43.6207	46.8989
TYW5	4.19808	1.2269	2.19177	10.5934	4.33035	4.82757	9.31025	8.39307	8.67839	7.80009	8.18929	3.91651	4.86524
WDR74	21.7486	27.0347	11.9609	10.1553	24.1784	14.834	10.8673	15.1458	29.2661	29.8112	33.0307	8.64108	11.2556
ZC3H13	25.2351	5.60943	6.09512	31.5399	27.2154	30.6223	33.233	26.7124	29.5217	31.2704	26.6609	15.216	13.7395
ZCCHC11	27.3684	1.0637	2.48392	85.076	26.8212	29.7567	80.7117	68.7418	21.4915	22.6941	20.0923	12.1676	14.725
ZNF608	18.2067	1.9864	6.52871	42.7379	15.3037	16.8923	43.977	41.683	16.2766	16.5343	15.2726	18.8171	14.4957
ZNF740	19.9001	5.33815	12.5213	21.6959	23.0255	22.0164	20.8328	18.7964	14.4134	14.0772	13.6407	11.3099	12.5463
