Genes	tracking_id	Adult_SI-1	D4CF-1	ES1	Fetal_SI-1	Adult_SI-2	D4CF-2	DE2	ES2	Fetal_SI-2	Adult_SI-3	D4CF-3	DE3	ES3
FBXO10	1.51177	7.90811	5.7355	4.29969	2.82294	1.92407	9.59635	6.28278	5.21441	1.90235	2.53336	7.31041	8.31794	4.51924
FLAD1	42.2441	15.5526	10.9721	26.242	10.6382	25.7195	16.7453	10.7218	23.3612	10.2651	23.9747	11.5051	16.944	27.8603
FSBP	0.0043851	11.5148	7.87869	6.48669	0.541762	0	4.70538	5.70445	8.96106	0.519693	0.370897	2.60744	9.96557	5.37507
GCC2	11.8467	20.8516	20.2406	18.2215	22.7024	12.3852	23.761	20.2297	19.3022	31.0489	8.09807	36.654	17.1736	16.2109
GLT6D1	0	0	0.252846	2.23161	0	0	0	0.177042	2.46294	0	0	0	0.711255	2.22695
GLYATL1	0	4.1429	0.823815	5.20763	2.37165	0	4.90173	0.947759	5.53124	2.61813	0.167492	4.03171	1.0919	4.49137
GPR89B	0	0.184162	0.116549	0.0571478	0.234187	0	0.135923	0.163215	0	0.586618	0	0.0784609	0	0.0745049
GSTA2	66.2404	0.902861	1.5125	0	45.1389	13.1386	1.12891	1.20025	0.109134	82.3547	12.6911	0.859823	1.30476	0
HIST3H3	0	0	0	0	0	0	0	0	0.217668	0	0	0	0	0.171417
HLA-DRB6	0	0.284607	0.10807	0	5.56344	0	0.151242	0.0756706	0	3.27002	4.64033	0.194008	0.121601	0
HNMT	7.77383	8.31444	5.01948	2.46276	25.8847	16.2878	9.66776	5.46597	1.90492	26.4559	14.5311	8.66112	5.03066	2.46556
HSD17B7	5.77445	8.25622	9.82876	11.4667	1.39251	3.67465	11.265	6.9414	11.5549	4.40046	9.03428	11.5983	6.67372	11.844
HTR1F	0	2.48638	0.0749304	0.220444	0.0410727	0	2.9886	0	0.324394	0.0724681	0.0710042	2.05135	0.0632337	0.223532
IL4R	23.7071	4.55197	5.08565	7.80961	12.1653	19.7276	5.75285	4.98806	7.21204	12.899	25.6671	3.29683	9.33174	8.05247
ITSN1	11.8922	23.2908	25.3153	45.7772	12.9623	14.9062	23.2719	27.2658	45.8223	11.3834	4.14219	28.2933	21.4672	42.3011
KCNJ13	65.2848	0.0370354	0.386759	0.155247	1.14803	7.20956	0.262411	0.295151	0.141666	18.7615	22.6323	0.268255	0.239329	0.0599363
KCTD3	113.011	37.5392	40.1202	51.3499	26.3641	45.1491	41.7687	38.5585	52.515	31.8878	29.186	49.107	30.6953	50.5424
KIAA0087	0	0.0998069	0	0	0.187979	0	0.0378843	0	0	0.0209361	0.153756	0.0242983	0	0
KIAA1456	0.70329	1.41214	11.3896	0.534967	1.01357	0	1.42346	12.0534	0.627991	0.406329	1.40293	1.79739	9.07595	0.54963
LINC00348	0	0.867664	0	0	0	0	1.32736	0	0	0.0581903	0	0.604902	0	0.0638225
LINC00457	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00615	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00623	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00869	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00919	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01088	0	0.145442	0	0.0676987	0.25195	0	0.193221	0.193349	0.224149	0.214492	1.05704	0.309822	0	0.470721
LINC01124	0	1.67675	0.231525	0	1.0573	0	2.18709	0.526867	0	1.12048	0.604537	2.05218	0.390767	0.0246677
LINC01146	0	0.0935972	0	0	0.713056	0	0.0828969	0.124427	0	1.31336	0.170729	0.319011	0.0999755	0
LOC100129361	13.7956	8.37324	15.5128	11.3358	7.36619	9.23649	6.60697	15.3733	10.922	6.55113	7.07273	9.34553	7.87794	12.9168
LOC100129940	0	0.59083	3.66009	0.43336	0.66786	0.264671	0.124496	2.57419	0.312379	0.0664412	0.222456	0.314515	1.52749	0.421483
LOC100506188	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928471	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928791	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102467079	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC103091866	0	0.0919893	0	0	0.221525	0	0.178914	0	0	0.235534	0.231919	0	0	0
LOC284379	0.931758	0	0	0.0535093	0	0	0	0	0.059056	0	0	0	0	0.0465075
LRRC37A5P	0	0	0.250102	0	0	0	0	0.0875603	0	0.0485429	0	0	0	0
METTL10	5.17734	17.5688	15.7163	11.3407	5.26254	4.56185	19.434	15.2092	12.3386	5.97324	4.98368	21.3498	10.7423	11.4363
MIR3679	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR3921	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4258	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR5191	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR7641-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR8055	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYO7B	175.441	0	0	0	39.0384	156.91	0.007983	0.0119824	0.00926077	82.3427	17.7377	0	0	0
NAV2	1.43607	8.36677	5.02088	20.8891	5.94422	1.16269	8.28158	4.8133	21.1	2.11774	5.3333	5.73355	6.57377	19.7902
NBPF14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF25P	4.54624	1.37331	5.04303	2.25924	2.08714	3.2162	0.905407	5.08538	1.9592	2.08048	2.91853	1.20727	3.63695	1.91923
NBPF9	0	2.38694	1.67958	0.53671	2.46905	0	1.86275	1.22223	0.528292	1.51541	2.70619	1.7175	1.05	0.465171
NCSTN	43.2683	58.1383	62.8887	33.29	37.0673	39.4799	61.3981	64.0072	34.1007	58.1957	42.5477	53.3732	58.5993	33.6519
OR5A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCED1B-AS1	0	0	0.0529779	0	0.194874	0	0.0226184	0.0339584	0.0524775	0.431601	0.321966	0	0.0272783	0
PKDCC	3.70657	2.8615	2.52238	8.06301	56.7863	5.24162	1.0409	2.27564	7.5338	60.3003	55.5864	0.653101	7.01358	9.40594
PKNOX2	0	8.68812	0.2528	1.30154	3.15272	0.681862	11.1738	0.398272	1.43645	1.03886	0.778104	6.41028	0.995575	1.36017
PPP1R12B	1.01826	3.00701	2.90752	4.29217	49.8721	3.86113	2.29031	3.36518	4.7336	5.96353	19.5816	2.56808	2.96423	3.78391
PRDM4	16.3571	17.7077	12.8314	9.69607	14.4586	15.6738	17.0243	12.9364	9.85489	16.8931	11.8859	18.6264	11.0319	9.69865
PRH1	1.39414	1.22463	1.1234	1.16839	0.843045	4.79952	1.18969	1.42386	1.43886	2.03971	2.0156	1.62667	2.2443	1.07013
PRH1-PRR4	0	0.611185	0	0.253858	0.143611	0	0.93329	0	0	0.1625	0	0	0	0.286567
PTGR1	1044.99	51.9336	192.395	29.0659	29.2812	496.742	57.6819	167.025	30.947	50.7671	59.4155	60.6818	145.139	29.6947
PTP4A2	77.4222	90.5126	114.762	82.3297	45.2641	92.4445	91.0836	111.836	86.4381	54.3825	77.053	115	92.227	87.6384
RAD54B	1.16586	27.8718	16.5509	22.8208	2.64176	0.419108	37.2762	17.579	21.9301	3.18668	2.43652	42.9903	10.308	23.8943
RARB	0.694567	1.28108	1.85455	0.135887	5.91716	0.504613	0.760997	1.34943	0.201813	4.39871	1.32052	0.800605	1.18194	0.318419
REXO1L2P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS2	551.425	17.3088	5.73632	20.261	72.8865	581.502	16.2371	4.56117	19.8357	77.6629	88.4091	19.3739	4.86822	20.013
RNASE6	1.11222	0.75326	0	0.063749	9.91807	8.49332	0.424547	0	0	9.8938	9.07557	1.22533	0	0.0554073
RPL13AP20	0	0.386086	0.24434	0.239615	0.80151	8.06693	0.683894	0.513258	0.396679	0.952951	0.472618	0.109659	0.687326	0.312391
RRN3P3	4.11492	0.307795	0.53568	0.883495	0.957087	3.68363	0.590649	0.818359	0.92237	1.6717	3.04901	0.415258	0.849324	1.1207
SCGB1A1	3.9611	0	0.449259	0	0	0	0	0	0	0	0	0	0	0
SEPP1	716.315	28.2148	62.8946	1.45253	1297.69	828.22	34.9357	54.3688	1.46557	1999.83	181.459	28.4621	45.5569	1.80159
SHC1	50.0412	51.9251	49.8587	69.9428	23.385	76.2936	58.0356	52.0607	66.4819	22.1178	44.8563	51.109	66.1677	63.8522
SLC25A44	18.2387	8.32871	20.5735	13.4421	13.0534	15.7688	7.02842	22.8514	13.7934	20.4735	16.2525	7.84821	20.6587	13.7002
SMG1P1	0.205767	0.0732665	0.115919	0.215988	0.36615	0.249936	0.0865206	0.162333	0.125462	0.020647	0	0.104049	0.156519	0.118563
SP5	1.63055	14.3433	5.88109	0.2821	1.61131	0	13.1806	5.37121	0.103781	2.37651	1.63977	13.5414	5.2148	0.0544864
SPINK5	0.69742	0.991464	5.15976	6.3547	0.231042	0	0.242099	5.8362	5.12181	0.150545	0.184327	0.439864	5.96708	6.00909
SRGAP2D	2.18648	2.59908	2.65668	1.32874	0.629104	0	2.25577	2.60428	1.78293	1.32599	1.15981	2.71848	2.06271	1.15484
SRP9	181.466	263.799	189.29	264.442	41.79	149.623	292.896	177.222	267.214	66.3097	203.036	354.438	130.652	280.63
ST3GAL6	0	10.0638	3.72927	3.07497	2.63704	1.13295	11.0296	2.53221	3.13657	2.35442	1.3638	11.8489	2.81201	2.98919
ST3GAL6-AS1	0	0.415471	0	0.193389	0.701158	0	0	0	0	0.307074	0.189847	0.0885043	0	0.336168
STX5	16.2801	11.4852	16.6106	9.26178	23.1459	42.1804	11.9733	18.6187	9.3589	21.4896	13.8387	9.51028	23.1513	9.25289
THUMPD3	11.004	23.1531	22.6525	29.3279	11.0568	7.40569	24.0964	22.7419	33.2958	10.9219	11.1382	18.8615	17.6179	31.4167
TJP2	66.291	28.8994	10.6213	51.486	37.8715	78.1476	34.2326	12.3045	49.3962	63.3096	26.0747	37.6814	11.8492	48.2615
TPST2	6.16731	7.53544	11.9333	16.9719	6.09325	13.5579	9.0729	9.46357	17.8392	16.5203	25.8741	9.52771	10.0143	17.9542
TRIM2	16.9852	26.67	31.0138	20.9097	43.6207	12.4576	27.6583	36.0623	21.8993	46.8989	17.656	29.738	22.2791	21.6083
TYW5	4.53132	4.19808	10.5934	8.67839	3.91651	1.2269	4.33035	9.31025	7.80009	4.86524	2.19177	4.82757	8.39307	8.18929
WDR74	30.2283	21.7486	10.1553	29.2661	8.64108	27.0347	24.1784	10.8673	29.8112	11.2556	11.9609	14.834	15.1458	33.0307
ZC3H13	6.53513	25.2351	31.5399	29.5217	15.216	5.60943	27.2154	33.233	31.2704	13.7395	6.09512	30.6223	26.7124	26.6609
ZCCHC11	0.668611	27.3684	85.076	21.4915	12.1676	1.0637	26.8212	80.7117	22.6941	14.725	2.48392	29.7567	68.7418	20.0923
ZNF608	2.60124	18.2067	42.7379	16.2766	18.8171	1.9864	15.3037	43.977	16.5343	14.4957	6.52871	16.8923	41.683	15.2726
ZNF740	5.59234	19.9001	21.6959	14.4134	11.3099	5.33815	23.0255	20.8328	14.0772	12.5463	12.5213	22.0164	18.7964	13.6407
