Gene	Sample	RPKM
GPR89A	Adult-SI	6.67965

MIR3675	D4CF	0

MIR363	Adult-SI	0

E2F5	D4CF	78.0929

FNDC3B	Endo	27.6799

MIR3911	Endo	0

UEVLD	D4CF	4.70943

KCNN2	ESC	16.1803

SCEL	ESC	0.0122451

FMNL3	Endo	6.25073

TLE1	D4CF	7.36028

SLC16A7	D4CF	1.52661

MIR4480	Fetal-SI	0

MIR3198-1	Endo	0

CASP7	Fetal-SI	16.2922

CCDC30	Fetal-SI	0.71264

GNRHR	Adult-SI	0.0200489

FAM184A	ESC	8.64749

GNRHR	D4CF	0.0304038

ADGB	Adult-SI	0.0803274

MIR302D	ESC	677.778

CPA2	Endo	0.475767

WBSCR27	Adult-SI	0.205386

CNTN1	Fetal-SI	2.96786

OR10Z1	Endo	0

PTPRQ	ESC	0.00966191

MAOA	ESC	3.00522

MIR181B2	Adult-SI	0

FAR2	Fetal-SI	11.8134

SALL1	ESC	22.7959

OTOL1	Endo	0

HCAR1	D4CF	0.00594151

C3orf79	Adult-SI	0

EFHC1	Adult-SI	2.51955

OR5H15	Fetal-SI	0

GPR22	ESC	0.033449

TMPRSS11GP	Fetal-SI	0

ATP2B1	ESC	15.7305

AGPAT1	Endo	0

MAP2	ESC	5.42303

HMGA2	Endo	142.494

TDRD1	Endo	0

CCDC130	D4CF	3.70221

FAM127A	D4CF	19.4531

LOC653513	D4CF	0.0247381

FAM127A	Fetal-SI	51.6015

NHEG1	D4CF	0

MIR572	D4CF	0

JDP2	Endo	1.90052

DOCK11	D4CF	8.55419

MRPL48	D4CF	36.695

DDX43	ESC	0.141706

CYP4A22	Adult-SI	0

ZNF330	Adult-SI	16.0644

GZMA	D4CF	0.02252

KCNJ13	Endo	0.275634

APLNR	ESC	0.160035

KRTAP10-7	ESC	0

TUSC3	ESC	29.3869

FGGY	D4CF	5.70383

SRSF4	ESC	63.5032

MIR4276	ESC	0

PPP2R3A	Fetal-SI	5.21567

IFNA2	D4CF	0

SNAR-A4	Adult-SI	0

LALBA	Endo	0

SRSF4	Endo	60.1098

SNAR-B1	Adult-SI	0

KIAA1456	ESC	0.51766

AGPAT1	ESC	44.2679

RARB	Fetal-SI	4.79991

ELOVL6	Fetal-SI	5.04106

SPINK5	Fetal-SI	0.165152

SNORA70B	Adult-SI	0

MAN2B1	Endo	12.0967

C11orf88	Fetal-SI	0

CDH2	Adult-SI	0.558927

CMAS	Adult-SI	133.942

TCL6	Adult-SI	0.0118757

USP44	Endo	7.3718

BDNF	D4CF	2.06444

PROM1	Fetal-SI	20.328

LOC283683	Endo	0.621359

RBMS3	Adult-SI	1.97193

MIR363	Fetal-SI	0

CFHR3	Adult-SI	0

PPTC7	Adult-SI	8.61628

KRTAP10-7	Endo	0

OR5B3	Endo	0

AIFM1	D4CF	32.6257

LINC00320	ESC	0

IL4R	Endo	6.85999

PSMG1	Fetal-SI	25.2952

TMEM184C	D4CF	22.0895

STARD10	D4CF	3.1365

HERC4	Adult-SI	23.1938

NAPB	Adult-SI	5.50609

ARHGEF33	Endo	0.205407

EVI5	Adult-SI	4.72441

ELOVL6	D4CF	54.3696

HAUS6	Fetal-SI	2.31747

SNAR-A10	ESC	0

MIR34B	ESC	0

GOLGA8A	Endo	12.5566

ZBTB24	Fetal-SI	6.1318

PTH	Adult-SI	0

CITED4	D4CF	1.15308

DUSP14	D4CF	17.1968

RNF217	D4CF	3.23751

ARHGAP15	D4CF	0.11863

NKX1-2	Fetal-SI	2.21296

VWA2	Endo	0.047462

MIR181B2	Endo	102.055

SNAR-A3	Adult-SI	0

KCNJ13	Adult-SI	40.6645

HAUS6	ESC	11.7247

SLC11A2	ESC	29.3571

VWA2	Fetal-SI	4.82322

HIST1H2AL	Fetal-SI	0

CHKA	Endo	22.5539

SCARNA23	D4CF	0

CTNNA1	Fetal-SI	108.667

MIR135A2	Endo	0

CERS5	D4CF	36.8706

RPSAP9	Adult-SI	7.99097

BMP6	ESC	0.54623

SCEL	Fetal-SI	0.127875

MAST4	Endo	1.09365

GATA3	Fetal-SI	0.321303

MIR572	Adult-SI	0

KRTAP10-2	ESC	0

EFHC1	Fetal-SI	3.68119

WDR83	Fetal-SI	11.7331

NDRG1	Fetal-SI	208.414

HSP90AB4P	Fetal-SI	0.012134

OR5A2	Fetal-SI	0

CPS1-IT1	ESC	0

TCN2	Endo	30.9542

GPR87	D4CF	0.147217

MIR548I4	Fetal-SI	0

PYCR2	Endo	61.1134

HKDC1	Endo	0.0179678

CTAGE4	ESC	0

IPO8	Fetal-SI	15.5627

PTPRQ	Adult-SI	0

PLK2	Adult-SI	7.29885

ZNF330	Endo	19.7924

ABL2	ESC	5.51368

PATZ1	ESC	25.7253

HEXIM2	D4CF	1.60059

PSMG1	Adult-SI	18.0873

BAHD1	ESC	10.3095

RARB	Adult-SI	0.881391

PTPRD	Fetal-SI	2.67817

FAM183A	Endo	0.164881

MIR4782	Adult-SI	0

MIR302D	D4CF	0

GPR22	Adult-SI	0.161501

GC	D4CF	0

KIAA1462	Fetal-SI	4.55061

NRG4	D4CF	0.336463

PPP2R3A	D4CF	9.30921

PLA2G2E	Endo	0

CHKA	D4CF	21.2258

KLHDC10	ESC	8.42878

BASP1P1	D4CF	0.0419265

RARB	D4CF	0.857224

KC6	Fetal-SI	0.329282

FTH1	D4CF	139.904

SKP1P2	Endo	12.2911

TARP	Endo	0

SNAR-A6	ESC	0

UROC1	ESC	0.0102345

STATH	ESC	0

ZNF385B	Endo	0.670611

MIR4295	Fetal-SI	0

DTWD1	Fetal-SI	5.21299

GCNT4	Adult-SI	8.94984

PDK3	Endo	8.9804

TMEM169	Endo	1.1041

MIR563	Adult-SI	0

MSX2	Fetal-SI	1.21046

MCHR1	Endo	0.142792

PART1	ESC	0.0627777

SERPINB11	ESC	0

HAMP	D4CF	0

MCHR1	Fetal-SI	0.166965

AGPAT1	Fetal-SI	0

GGH	D4CF	97.4467

PPP2R3A	Endo	5.67199

OR6K3	D4CF	0

PDE4B	D4CF	12.4737

MIR448	Fetal-SI	0

KLRC2	D4CF	0

FMO1	D4CF	0.0452057

OR2A7	Adult-SI	1.66691

MSX1	Adult-SI	0.679984

MITF	D4CF	10.7483

XIRP2	Endo	0

LCN9	Adult-SI	0

MIR3668	Adult-SI	0

ADAMTS18	Endo	2.34043

PLA2G6	D4CF	0.815176

ACOT13	D4CF	8.99838

MIS18BP1	Fetal-SI	7.56685

FNDC3B	Fetal-SI	13.3087

ASCC3	Adult-SI	6.10746

CUX1	D4CF	17.0936

PLA2G6	ESC	1.10694

SETD5	ESC	61.5088

HMGA2	D4CF	256.832

TCF12	ESC	41.1583

PDE3A	Adult-SI	6.09919

NBPF10	Endo	0.21614

GNGT1	Fetal-SI	0

MIR3146	Fetal-SI	21.8656

PLCH1	Adult-SI	2.39

GPR22	Endo	0.0582853

CYP4A22	Endo	0

PNRC1	Endo	32.0636

WNT5B	D4CF	36.6647

OR5A2	ESC	0

MIR30A	Fetal-SI	0

LPHN3	D4CF	6.61465

LOC400655	Fetal-SI	0

RASSF8	Endo	75.5204

IL4R	Fetal-SI	12.9657

TMPRSS11GP	Adult-SI	0

SDC4P	Fetal-SI	0.0663839

AHCYL1	Adult-SI	139.751

LOC100505912	ESC	0.499963

ANKRD28	D4CF	12.8708

PNRC1	D4CF	14.1565

SLC9A8	ESC	2.45555

HAP1	Endo	0.238762

ASB15	Adult-SI	0

MIR34C	D4CF	0

GPM6A	D4CF	30.9855

TLE1	Adult-SI	6.40389

YEATS4	ESC	54.8057

GLE1	Endo	10.9373

SCEL	Endo	0.0333336

SAMD3	Endo	37.9654

OR10Z1	Adult-SI	0

CPXCR1	Adult-SI	0

MIR449B	D4CF	0

SOX5	Fetal-SI	2.06873

RAB8A	Adult-SI	86.6379

C6orf211	Adult-SI	20.7585

SEMA3E	Adult-SI	0.343059

PPIAL4B	Fetal-SI	0

DNAJC15	Endo	30.365

ASCC3	D4CF	35.3102

MIR3942	D4CF	0

KCP	D4CF	0.699517

PPIP5K2	Fetal-SI	13.8754

MIR4796	D4CF	0

AMOT	D4CF	12.6134

SIPA1L1	D4CF	12.4639

GRK5	Endo	1.17777

MIR4737	Endo	31.9189

MIR302D	Endo	960.232

FAM186B	D4CF	0.132137

KLHDC10	Endo	10.1674

WNT5B	Endo	0.287275

SCN7A	Fetal-SI	3.63035

OR10X1	Endo	0

WDR38	Fetal-SI	0

DNAH5	Endo	0.0874373

IER3IP1	Adult-SI	48.8072

MSX2	Endo	4.54088

ZNF330	D4CF	36.4888

OR13C3	D4CF	0

GPR89A	Fetal-SI	1.76229

BTG4	ESC	0.0987599

SH3D19	Adult-SI	56.3148

NOX1	Endo	0.317908

POM121L12	Endo	0

FAM178A	ESC	9.80737

NRG4	ESC	2.39439

CTAGE4	Fetal-SI	0.093702

MS4A2	Adult-SI	0.323001

SPINK5	ESC	4.7479

MIR2052	D4CF	0

PPP1R9A	Fetal-SI	6.45166

LPAR6	ESC	0.908214

OR7D2	Fetal-SI	0.0233329

MSGN1	ESC	0

NR2C1	D4CF	18.3

SPP1	D4CF	39.6242

WDYHV1	Fetal-SI	4.58845

TSSK1B	D4CF	0.0150249

SAMD3	Adult-SI	0.0195311

PRC1	D4CF	68.9684

IPO7	Fetal-SI	32.1813

SCARNA10	Endo	4.92232

CECR2	D4CF	13.813

RNF148	D4CF	0

ARHGAP15	Fetal-SI	4.30136

MOGS	Adult-SI	53.29

ZFP42	Adult-SI	0

DAD1	Fetal-SI	116.545

HIST3H3	Endo	0

ANKRD6	Adult-SI	0.472085

NUBPL	ESC	7.8658

TIAM2	Adult-SI	11.2716

MMP13	Fetal-SI	0.155243

OR13C3	ESC	0

MIR4288	Fetal-SI	0

SPINK7	Adult-SI	0.109888

CHRM5	ESC	0.0201144

LOC643623	Fetal-SI	0

SLC24A1	Fetal-SI	2.8892

LAMP1	Adult-SI	59.1468

MIR34B	Fetal-SI	0

DUSP14	Adult-SI	3.43444

MIR605	Endo	0

MIR4429	Fetal-SI	0

MAP2	D4CF	10.9423

SNPH	Endo	0.33056

VWCE	Fetal-SI	0.464683

PTP4A2	D4CF	93.4087

GPR87	Fetal-SI	0.0149772

RGS21	Adult-SI	0

HVCN1	Adult-SI	1.84965

ACAP2	Fetal-SI	14.0322

PPIAL4B	Adult-SI	0

CXCR4	Adult-SI	15.7311

MIR331	Adult-SI	0

PYCR2	ESC	33.1454

MIR3660	Endo	0

FAM217B	Endo	9.79529

DEFB105A	ESC	0

FAM26D	ESC	0.0141521

GNG3	D4CF	5.08526

TCEB3C	D4CF	0

TMEM184C	Fetal-SI	12.0922

KIAA1671	D4CF	5.30687

SLC35E3	Endo	6.30882

MIR4509-1	Endo	0

ITLN1	ESC	0

SNORD103A	D4CF	0

PREX1	D4CF	11.4082

CHKA	ESC	40.3908

OR5H15	ESC	0

C6orf226	Fetal-SI	6.69314

GRK5	Fetal-SI	10.332

NRG4	Endo	3.04941

HIST1H3C	Adult-SI	2.40626

ADSS	D4CF	44.3577

CGA	D4CF	19.6231

FTH1	Adult-SI	2704.54

CPS1-IT1	Endo	0

MIR181B1	Adult-SI	0

MSX1	ESC	0.231873

SOX5	Endo	6.52636

CPB2	Endo	0.0762864

KIF7	ESC	2.6271

MIR4279	Fetal-SI	0

APLF	Endo	4.21895

C11orf88	Endo	0.0505933

HVCN1	Endo	3.35441

HGF	Endo	0.0971268

MIR551B	Endo	0

OR51S1	Fetal-SI	0.0344327

REM2	Fetal-SI	0.522869

GPR173	Endo	3.03742

HHLA1	Fetal-SI	0

MIR302D	Adult-SI	0

RAB23	D4CF	32.0668

FAM186B	Adult-SI	0.107208

HDHD3	Endo	6.69326

CFHR2	ESC	0

AARSD1	Endo	17.6478

SALL2	ESC	96.9929

TMEM164	Endo	6.99193

AHCYL1	D4CF	66.3192

IGSF11-AS1	Fetal-SI	0

MAST4	Adult-SI	2.36182

SNAR-B1	Fetal-SI	0

SPINK7	ESC	0.0532854

FMO1	ESC	0.0937006

ITGB5	D4CF	76.5851

BIN2	D4CF	0

TANK	Adult-SI	33.3007

VSIG10	Fetal-SI	6.83814

SCEL	Adult-SI	0.0254508

CSMD3	ESC	0.0145009

SNPH	Adult-SI	1.93623

KRT6B	D4CF	0

NAPB	Endo	10.1897

COX6C	Endo	105.619

GRXCR2	Adult-SI	0

SLC26A7	Adult-SI	0.00727427

MIR125B2	Endo	0

FGL1	Endo	0

GLT8D2	Fetal-SI	6.21295

FAM26D	D4CF	0.0802373

C22orf31	Adult-SI	0.0429407

LINC00460	D4CF	0

TAS2R46	ESC	0.0750247

MIR125B2	Adult-SI	0

MIR135A2	ESC	0

PTP4A2	Fetal-SI	52.202

RBMS3	D4CF	2.1175

PTPRD	ESC	13.1583

LOC653513	Endo	0.33275

CASP7	D4CF	10.0608

WDR83	D4CF	1.96696

AGTR2	Endo	0.0183472

TPM3	Fetal-SI	38.9628

PEX5	Fetal-SI	16.8865

LPAR6	Fetal-SI	10.5772

GZMA	Fetal-SI	0.844846

C6orf120	Adult-SI	13.3378

TMEM222	Fetal-SI	18.5355

HVCN1	Fetal-SI	2.63344

CPA5	Adult-SI	0

MIR320C2	Endo	0

E2F5	Endo	55.7825

AMOT	Endo	8.41728

ETS1	Fetal-SI	14.3351

AGPAT1	Adult-SI	0

FAM180A	ESC	0.0124117

KIAA1462	Endo	9.39396

ATXN3	Endo	5.11268

LOC100132735	Endo	0

ASCC3	ESC	48.2056

MARS2	Fetal-SI	4.60859

PPIAL4B	D4CF	0

SEMA3A	Fetal-SI	7.5527

NBPF1	Adult-SI	2.45156

AMIGO2	Adult-SI	3.14946

CDK13	Adult-SI	8.28475

HTR7	Endo	1.19919

GDE1	Endo	29.8015

SCN3A	Endo	0.0463358

GPR39	Fetal-SI	6.8178

AVIL	ESC	0.362379

LOC100506422	D4CF	0

MIR3198-1	Adult-SI	0

SHROOM3	ESC	8.26363

LRRC3B	Fetal-SI	1.32742

GPATCH8	Endo	20.1106

EDARADD	ESC	79.1415

RECK	D4CF	8.31404

ABCB5	Fetal-SI	0

TPP2	ESC	44.7503

POU6F2	Endo	0.209482

GTSF1	Endo	0.0958641

UGT2B4	ESC	0.0233981

DMP1	Adult-SI	0

SPP1	ESC	29.4969

SCEL	D4CF	0.0106847

PLS1	D4CF	14.7758

SNX30	Adult-SI	6.5018

EIF4G3	Adult-SI	12.4847

NKAIN2	Endo	0.168125

PLAC4	Adult-SI	0.17247

KIAA1456	Endo	9.65596

CERS5	Endo	45.2982

TAS2R46	D4CF	0.0263733

KCNG4	D4CF	0

TMEM169	Adult-SI	1.0346

CEP19	Endo	2.91943

LOC339862	Adult-SI	0

MIR548I4	D4CF	0

CASP12	ESC	0

VNN2	Endo	0.0642736

GRXCR2	Fetal-SI	0

PADI4	Adult-SI	0.0179115

MIR30A	ESC	0

OR6C65	Fetal-SI	0

DSG1	Fetal-SI	0.0302765

HKDC1	ESC	0.0774663

OSBPL9	D4CF	61.138

MPZL1	ESC	36.6323

NEDD4L	ESC	15.4785

MIR3675	ESC	0

NUCB2	ESC	18.8795

GZMA	ESC	0.0226392

CLLU1	ESC	0.0151362

SPDYC	Endo	0

NCOR1	Endo	23.5661

CADM2	Adult-SI	0.170295

ATXN7	Adult-SI	5.26152

ANGPTL3	D4CF	0.00741926

MIR320C2	Adult-SI	0

FBXL3	Fetal-SI	20.4822

ZCCHC4	Endo	6.84264

SNAR-B2	D4CF	0

KIF5C	Fetal-SI	9.561

POSTN	Adult-SI	9.42082

RAB8A	Endo	30.3774

TARP	Adult-SI	0.818053

NRG1	Endo	4.10938

CDX2	Endo	0.024038

TSSK4	ESC	2.33583

ACADSB	Endo	12.0819

TCEB3C	Endo	0

TRIML2	Endo	2.55424

TMEM222	ESC	8.27823

DOCK11	Endo	1.02652

SCG5	Fetal-SI	8.18833

GTF2H2	Adult-SI	0.298167

OR13C4	D4CF	0

TSC22D3	Fetal-SI	39.1961

USP30	Adult-SI	3.5229

AIFM1	Adult-SI	49.3102

IER3IP1	D4CF	52.3445

REXO1L2P	ESC	0

SNAR-D	Endo	0

OR13C9	D4CF	0

UROC1	D4CF	0

DEFB105A	Fetal-SI	0

REM2	Endo	0.878854

HKR1	Fetal-SI	11.1209

FMO9P	Endo	0.0180245

DR1	Endo	22.968

CSRNP3	D4CF	3.8405

GXYLT2	ESC	2.11582

PLK2	Fetal-SI	10.1569

NBPF1	ESC	1.95903

OR6C76	Adult-SI	0

MIR106A	Endo	0

DTWD1	D4CF	15.8337

SH2D1A	D4CF	0.0442432

PRC1	Adult-SI	8.67152

TPMT	Endo	9.32167

CUX1	Fetal-SI	32.4178

URI1	Adult-SI	20.554

VSIG10	Adult-SI	30.0562

SNPH	ESC	0.777433

LOC100505912	D4CF	0.653068

CABIN1	D4CF	8.40624

TNIP3	Endo	0.00944953

CHI3L2	Fetal-SI	0.45371

TAAR5	Fetal-SI	0

UQCRH	ESC	304.997

NFKB2	Fetal-SI	8.32639

SNAR-A14	Adult-SI	0

MIR4773-2	Adult-SI	0

LOC283683	Fetal-SI	0.310978

SNORD70	Endo	0

OR5A2	Endo	0

ATP12A	Fetal-SI	0.00568929

MIR2054	Fetal-SI	0

AMOT	Adult-SI	4.3538

MAP2K6	Fetal-SI	6.41277

TRAK1	Fetal-SI	24.7282

MAN2B1	ESC	13.1536

LINC00320	Endo	0

ST3GAL4	D4CF	7.94902

MIR302B	Adult-SI	0

TRIM55	ESC	0.12958

GDE1	Fetal-SI	26.6055

OR2D2	Endo	0

CSPP1	Endo	8.96929

MIR4491	D4CF	0

SLC38A9	Endo	27.1325

SNAR-B2	Endo	0

MIR4429	Endo	71.3327

MIR92A2	D4CF	0

IPO7	ESC	74.8328

TUBA1C	Fetal-SI	50.6905

MGAT4C	Fetal-SI	0.122417

CERS5	ESC	46.5012

FAM184A	Adult-SI	1.95417

ESCO2	ESC	10.4718

LOC283683	D4CF	0.231611

WFDC8	Adult-SI	0

PTPDC1	ESC	3.77255

MITF	Fetal-SI	1.16655

GTSF1	Adult-SI	0.743445

SPDYC	ESC	0.0347216

BAHD1	Fetal-SI	14.3786

SFN	Endo	0.360044

SLBP	D4CF	78.2225

CD4	D4CF	1.14742

ATF7IP2	D4CF	5.74516

MIR4652	D4CF	0

IER3IP1	Fetal-SI	39.6503

LDHC	Endo	0.714535

ATXN7	Endo	11.9035

ZCCHC13	D4CF	0

SALL1	Fetal-SI	3.21491

MYO3B	Endo	0.563507

SNAR-A10	Fetal-SI	0

POSTN	Fetal-SI	66.9442

HSDL2	ESC	16.4813

MIR92A2	Endo	0

SLC39A8	Adult-SI	5.45671

LINC00486	ESC	0

PIGX	Endo	10.5523

TANK	D4CF	22.3462

COLEC11	D4CF	0.0155978

SNAR-B2	Fetal-SI	0

SPDYC	D4CF	0.0251963

TMEM27	D4CF	3.88793

DUSP14	Fetal-SI	3.90547

OR6K6	Adult-SI	0

SCG5	Endo	2.00525

ZMIZ2	ESC	6.82308

GLE1	D4CF	19.4495

TMEM100	Adult-SI	9.43804

TTC3	D4CF	58.5185

SERPINA12	Endo	0

SERF1A	Endo	0.575132

MIR18B	ESC	51.4337

AKAP10	D4CF	14.3204

GNGT1	D4CF	0.364956

WDR38	D4CF	0.0519644

SELPLG	Fetal-SI	2.82889

CCDC88A	ESC	31.46

CEP19	Fetal-SI	1.05233

FDFT1	Endo	128.107

VIT	D4CF	0.483918

PAK2	Endo	24.9876

CLOCK	Adult-SI	2.81322

MANEA	Endo	180.154

SNORA70B	D4CF	0

MIR367	Adult-SI	0

MIR181A2	Endo	7.53681

FABP9	Adult-SI	0

ATXN3	D4CF	6.21815

HDHD3	ESC	4.10453

MIS18BP1	D4CF	31.3608

GPR87	ESC	0.415192

HIST1H2AL	ESC	0.0745139

GYS2	Fetal-SI	0.106685

NAA16	Adult-SI	2.91832

MIR2113	ESC	0

MOCS1	Endo	1.89928

VWDE	ESC	6.4994

RACGAP1	D4CF	46.8188

HDHD3	Fetal-SI	64.3479

P2RY12	ESC	0.0435597

TAS2R14	Endo	3.2434

SLBP	ESC	42.2033

DEFB106B	ESC	0

CLCC1	Fetal-SI	9.85456

NKX1-2	ESC	0.437122

MGAT4C	D4CF	0.0821161

MIR3660	ESC	0

TLE1	Endo	13.9441

DEFB106B	Endo	0

CADM2	D4CF	0.253274

SKP1P2	ESC	9.65547

ARG2	D4CF	60.4223

SLC39A8	ESC	13.4084

UQCRH	Adult-SI	748.41

PECR	ESC	6.84236

SPINK6	Fetal-SI	0.0454663

PNRC1	Fetal-SI	33.6852

TMEM126A	Adult-SI	37.7948

NAP1L5	D4CF	4.76384

CPO	ESC	0.040857

AHCYL1	Fetal-SI	39.3678

MIR320C2	ESC	0

TIAM1	ESC	4.65518

BDNF	Adult-SI	0.052842

PLK2	ESC	12.5042

TPP2	Fetal-SI	14.9812

APLNR	D4CF	34.3601

CTAGE4	ESC	0.00818396

HERC4	ESC	14.9677

LIN28A	D4CF	463.923

CD36	ESC	0.583664

SNAR-A10	Endo	0

TAS2R46	Fetal-SI	0.0515686

PROM1	Adult-SI	2.15252

SMAD2	Endo	33.8054

NLRP7	Fetal-SI	0

TLE1	ESC	21.8296

HYALP1	Fetal-SI	0

ACTR2	D4CF	143.535

TSHB	Fetal-SI	0.12084

MITF	ESC	0.561733

ZNF624	Adult-SI	0.732184

KCNK5	D4CF	1.10323

ACADSB	ESC	9.15176

CADM2	ESC	2.16315

ZMIZ2	Endo	5.97395

TSC22D3	D4CF	14.4557

TRPM1	ESC	0.104731

CDRT15L2	Adult-SI	0

WDYHV1	Adult-SI	5.02779

PBLD	ESC	1.27803

CD19	Adult-SI	0.316392

RNF43	Fetal-SI	11.1133

CT62	ESC	0.098178

EHBP1	ESC	20.99

ACOT13	ESC	11.1961

MIR4782	Endo	0

OSBPL9	Adult-SI	15.9244

TSHB	ESC	0.0529972

OR2D2	Adult-SI	0

MIR449B	ESC	0

SPINK6	Endo	0

ZNF330	Fetal-SI	18.9145

MIR3942	Adult-SI	0

FAM175B	Fetal-SI	8.11802

MIR4256	D4CF	0

TUSC3	D4CF	52.6646

RNASE9	Adult-SI	0

MIR4276	Fetal-SI	0

ZFP42	ESC	117.556

DAD1	Adult-SI	204.041

TPI1P3	Adult-SI	0.110256

FGGY	Endo	2.63292

MIR4509-1	D4CF	0

DTWD1	Adult-SI	3.90915

IDH1	Fetal-SI	94.0681

PECR	Fetal-SI	20.3527

FAM183A	Adult-SI	0.121525

HSDL2	Endo	14.0731

MIR92A2	Adult-SI	0

TMEM47	Adult-SI	2.76524

AVIL	Adult-SI	6.76511

SCMH1	Adult-SI	20.4266

CORO2B	D4CF	1.76116

EGFLAM	Fetal-SI	0.978538

CPO	Adult-SI	7.07404

OTOL1	D4CF	0

CMPK1	ESC	28.3597

LOC100130093	Adult-SI	0.855823

EIF3M	Endo	171.144

TECRL	Adult-SI	0.3136

USHBP1	ESC	1.37201

CFHR3	Fetal-SI	0.0312372

TSHB	Endo	0

HGF	ESC	0.229536

CSNK1A1L	Fetal-SI	1.72957

LOC100131564	Adult-SI	0.980078

LOC100131564	D4CF	2.35618

SLC44A1	D4CF	29.6636

GTF2H2	ESC	3.07896

DDX43	Fetal-SI	0.154498

LRRC3B	ESC	1.79564

URI1	Endo	25.6823

MIR1244-1	Adult-SI	0

SCARNA21	Adult-SI	0

AMIGO2	ESC	2.81014

USP44	D4CF	6.87606

HKDC1	Fetal-SI	21.4759

MIR4693	Fetal-SI	0

SEC22B	ESC	31.1916

TSSK1B	Fetal-SI	0

FSHR	Adult-SI	0

RAB23	ESC	15.0506

COX6C	Fetal-SI	79.5125

TSHB	Adult-SI	0

SPINK5	Endo	4.91326

WBSCR27	ESC	0.573466

HIST3H3	Fetal-SI	0

MIR106A	Adult-SI	0

AKAP10	Fetal-SI	10.0329

NUCB2	Fetal-SI	14.6058

GPR39	Endo	3.92789

ILDR1	Endo	0.486115

DUSP27	ESC	0.180214

LOC100506274	Fetal-SI	0

TCN2	Fetal-SI	22.3164

PKP2	Adult-SI	17.6836

DEFB132	D4CF	0.00859904

ART3	ESC	0.368671

TMEM184C	Endo	19.8718

VNN2	Fetal-SI	1.16136

ATP12A	ESC	0.767928

CSMD3	Fetal-SI	0.456937

MIR4279	Adult-SI	0

CCP110	Endo	12.7774

EDNRB	Fetal-SI	52.1846

MIR449A	Endo	0

ADNP2	Fetal-SI	8.15447

DLEU2L	Adult-SI	0.0763884

A2MP1	Adult-SI	0.413113

GCNT4	Fetal-SI	8.62405

PTP4A2	Endo	94.3507

KLHDC10	Adult-SI	9.67153

RECK	Endo	5.48228

MIR30A	Adult-SI	0

ILDR1	Adult-SI	1.72465

TCN2	D4CF	12.2535

SLC39A8	Endo	63.6327

CPXCR1	ESC	0.0225822

DEFB107B	ESC	0

AKAP5	Adult-SI	0.384046

GNG3	ESC	9.28879

EFHC1	D4CF	6.57838

KCNG4	Fetal-SI	0

FER	D4CF	5.57545

EDARADD	Adult-SI	16.7177

ITGB5	Adult-SI	15.8179

MS4A2	Endo	0

TCN2	ESC	23.3733

PCCB	D4CF	37.1081

HLA-DRB6	Adult-SI	1.6198

MS4A3	ESC	0.0128127

OR5T3	ESC	0

RECK	ESC	3.67018

OR5P2	D4CF	0

CDRT15L2	D4CF	0

TUBA1C	ESC	179.055

TAAR6	Endo	0

MIR181A2	Adult-SI	0

MIR30D	Adult-SI	0

MIR181B2	ESC	0

HTR1F	ESC	0.228067

CLOCK	D4CF	6.0112

HIST1H3G	D4CF	3.56697

TMEM126A	Fetal-SI	20.5842

SAMD3	ESC	2.26131

FMO6P	Fetal-SI	0.0341581

P2RY12	Endo	0.180261

ATF7IP2	Adult-SI	2.71891

CTCFL	Adult-SI	0.0113298

MIR4318	Endo	0

CD19	Fetal-SI	0.215966

AARSD1	D4CF	16.7685

APLNR	Adult-SI	1.38926

GOLGA8A	Adult-SI	11.9589

IDH1	Adult-SI	202.18

C9orf3	Fetal-SI	6.22632

HERC4	Endo	16.9726

KLHDC10	D4CF	17.7023

MYO3B	ESC	0.0834597

MIR548AC	ESC	0

HIST1H3C	D4CF	0

