#Chromsome	TSS	TTS	RefseqID	Score	Strand	GeneSymbol
chr15	40380091	40401075	NM_001003940	0.417	-	BMF
chr1	110168048	110174677	NM_203404	0.416	+	AMPD2
chr11	48002109	48154266	NM_001098503	0.413	+	PTPRJ
chr11	48002109	48192394	NM_002843	0.413	+	PTPRJ
chr9	2621792	2654485	NM_003383	0.411	+	VLDLR
chr9	2621792	2654485	NM_001018056	0.411	+	VLDLR
chr12	10310898	10324790	NM_001172633	0.41	-	OLR1
chr12	10310898	10324790	NM_001172632	0.41	-	OLR1
chr12	10310898	10324790	NM_002543	0.41	-	OLR1
chrX	49767753	49767844	NR_030241	0.404	+	MIR532
chr2	895901	901137	NR_110179	0.399	-	LOC101060385
chr20	42295658	42345136	NM_002466	0.399	+	MYBL2
chr20	42295658	42345136	NM_001278610	0.399	+	MYBL2
chr12	129338080	129469509	NM_144669	0.398	+	GLT1D1
chrX	150151857	150159248	NM_001301228	0.387	+	HMGB3
chr1	97561478	97788511	NR_046590	0.386	+	DPYD-AS1
chr2	105713509	105719402	NR_110227	0.374	-	LOC101927492
chr7	856251	883509	NM_001171945	0.374	+	SUN1
chr7	856251	914557	NM_001171944	0.374	+	SUN1
chr7	856251	914557	NM_025154	0.374	+	SUN1
chr17	7491497	7493488	NM_006942	0.373	-	SOX15
chr2	74213530	74335302	NM_001287491	0.37	+	TET3
chr16	30210548	30215650	NM_001017390	0.365	+	SULT1A4
chr16	30210548	30215650	NM_177552	0.365	+	SULT1A3
chr1	1631377	1633247	NR_002946	0.365	+	MMP23A
chr11	61731756	61735132	NM_002032	0.358	-	FTH1
chr16	446754	450754	NM_001286436	0.357	+	NME4
chr8	54793431	54826482	NR_104578	0.351	+	RGS20
chr8	54793431	54871864	NR_104579	0.351	+	RGS20
chr8	54793431	54871864	NM_003702	0.351	+	RGS20
chrX	56258821	56314322	NM_007250	0.348	+	KLF8
chr1	1568158	1570027	NR_002946	0.344	+	MMP23A
chr8	77318888	77436567	NR_105006	0.342	+	LINC01111
chr5	146293769	146299069	NR_047115	0.34	-	PPP2R2B-IT1
chrX	56258869	56314322	NM_001159296	0.335	+	KLF8
chrX	13353359	13359944	NR_045260	0.332	+	LINC01203
chr8	91070835	91095109	NM_004929	0.331	-	CALB1
chr13	100634025	100639019	NM_007129	0.322	+	ZIC2
chr14	57267424	57272381	NM_172337	0.319	-	OTX2
chr14	57267424	57272381	NM_001270525	0.319	-	OTX2
chr14	57267424	57272381	NR_073036	0.319	-	OTX2
chr13	113782468	113784360	NR_126424	0.31	-	F10-AS1
chr2	16190548	16225811	NR_126559	0.306	+	GACAT3
chrX	49768108	49768194	NR_029708	0.304	+	MIR188
chr22	39081547	39096459	NM_014876	0.303	-	JOSD1
chr10	103529886	103540126	NM_001206389	0.301	-	FGF8
chr21	44473300	44496040	NM_000071	0.296	-	CBS
chr12	10163230	10171399	NM_001129998	0.295	+	CLEC12B
chr12	10163230	10170548	NM_205852	0.295	+	CLEC12B
chr16	29471206	29476301	NM_177552	0.293	+	SULT1A3
chr16	29471206	29476301	NM_001017390	0.293	+	SULT1A4
chrX	102965836	102968960	NM_182541	0.292	+	TMEM31
chr19	52392487	52408305	NM_023074	0.291	-	ZNF649
chr17	71203491	71223856	NM_001289412	0.28	-	FAM104A
chr15	99557932	99574275	NR_126487	0.271	+	LUNAR1
chr1	201328135	201346828	NM_001001430	0.269	-	TNNT2
chr1	201328135	201346828	NM_001001431	0.269	-	TNNT2
chr1	201328135	201346828	NM_001276346	0.269	-	TNNT2
chr1	201328135	201346828	NM_000364	0.269	-	TNNT2
chr1	201328135	201346828	NM_001276347	0.269	-	TNNT2
chr1	201328135	201346828	NM_001276345	0.269	-	TNNT2
chr1	201328135	201346828	NM_001001432	0.269	-	TNNT2
chr19	15337729	15343231	NM_024794	0.265	-	EPHX3
chr9	2535654	2622373	NR_015375	0.258	-	VLDLR-AS1
chr2	130680434	130691890	NR_026740	0.246	-	LOC389033
chr17	36337710	36348649	NM_001001418	0.244	-	TBC1D3C
chr18	11689013	11885683	NM_182978	0.243	+	GNAL
chr17	36337710	36348623	NM_032258	0.239	-	TBC1D3F
chr17	36337654	36348623	NM_001123392	0.239	-	TBC1D3H
chr17	36337710	36348623	NM_001291459	0.239	-	TBC1D3L
chr17	36337527	36348621	NM_001123391	0.239	-	TBC1D3
chr1	234349956	234460264	NM_001300845	0.239	+	SLC35F3
chr17	36337710	36348609	NM_001291463	0.237	-	LOC102724862
chr17	36337710	36348609	NM_001291464	0.237	-	TBC1D3K
chr17	36337710	36348609	NM_001291462	0.237	-	LOC101060321
chr17	36337710	36348609	NM_001291465	0.237	-	LOC101060389
chr4	154701741	154710228	NM_003013	0.237	-	SFRP2
chr17	36337710	36348607	NM_001291466	0.236	-	LOC102723859
chr3	8792094	8811300	NM_000916	0.232	-	OXTR
chr13	35516423	36246873	NM_015678	0.229	+	NBEA
chrX	153067620	153095351	NM_001303515	0.226	-	PDZD4
chrX	153067620	153095351	NM_001303516	0.226	-	PDZD4
chr17	8243187	8249363	NM_153007	0.224	+	ODF4
chr19	48325098	48346586	NM_000554	0.223	+	CRX
chr13	30776766	30881624	NM_032116	0.222	-	KATNAL1
chr12	29433348	29470781	NR_103860	0.222	-	LOC100506606
chr12	7072861	7072929	NR_029779	0.218	+	MIR200C
chr1	203052256	203055166	NM_002479	0.217	-	MYOG
chr1	1567559	1570030	NM_006983	0.213	+	MMP23B
chr17	47300731	47308128	NM_001143804	0.212	-	PHOSPHO1
chr17	47300731	47308128	NM_178500	0.212	-	PHOSPHO1
chr18	51094816	51124221	NR_110798	0.211	+	LOC102724651
chrX	153146126	153154427	NR_130768	0.211	+	LCA10
chr1	182615791	182642067	NM_001102450	0.21	-	RGS8
chr1	182615791	182642067	NM_033345	0.21	-	RGS8
chr11	71184548	71184614	NR_106812	0.21	+	MIR6754
chr21	44473300	44496472	NM_001178009	0.21	-	CBS
chr21	44473300	44496472	NM_001178008	0.21	-	CBS
chr8	75912388	75946793	NM_001286778	0.206	+	CRISPLD1
chr8	75912388	75946793	NM_001286777	0.206	+	CRISPLD1
chr8	11973290	12008698	NR_027425	0.204	+	FAM66D
chr7	123092235	123173002	NM_001282855	0.202	-	IQUB
chr7	123092235	123173002	NR_104244	0.202	-	IQUB
chr5	150694538	150727151	NM_181776	0.201	-	SLC36A2
chr15	65204100	65251041	NM_182703	0.201	+	ANKDD1A
chrX	30248552	30255610	NM_002365	0.197	+	MAGEB3
chr13	80378520	80379817	NR_125785	0.188	+	LINC01038
chr8	21900263	21906319	NM_003867	0.188	+	FGF17
chr8	21900263	21906319	NM_001304478	0.188	+	FGF17
chr1	27331510	27339333	NM_052943	0.183	-	FAM46B
chr15	37091300	37110707	NR_027320	0.182	-	CSNK1A1P1
chr7	138279029	138363790	NM_001139456	0.177	-	SVOPL
chr22	38474143	38479170	NM_013356	0.171	-	SLC16A8
chr1	54702115	54704736	NR_103541	0.17	+	SSBP3-AS1
chr9	4709556	4742043	NM_001199853	0.168	-	AK3
chr10	43493010	43493129	NR_049836	0.166	+	MIR5100
chr7	143906939	143906966	NR_046931	0.166	-	RNU6-57P
chr5	52776263	52782304	NM_006350	0.165	+	FST
chr5	52776263	52782304	NM_013409	0.165	+	FST
chr7	5751470	5751541	NR_106934	0.163	-	MIR6874
chr19	54485560	54485651	NR_030632	0.162	+	MIR935
chr9	15464064	15511003	NM_001128217	0.16	-	PSIP1
chr9	15464064	15511003	NM_033222	0.16	-	PSIP1
chr12	7073259	7073354	NR_029682	0.158	+	MIR141
chr13	30776766	30881191	NM_001014380	0.157	-	KATNAL1
chr6	3077057	3115421	NM_003804	0.155	+	RIPK1
chr18	25530929	25757445	NM_001792	0.153	-	CDH2
chr12	8608590	8630926	NM_001007033	0.153	+	CLEC6A
chr20	34021144	34025970	NM_000557	0.151	-	GDF5
chr7	5535449	5535548	NR_030318	0.15	-	MIR589
chr6	31132113	31138470	NM_002701	0.149	-	POU5F1
chr17	8043787	8055753	NM_002616	0.148	-	PER1
chr5	14712802	14716638	NR_046285	0.148	+	LOC100130744
chr11	45792982	45793909	NR_027134	0.148	+	DKFZp779M0652
chr1	11734536	11741271	NM_006341	0.147	-	MAD2L2
chr2	201577027	201599900	NR_037886	0.147	-	LOC100507140
chr9	4709556	4741799	NM_001199855	0.138	-	AK3
chr4	41258897	41270446	NM_004181	0.134	+	UCHL1
chr11	45115563	45246639	NR_046338	0.134	+	PRDM11
chrX	153067620	153096022	NM_001303512	0.132	-	PDZD4
chrX	153067620	153096022	NM_001303513	0.132	-	PDZD4
chrX	153067620	153096022	NM_032512	0.132	-	PDZD4
chrX	153067620	153096022	NM_001303514	0.132	-	PDZD4
chr14	55405655	55493819	NM_007086	0.132	-	WDHD1
chr14	55405655	55493819	NM_001008396	0.132	-	WDHD1
chr1	110166609	110174677	NM_001257361	0.132	+	AMPD2
chr12	27933186	27955973	NM_020782	0.132	+	KLHL42
chr1	242251688	242612784	NM_001195811	0.13	-	PLD5
chr1	242251688	242612784	NM_001195812	0.13	-	PLD5
chr3	128290842	128294929	NR_125802	0.13	-	LINC01565
chr14	55493843	55516206	NM_080867	0.13	+	SOCS4
chr14	55493843	55516206	NM_199421	0.13	+	SOCS4
chr11	35639734	35642421	NM_014344	0.128	+	FJX1
chr19	49055428	49102684	NM_177973	0.127	+	SULT2B1
chr4	170907747	170924943	NM_001009554	0.127	-	MFAP3L
chr4	170907747	170924943	NM_001301648	0.127	-	MFAP3L
chr21	40977533	40984749	NR_026543	0.125	-	B3GALT5-AS1
chr21	40969074	40984749	NR_026542	0.125	-	B3GALT5-AS1
chr16	12753655	12897744	NM_018340	0.123	-	CPPED1
chr16	12753655	12897744	NM_001099455	0.123	-	CPPED1
chr9	107509968	107522403	NM_015469	0.123	+	NIPSNAP3A
chr16	90071272	90076529	NM_024043	0.122	-	DBNDD1
chr6	40359372	40555203	NM_020737	0.12	-	LRFN2
chr4	41222090	41258744	NR_102709	0.119	-	UCHL1-AS1
chr17	34058678	34070540	NM_033315	0.119	+	RASL10B
chr22	32077333	32146120	NM_173566	0.118	-	PRR14L
chr3	39183341	39195102	NM_033027	0.117	-	CSRNP1
chr2	11273178	11286916	NM_182500	0.116	+	C2orf50
chr12	10323197	10344403	NM_001079815	0.115	+	TMEM52B
chr6	18387580	18469105	NM_182757	0.114	+	RNF144B
chr21	40984866	41034816	NM_001278650	0.114	+	B3GALT5
chr15	74653892	74654382	NR_045207	0.113	+	LOC729739
chr3	52255095	52260179	NM_017442	0.111	-	TLR9
chr12	57881735	57910438	NM_004990	0.111	+	MARS
chrX	148678215	148713568	NM_001174092	0.111	-	TMEM185A
chrX	148678215	148713568	NM_032508	0.111	-	TMEM185A
chrX	148685374	148713568	NM_001282302	0.111	-	TMEM185A
chrX	148678215	148713568	NR_104121	0.111	-	TMEM185A
chr1	153302596	153321317	NM_020393	0.107	-	PGLYRP4
chr5	178191863	178203277	NR_024035	0.106	-	AACSP1
chr7	130565750	130598069	NR_034120	0.106	-	LINC-PINT
chr7	130562320	130598069	NR_110473	0.106	-	LINC-PINT
chr7	130565750	130598069	NR_110472	0.106	-	LINC-PINT
chr9	37753799	37778969	NM_001286951	0.105	+	TRMT10B
chr9	37753799	37778969	NM_001286950	0.105	+	TRMT10B
chr9	37753799	37778969	NM_001286953	0.105	+	TRMT10B
chr9	37753799	37778969	NM_001286954	0.105	+	TRMT10B
chr9	37753799	37778969	NM_001286952	0.105	+	TRMT10B
chr9	37753799	37778969	NM_144964	0.105	+	TRMT10B
chr9	37753799	37778969	NR_104612	0.105	+	TRMT10B
chr4	103182820	103245469	NM_001135148	0.103	-	SLC39A8
chr6	168376603	168377619	NM_001129895	0.103	-	HGC6.3
chr2	97749322	97760582	NM_199336	0.103	-	FAHD2B
chr11	8941622	8954553	NM_020643	0.102	-	C11orf16
chr1	41944445	41950354	NM_001302269	0.102	-	EDN2
chr1	41944445	41950354	NM_001956	0.102	-	EDN2
chr1	41944445	41950354	NR_126098	0.102	-	EDN2
chr3	166958076	167098071	NM_001199202	0.101	-	ZBBX
chr3	166958076	167098085	NM_024687	0.1	-	ZBBX
chr3	166958076	167098085	NM_001199201	0.1	-	ZBBX
chr3	238278	451097	NM_006614	0.1	+	CHL1
chr3	238278	451097	NM_001253387	0.1	+	CHL1
chr4	167675236	168155741	NM_001204358	0.1	-	SPOCK3
chr4	167654535	168155741	NM_001204354	0.1	-	SPOCK3
chr4	167654535	168155741	NM_001204355	0.1	-	SPOCK3
chr4	167654535	168155741	NM_001204352	0.1	-	SPOCK3
chr4	167654535	168155741	NM_001204356	0.1	-	SPOCK3
chr4	167654535	168155741	NM_001251967	0.1	-	SPOCK3
chr4	167654535	168155741	NM_001040159	0.1	-	SPOCK3
chr4	167654535	168155741	NM_016950	0.1	-	SPOCK3
chr15	45459411	45473405	NM_001301171	0.1	-	SHF
chr19	9676291	9695209	NM_001008727	0.099	-	ZNF121
chr1	174843523	174927327	NM_001243763	0.098	+	RABGAP1L
chr1	202931000	202936404	NM_016243	0.098	-	CYB5R1
chr19	12902309	12904125	NM_002229	0.098	+	JUNB
chr2	279560	288308	NM_001002919	0.097	-	FAM150B
chr12	56391042	56399309	NM_000456	0.097	+	SUOX
chr12	56391042	56399309	NM_001032387	0.097	+	SUOX
chr12	56391042	56399309	NM_001032386	0.097	+	SUOX
chr16	4606490	4650318	NM_001145011	0.095	+	C16orf96
chrX	150148980	150159248	NM_001301231	0.095	+	HMGB3
chr18	4264601	4296000	NR_036489	0.095	+	DLGAP1-AS5
chrX	16645134	16645208	NR_039762	0.094	-	MIR548AM
chr2	99225041	99234977	NM_014044	0.094	+	UNC50
chr7	130598222	130606705	NR_109780	0.094	+	LOC100506860
chr11	313990	315272	NM_003641	0.094	+	IFITM1
chr9	4709556	4741309	NM_001199852	0.093	-	AK3
chr9	4709556	4741309	NM_016282	0.093	-	AK3
chr1	64239689	64647179	NM_005012	0.093	+	ROR1
chr1	64239689	64609052	NM_001083592	0.093	+	ROR1
chr1	248569295	248570405	NM_030904	0.092	+	OR2T1
chr13	49280950	49283498	NM_020377	0.092	+	CYSLTR2
chrX	100743030	100750798	NM_001256155	0.092	+	ARMCX4
chr9	15470641	15510287	NM_021144	0.091	-	PSIP1
chr14	92980124	93155334	NM_024832	0.09	+	RIN3
chr1	53405985	53406085	NR_039972	0.09	+	MIR1273G
chr1	28099693	28150963	NM_177424	0.089	+	STX12
chr8	41119475	41166990	NM_003012	0.088	-	SFRP1
chr4	167654535	168155577	NM_001204353	0.087	-	SPOCK3
chr3	13590624	13679922	NM_001004019	0.087	+	FBLN2
chr3	13590624	13679922	NM_001998	0.087	+	FBLN2
chr1	31984035	31989846	NR_027085	0.086	+	LINC01226
chr14	21989230	22005350	NM_005407	0.086	-	SALL2
chr14	21989230	22005350	NR_111966	0.086	-	SALL2
chr14	21989230	22005350	NM_001291446	0.086	-	SALL2
chr9	79093256	79122332	NM_001097635	0.086	+	GCNT1
chr2	128014865	128051752	NM_000122	0.085	-	ERCC3
chr8	7353367	7366833	NM_001040705	0.083	+	DEFB107B
chr8	7353367	7366833	NM_001037668	0.083	+	DEFB107A
chr18	43427573	43547305	NM_020964	0.082	-	EPG5
chr11	33719653	33722286	NM_001166692	0.082	-	C11orf91
chr4	84382093	84406290	NM_139076	0.08	-	FAM175A
chr11	119252487	119369944	NR_034160	0.08	+	USP2-AS1
chr2	128014865	128051670	NM_001303416	0.08	-	ERCC3
chr2	128014865	128051670	NM_001303418	0.08	-	ERCC3
chr17	80709939	80901062	NM_005993	0.08	+	TBCD
chr3	51575595	51697612	NM_015106	0.079	+	RAD54L2
chr1	19969722	19984949	NM_001278164	0.078	+	NBL1
chr1	19969722	19984949	NM_182744	0.078	+	NBL1
chr22	46731297	46753237	NR_104241	0.078	+	TRMU
chr22	46731297	46753237	NM_001282784	0.078	+	TRMU
chr22	46731297	46753237	NM_001282783	0.078	+	TRMU
chr22	46731297	46753237	NR_104240	0.078	+	TRMU
chr22	46731297	46753237	NM_018006	0.078	+	TRMU
chr22	46731297	46753237	NM_001282785	0.078	+	TRMU
chr22	46731297	46753237	NM_001282782	0.078	+	TRMU
chr22	45705784	45737836	NM_017911	0.078	+	FAM118A
chr12	52211675	52225701	NM_001013690	0.078	-	FIGNL2
chr17	20766707	20799453	NM_001004306	0.078	-	CCDC144NL
chr1	145695797	145715639	NM_007053	0.077	-	CD160
chr1	145695797	145715639	NR_103845	0.077	-	CD160
chr7	133812104	133948933	NM_144648	0.077	+	LRGUK
chr2	136597195	136634047	NM_005915	0.076	-	MCM6
chr3	186383746	186396023	NM_000412	0.076	+	HRG
chr1	201979689	201986315	NM_004433	0.075	+	ELF3
chr1	201979689	201986315	NM_001114309	0.075	+	ELF3
chr1	172389827	172437969	NM_139240	0.074	+	C1orf105
chr17	37333388	37353956	NM_199248	0.074	-	CACNB1
chr17	37329708	37353956	NM_000723	0.074	-	CACNB1
chr17	37333388	37353956	NM_199247	0.074	-	CACNB1
chr6	158589378	158620376	NM_207118	0.073	+	GTF2H5
chr3	149956486	149957992	NR_110167	0.073	+	LINC01213
chr19	51479734	51487071	NM_139277	0.071	-	KLK7
chr15	85923826	85923893	NR_106993	0.071	+	MIR7706
chr3	123304359	123349666	NR_038266	0.071	+	MYLK-AS1
chr3	123304359	123349666	NR_121654	0.071	+	MYLK-AS1
chr20	62189438	62205592	NM_001037335	0.071	-	HELZ2
chr15	85923846	86292589	NM_006738	0.07	+	AKAP13
chr15	85923846	86292589	NM_007200	0.07	+	AKAP13
chr19	8920251	8932739	NM_001304350	0.07	-	ZNF558
chr7	72440164	72443674	NR_003602	0.07	+	LOC541473
chr2	181845850	181928154	NM_001278554	0.069	+	UBE2E3
chr21	45705720	45718102	NM_000383	0.069	+	AIRE
chr1	64936475	65158741	NM_020925	0.068	+	CACHD1
chr1	19969902	19984949	NM_001278165	0.068	+	NBL1
chr17	39202795	39203568	NM_001123387	0.067	-	KRTAP2-1
chr7	72440212	72443674	NR_104007	0.067	+	LOC100101148
chr18	37202086	37202139	NR_030628	0.064	-	MIR924
chr7	150935506	150935624	NR_030407	0.063	+	MIR671
chr3	149956305	149957992	NR_110168	0.063	+	LINC01213
chr12	9067315	9094060	NM_004426	0.063	+	PHC1
chr20	58630979	58648008	NM_001302813	0.062	+	C20orf197
chr20	58630979	58632989	NR_126504	0.062	+	C20orf197
chr20	58630979	58648008	NM_001302815	0.062	+	C20orf197
chr20	58630979	58648008	NM_173644	0.062	+	C20orf197
chr19	41349442	41356352	NM_000762	0.061	-	CYP2A6
chr2	30369749	30383399	NM_001127400	0.061	+	YPEL5
chr2	30369749	30383399	NM_001127399	0.061	+	YPEL5
chr2	30369749	30383399	NM_016061	0.061	+	YPEL5
chr2	30369749	30383399	NM_001127401	0.061	+	YPEL5
chr10	122216465	122349367	NM_001030059	0.061	+	PPAPDC1A
chr3	54952380	55001115	NM_001304389	0.06	-	LRTM1
chr3	50304072	50304803	NR_110702	0.06	-	SEMA3B-AS1
chr19	29698166	29704136	NM_006003	0.06	-	UQCRFS1
chr15	40380091	40398639	NM_033503	0.059	-	BMF
chr3	107099322	107101006	NR_126332	0.059	-	LOC101929579
chr3	184970997	184971060	NR_106712	0.059	-	MIR5588
chr4	188916924	188926203	NM_001304358	0.059	+	ZFP42
chr4	188916924	188926203	NM_174900	0.059	+	ZFP42
chr19	51479734	51487320	NM_005046	0.059	-	KLK7
chr19	51479734	51487320	NM_001243126	0.059	-	KLK7
chr19	51479734	51487320	NM_001207053	0.059	-	KLK7
chr15	52401821	52404972	NM_020396	0.058	-	BCL2L10
chr2	11239976	11272302	NR_040080	0.058	-	FLJ33534
chr6	119390211	119390308	NR_030315	0.056	-	MIR548B
chr7	158820865	158937649	NM_003382	0.055	-	VIPR2
chr7	158820865	158937649	NM_001304522	0.055	-	VIPR2
chr7	158820865	158937649	NR_130758	0.055	-	VIPR2
chr1	53400601	53400689	NR_039970	0.055	+	MIR5095
chr3	45719656	45730374	NR_033947	0.055	-	LIMD1-AS1
chr11	63273523	63284246	NM_001142536	0.055	+	LGALS12
chr11	63273523	63284246	NM_033101	0.055	+	LGALS12
chr11	63273523	63284246	NM_001142535	0.055	+	LGALS12
chr5	80256507	80525981	NM_006909	0.055	+	RASGRF2
chr6	27325601	27343153	NR_024553	0.053	-	ZNF204P
chr1	19970207	19984949	NM_001204084	0.053	+	NBL1
chr1	43829067	43833745	NM_022821	0.053	-	ELOVL1
chr1	43829067	43833745	NM_001256402	0.053	-	ELOVL1
chr1	43829067	43833745	NM_001256401	0.053	-	ELOVL1
chr1	43829067	43833745	NR_046117	0.053	-	ELOVL1
chr1	10490158	10512060	NM_198544	0.052	+	APITD1-CORT
chr1	10490158	10502872	NM_199294	0.052	+	APITD1
chr1	10490158	10512060	NM_001270517	0.052	+	APITD1-CORT
chr1	10490158	10512060	NM_199006	0.052	+	APITD1-CORT
chr3	50304989	50314602	NM_004636	0.052	+	SEMA3B
chr3	50304989	50314602	NM_001005914	0.052	+	SEMA3B
chr2	11977058	11977112	NR_036226	0.051	-	MIR4262
chr9	133884503	133968446	NM_006059	0.051	+	LAMC3
chr20	31571580	31592239	NM_080675	0.051	-	SUN5
chr12	115108058	115121969	NM_016569	0.05	-	TBX3
chr12	115108058	115121969	NM_005996	0.05	-	TBX3
chr14	32672369	32672475	NR_125730	0.05	-	RNU6-2
chr8	127337739	127341778	NR_125421	0.05	+	LOC101927657
chr20	45523262	45817492	NM_172110	0.049	+	EYA2
chr20	45523262	45817492	NM_005244	0.049	+	EYA2
chr16	51051668	51069688	NR_110913	0.049	+	LOC101927334
chr11	128761312	128787951	NM_000890	0.049	+	KCNJ5
chr11	58695101	58724547	NM_001220494	0.049	+	GLYATL1
chr2	202122753	202152434	NM_001080125	0.048	+	CASP8
chr2	202122753	202152434	NR_111983	0.048	+	CASP8
chrX	9754495	9917481	NM_001649	0.048	+	SHROOM2
chr2	209007296	209010877	NM_005210	0.048	-	CRYGB
chr6	11183530	11382581	NM_001142393	0.048	-	NEDD9
chr6	11183530	11382581	NR_073131	0.048	-	NEDD9
chr15	81239667	81282219	NR_126327	0.048	-	MESDC2
chr15	81239667	81282219	NR_126328	0.048	-	MESDC2
chr15	81268085	81282219	NM_015154	0.048	-	MESDC2
chr6	116359893	116361107	NR_027338	0.048	+	TPI1P3
chr1	206516199	206581301	NM_001271872	0.048	+	SRGAP2C
chr1	206516199	206637783	NM_015326	0.048	+	SRGAP2
chr1	206516199	206580070	NM_001271870	0.048	+	SRGAP2B
chr1	206516199	206629507	NM_001300952	0.048	+	SRGAP2
chr1	206516199	206637783	NM_001170637	0.048	+	SRGAP2
chr3	53259652	53290130	NM_001064	0.048	-	TKT
chr3	53258722	53290130	NM_001135055	0.048	-	TKT
chr3	53259652	53290130	NM_001258028	0.048	-	TKT
chr3	53259652	53290130	NR_047580	0.048	-	TKT
chr20	49262007	49276828	NR_111906	0.047	+	LOC100506175
chr4	8442531	8478282	NM_152544	0.046	+	TRMT44
chr3	8661085	8686484	NR_046358	0.046	-	SSUH2
chr3	8661085	8686484	NM_001256748	0.046	-	SSUH2
chr5	80243511	80256726	NR_105015	0.046	-	RASGRF2-AS1
chr22	39760174	39774394	NM_145738	0.046	+	SYNGR1
chr12	56137063	56146665	NM_005811	0.045	+	GDF11
chr12	53491435	53496128	NM_002178	0.045	+	IGFBP6
chr15	40380091	40398287	NM_001003942	0.045	-	BMF
chr12	88536072	88593664	NM_181783	0.045	+	TMTC3
chr2	181845307	181928154	NM_006357	0.045	+	UBE2E3
chr10	101996912	101997059	NR_002954	0.045	-	SNORA12
chr16	57806200	57806264	NR_106830	0.043	-	MIR6772
chr3	239325	290282	NR_045572	0.043	+	CHL1
chr8	37575096	37591011	NR_125820	0.043	+	LOC101929622
chr13	30446749	30462542	NR_046510	0.043	-	LINC00297
chrX	153126968	153141500	NM_000425	0.043	-	L1CAM
chr17	41994575	41995355	NR_026770	0.042	+	FAM215A
chr19	23197876	23206499	NR_110746	0.042	-	LOC101929164
chr20	22541191	22559280	NR_001558	0.042	-	LINC00261
chrX	131503342	131547603	NM_001170701	0.042	-	MBNL3
chrX	131503342	131547603	NM_001170702	0.042	-	MBNL3
chr16	524849	572481	NM_001142272	0.042	+	RAB11FIP3
chrX	133941204	133957015	NM_001170782	0.042	+	FAM122C
chrX	133941204	133957015	NM_001170784	0.042	+	FAM122C
chr12	49165757	49165820	NR_039850	0.042	-	MIR4701
chrX	133941222	133957015	NM_001170783	0.041	+	FAM122C
chrX	133941222	133988641	NM_001170779	0.041	+	FAM122C
chrX	133941222	133988641	NM_138819	0.041	+	FAM122C
chrX	133941222	133945211	NM_001170781	0.041	+	FAM122C
chr4	176554087	176923842	NR_048571	0.041	-	GPM6A
chr4	176554087	176923842	NM_005277	0.041	-	GPM6A
chr4	176554087	176923842	NM_201592	0.041	-	GPM6A
chr4	176554087	176923842	NM_001261447	0.041	-	GPM6A
chrX	131503342	131547636	NM_001170703	0.041	-	MBNL3
chr2	37869024	37899678	NM_001270436	0.041	-	CDC42EP3
chr3	45730753	45786900	NM_014016	0.041	+	SACM1L
chr1	43829067	43833409	NM_001256399	0.04	-	ELOVL1
chr17	71161159	71168062	NM_001050	0.04	+	SSTR2
chr17	17921333	17942480	NM_145691	0.04	-	ATPAF2
chr3	99357439	99515577	NM_001850	0.04	+	COL8A1
chr3	99357439	99515577	NM_020351	0.04	+	COL8A1
chr19	42388445	42411604	NM_199002	0.04	+	ARHGEF1
